Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_cu,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,grid_index,gust
0,-1.0804259965802017,0,0,0,1.1673203340863219,-1.2612032352835483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4.1989966555183944
0,-1.0559664757207834,0,0,0,1.1150651978461719,-1.17747146716852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4.3311036789297663
0,-1.0315069548613653,0,0,0,1.0640065979273667,-1.0975302057804592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4.4632107023411365
0,-1.0070474340019471,0,0,0,1.014144534329906,-1.0212916510040313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4.5953177257525084
0,-0.9825879131425288,0,0,0,0.96547900705378975,-0.94866800272390406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4.7274247491638794
0,-0.95812839228311064,0,0,0,0.91801001609901833,-0.87957146082474502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4.8595317725752505
0,-0.93366887142369248,0,0,0,0.87173756146559156,-0.8139142251912207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4.9916387959866215
0,-0.90920935056427421,0,0,0,0.82666164315350932,-0.75160849570799793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5.1237458193979935
0,-0.88474982970485605,0,0,0,0.78278226116277183,-0.69256647225974444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5.2558528428093645
0,-0.86029030884543789,0,0,0,0.74009941549337888,-0.63670035473112696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5.3879598662207355
