Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_customers_v2_log1p,z_cust_sq,grid_index,gust
0,-1.9169327488055354,0,0,0,3.6746311634431459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,-1.8986871866625563,0,0,0,3.605013032796573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.63210702341137126
0,-1.8804416245195772,0,0,0,3.5360607032258264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.76421404682274252
0,-1.8621960623765981,0,0,0,3.4677741747309065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.89632107023411367
0,-1.8439505002336189,0,0,0,3.4001534473118133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.028428093645485
0,-1.8257049380906401,0,0,0,3.3331985209685477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.1605351170568561
0,-1.8074593759476607,0,0,0,3.2669093957011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2926421404682273
0,-1.7892138138046818,0,0,0,3.2012860715094944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4247491638795986
0,-1.7709682516617027,0,0,0,3.136328548393708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5568561872909699
0,-1.7527226895187236,0,0,0,3.0720368263537479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.6889632107023411
0,-1.7344771273757444,0,0,0,3.0084109053896144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.8210702341137124
0,-1.7162315652327653,0,0,0,2.9454507855013077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.9531772575250836
0,-1.6979860030897864,0,0,0,2.8831564666888281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.0852842809364547
0,-1.6797404409468073,0,0,0,2.8215279489521747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.2173913043478262
0,-1.661494878803828,0,0,0,2.7605652322913468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.3494983277591972
0,-1.6432493166608491,0,0,0,2.7002683167063473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.4816053511705682
0,-1.6250037545178699,0,0,0,2.6406372021971736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.6137123745819397
0,-1.606758192374891,0,0,0,2.5816718887638275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2.7458193979933108
0,-1.5885126302319119,0,0,0,2.5233723764063067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2.8779264214046822
0,-1.5702670680889326,0,0,0,2.4657386651246123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3.0100334448160533
0,-1.5520215059459537,0,0,0,2.4087707549187458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.1421404682274248
0,-1.5337759438029746,0,0,0,2.3524686457887052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.2742474916387958
0,-1.5155303816599957,0,0,0,2.2968323377344921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3.4063545150501673
0,-1.4972848195170163,0,0,0,2.241861830756104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.5384615384615383
0,-1.4790392573740372,0,0,0,2.1875571248535435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.6705685618729094
0,-1.4607936952310583,0,0,0,2.1339182200268101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.8026755852842808
0,-1.4425481330880792,0,0,0,2.0809451162759025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3.9347826086956519
0,-1.4243025709451,0,0,0,2.0286378136008216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4.0668896321070234
