combination,model_id,prediction_type,bin,left,right,closed,plot_midpoint,n,mean_gust,mean_observed,mean_prediction,mean_residual,sem,ci_lower,ci_upper,interval_rule,excluded_from_bins
E0_all,final,in_sample,0,0,4,"(left,right]",2,5544,3.0836399732773092,2.2105087208393317,2.1650024052054326,0.045506315633898953,0.026877454713826569,-0.0071734956052011203,0.098186126872999019,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,1,4,6,"(left,right]",5,9167,5.1041343973912365,2.1462388033732025,2.1167103017621955,0.029528501611006914,0.021166336826464023,-0.011957518568862572,0.071014521790876403,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,2,6,8,"(left,right]",7,10737,7.0598956891763605,2.0338035695190255,2.0705358739831867,-0.03673230446416114,0.018969511638342245,-0.073912547275311935,0.00044793834698966112,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,3,8,10,"(left,right]",9,10190,9.0231795865958286,1.9600712246602907,2.0148496810935521,-0.054778456433261388,0.019056016089401155,-0.092128247968487648,-0.017428664898035122,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,4,10,12,"(left,right]",11,8314,10.992386341094971,1.9814983395425489,1.9674995945447098,0.013998744997839265,0.020858224174642257,-0.026883374384459563,0.054880864380138089,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,5,12,14,"(left,right]",13,5563,12.981934217418374,1.9899232355043868,1.9298243662796943,0.060098869224692299,0.025929310190463854,0.0092774212513831444,0.11092031719800145,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,6,14,16,"(left,right]",15,3762,14.984502928235441,2.0924590593036148,2.0504204646630049,0.042038594640609599,0.031897191021202136,-0.020479899760946586,0.10455708904216579,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,7,16,18,"(left,right]",17,2569,16.985870004953139,2.2966430008818506,2.3554272084413177,-0.05878420755946704,0.038990064418166978,-0.13520473381907433,0.017636318700140242,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,8,18,20,"(left,right]",19,1578,18.963624858735329,2.5816134017104506,2.6442570505099732,-0.062643648799522764,0.053100090089381435,-0.16671982537471036,0.041432527775664849,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,9,20,23,"(left,right]",21.5,1412,21.436898036989206,3.0677045676845704,3.0476132529080142,0.020091314776555111,0.059974428227874278,-0.097458564550078466,0.1376411941031887,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,10,23,26,"(left,right]",24.5,765,24.442614349664428,3.479167770568719,3.4446032271399742,0.034564543428744592,0.082189172626483037,-0.12652623491916215,0.19565532177665135,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,11,26,30,"(left,right]",28,494,27.806477751326465,3.7251843202773722,3.6521309008569451,0.073053419420427215,0.1048804164561478,-0.13251219683362248,0.27861903567447693,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,in_sample,12,30,45,"(left,right]",37.5,342,32.344736941376624,3.7337033757813236,3.7930110566528237,-0.059307680871500117,0.12553517389672206,-0.30535662170907535,0.1867412599660751,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,0,0,4,"(left,right]",2,5544,3.0836399732773092,2.2105087208393317,2.171069941786143,0.039438779053188704,0.02693145917814626,-0.013346880935977967,0.092224439042355374,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,1,4,6,"(left,right]",5,9167,5.1041343973912365,2.1462388033732025,2.1231026688216272,0.023136134551574674,0.021211438078619926,-0.018438284082520382,0.064710553185669734,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,2,6,8,"(left,right]",7,10737,7.0598956891763605,2.0338035695190255,2.0763372121232968,-0.042533642604271088,0.019008355381703486,-0.079790019152409922,-0.0052772660561322543,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,3,8,10,"(left,right]",9,10190,9.0231795865958286,1.9600712246602907,2.0217085277619917,-0.061637303101701658,0.01909914568649158,-0.099071628647225157,-0.02420297755617816,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,4,10,12,"(left,right]",11,8314,10.992386341094971,1.9814983395425489,1.9736420830144437,0.007856256528105475,0.020901922310963918,-0.033111511201383802,0.048824024257594752,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,5,12,14,"(left,right]",13,5563,12.981934217418374,1.9899232355043868,1.9345071934354814,0.05541604206890581,0.025973466426611025,0.0045080478727482012,0.10632403626506343,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,6,14,16,"(left,right]",15,3762,14.984502928235441,2.0924590593036148,2.0552413445349313,0.037217714768683581,0.031969655600207557,-0.025442810207723231,0.099878239745090386,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,7,16,18,"(left,right]",17,2569,16.985870004953139,2.2966430008818506,2.3578976585606934,-0.061254657678842375,0.039072039874509856,-0.13783585583288169,0.015326540475196937,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,8,18,20,"(left,right]",19,1578,18.963624858735329,2.5816134017104506,2.6400930877452899,-0.05847968603483969,0.053256066174240724,-0.16286157573635152,0.045902203666672123,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,9,20,23,"(left,right]",21.5,1412,21.436898036989206,3.0677045676845704,3.043558821896061,0.024145745788508872,0.060092839213229887,-0.093636219069421711,0.14192771064643944,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,10,23,26,"(left,right]",24.5,765,24.442614349664428,3.479167770568719,3.4406578278558193,0.038509942712899786,0.082409382692175903,-0.12301244736376499,0.20003233278956456,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,11,26,30,"(left,right]",28,494,27.806477751326465,3.7251843202773722,3.6498798003366075,0.075304519940764481,0.10501359337976984,-0.13052212308358441,0.28113116296511337,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,final,LAD_OOF,12,30,45,"(left,right]",37.5,342,32.344736941376624,3.7337033757813236,3.7898805844823005,-0.056177208700976693,0.12546344322047148,-0.30208555741310078,0.18973114001114741,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,0,0,4,"(left,right]",2,5544,3.0836399732773092,2.2105087208393317,2.17983117676844,0.030677544070891277,0.026873266420279426,-0.021994058112856398,0.083349146254638948,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,1,4,6,"(left,right]",5,9167,5.1041343973912365,2.1462388033732025,2.0955735818923653,0.050665221480837221,0.021147859470522962,0.0092154169186122181,0.092115026043062223,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,2,6,8,"(left,right]",7,10737,7.0598956891763605,2.0338035695190255,2.0395288389962185,-0.0057252694771924443,0.018984376800312973,-0.042934648005805869,0.031484109051420982,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,3,8,10,"(left,right]",9,10190,9.0231795865958286,1.9600712246602907,2.0037848333818027,-0.04371360872151199,0.019106087556032922,-0.081161540331336518,-0.0062656771116874621,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,4,10,12,"(left,right]",11,8314,10.992386341094971,1.9814983395425489,2.0056162405717091,-0.024117901029160175,0.020903678124776479,-0.065089110153722068,0.016853308095401722,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,5,12,14,"(left,right]",13,5563,12.981934217418374,1.9899232355043868,2.0523776933110058,-0.062454457806618811,0.025977669730323654,-0.11337069047805318,-0.011538225135184453,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,6,14,16,"(left,right]",15,3762,14.984502928235441,2.0924590593036148,2.1497094849397946,-0.057250425636179929,0.031950499952215848,-0.11987340554252299,0.0053725542701631365,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,7,16,18,"(left,right]",17,2569,16.985870004953139,2.2966430008818506,2.3022739409820834,-0.0056309401002321248,0.03894966737023655,-0.081972288145895772,0.070710407945431514,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
E0_all,paper,in_sample,8,18,20,"(left,right]",19,1578,18.963624858735329,2.5816134017104506,2.4657207221684843,0.11589267954196619,0.053097421485527839,0.011821733430331632,0.21996362565360075,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
