combination,prediction_type,observed_duration_group,n,rmse,mae,mean_observed,mean_prediction,bias,r2,correlation
R0c_all,in_sample,T<=1h,3775,2.596499505310883,2.4455665520793692,-0.80038659453978778,1.645010564478937,2.4453971590187247,-10.473412099406996,0.047580593734637883
R0c_all,in_sample,T=1h,259,1.9597476111066203,1.9315862510783461,0,1.9315862510783461,1.9315862510783461,,
R0c_all,in_sample,T>1h,47398,0.93961607148381177,0.74536722944382694,2.0804317889977271,1.8856688396054408,-0.19476294939228656,0.062161057428919086,0.33033766956128269
R0c_all,LAD_OOF,T<=1h,3775,2.6014382303676689,2.4500393952595312,-0.80038659453978778,1.6494525695194404,2.4498391640592279,-10.517100085631084,0.04582405757302313
R0c_all,LAD_OOF,T=1h,259,1.9631654328175481,1.9344194431711561,0,1.9344194431711561,1.9344194431711561,,
R0c_all,LAD_OOF,T>1h,47398,0.94311372140571936,0.74825351683625185,2.0804317889977271,1.8870912766722339,-0.1933405123254936,0.055165992928441154,0.32167859280168087
R0c_weather,in_sample,T<=1h,1083,2.3535381600200593,2.1357895704301404,-0.81909047417689507,1.3166990962532448,2.1357895704301404,-9.4562055841009691,-0.048740668799747415
R0c_weather,in_sample,T=1h,25,1.8366394630004665,1.6750083801238447,0,1.6750083801238447,1.6750083801238447,,
R0c_weather,in_sample,T>1h,8171,0.99813555098363627,0.79589547501117253,2.0120989324312002,1.7290172894528826,-0.28308164297831712,0.31021784492510174,0.60793642329198361
R0c_weather,LAD_OOF,T<=1h,1083,2.3664530922416667,2.1487178071040609,-0.81909047417689507,1.329627332927166,2.1487178071040609,-9.5712763357535664,-0.05042092502151907
R0c_weather,LAD_OOF,T=1h,25,1.8389526172625259,1.6825232602593689,0,1.6825232602593689,1.6825232602593689,,
R0c_weather,LAD_OOF,T>1h,8171,1.0078775326588145,0.80203520468549838,2.0120989324312002,1.7310245224391079,-0.28107440999209238,0.29668734086953341,0.59737818126724918
