Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_cu,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],grid_index,gust
0,-1.7822495936648846,0,0,0,3.1764136141186463,-5.6611618730745645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,-1.757229066168835,0,0,0,3.087853990988596,-5.426066785050601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.63210702341137126
0,-1.7322085386727859,0,0,0,3.0005464214509083,-5.1975721319213353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.76421404682274252
0,-1.7071880111767364,0,0,0,2.9144909055055805,-4.9755839325627571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.89632107023411367
0,-1.6821674836806872,0,0,0,2.8296874431526153,-4.7600082058508724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.028428093645485
0,-1.6571469561846377,0,0,0,2.7461360343920096,-4.55075097066167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.1605351170568561
0,-1.6321264286885884,0,0,0,2.6638366792237655,-4.3477182458711532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2926421404682273
0,-1.6071059011925393,0,0,0,2.5827893776478836,-4.1508160503553198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.4247491638795986
0,-1.5820853736964897,0,0,0,2.5029941296643616,-3.9599504029901613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5568561872909699
0,-1.5570648462004406,0,0,0,2.4244509352732018,-3.7750273226516824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.6889632107023411
0,-1.5320443187043911,0,0,0,2.3471597944744018,-3.5959528282158733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.8210702341137124
0,-1.5070237912083415,0,0,0,2.2711207072679631,-3.4226329385587353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.9531772575250836
0,-1.4820032637122924,0,0,0,2.1963336736538865,-3.2549736725562686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.0852842809364547
0,-1.4569827362162429,0,0,0,2.1227986936321699,-3.0928810490844647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.2173913043478262
0,-1.4319622087201935,0,0,0,2.0505157672028149,-2.9362610870193251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.3494983277591972
0,-1.4069416812241442,0,0,0,1.9794848943658214,-2.7850198052368462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.4816053511705682
