combination,model_id,prediction_type,bin,left,right,first_includes_minimum,n,mean_prediction,mean_observed,bias,requested_quantiles,actual_bins,rule
E0_all,final,in_sample,0,1.2136493200665428,1.6566300560507017,True,3022,1.5693608077940231,1.7207757889448205,-0.15141498115079727,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,1,1.6566300560507017,1.7435980462453013,False,3022,1.7038864051338101,1.7690673423195979,-0.065180937185787671,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,2,1.7435980462453013,1.8032082627049182,False,3022,1.7746658421985249,1.863193932740036,-0.088528090541510715,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,3,1.8032082627049182,1.8518801604900856,False,3022,1.8277988388106001,1.8073003283586189,0.020498510451981387,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,4,1.8518801604900856,1.8961484535521644,False,3022,1.8744011335731805,1.7936539612658533,0.080747172307326878,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,5,1.8961484535521644,1.9344975448556316,False,3021,1.9157701066455388,1.9074541065456074,0.0083160000999313883,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,6,1.9344975448556316,1.9728436746544871,False,3022,1.9540350786683334,1.9519966016946591,0.0020384769736744475,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,7,1.9728436746544871,2.0095126073954641,False,3022,1.9913379072463206,2.0242042316241879,-0.032866324377867455,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,8,2.0095126073954641,2.044066528381093,False,3022,2.0266530978110828,2.0234071340278406,0.0032459637832424502,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,9,2.044066528381093,2.079605413373125,False,3022,2.061783245037482,1.9460756796061738,0.11570756543130831,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,10,2.079605413373125,2.1155446064697405,False,3021,2.0976957259305196,2.0533140899933082,0.044381635937211769,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,11,2.1155446064697405,2.1537141575925376,False,3022,2.1343258636184763,2.0698809162227101,0.064444947395766533,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,12,2.1537141575925376,2.1928660683274837,False,3022,2.1729479213303047,2.1575046568538498,0.015443264476454412,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,13,2.1928660683274837,2.2355471070732555,False,3022,2.2138389718816751,2.1972946754337288,0.016544296447946309,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,14,2.2355471070732555,2.2823388606632116,False,3022,2.2581572951958186,2.216378132882959,0.041779162312859115,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,15,2.2823388606632116,2.34026878293274,False,3021,2.3111505515356989,2.2464122843488736,0.064738267186825002,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,16,2.34026878293274,2.4161695859135048,False,3023,2.376194267689403,2.3465305602060225,0.029663707483380194,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,17,2.4161695859135048,2.5341172168661985,False,3021,2.4678464176674577,2.5094157278252429,-0.041569310157785373,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,18,2.5341172168661985,2.8920954959541914,False,3022,2.6716216521898635,2.7193935585425879,-0.047771906352724609,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,in_sample,19,2.8920954959541914,4.3039860130873935,False,3022,3.3649819434124963,3.4451840750902516,-0.0802021316777555,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,0,1.1748135417873555,1.6478668216148624,True,3022,1.5524993739372872,1.7322103489355245,-0.17971097499823757,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,1,1.6478668216148624,1.7402308968300844,False,3022,1.6975299663722596,1.8120928917761108,-0.11456292540385114,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,2,1.7402308968300844,1.8018556222393971,False,3022,1.7721135229192548,1.8299104761447158,-0.057796953225460815,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,3,1.8018556222393971,1.8535648589996392,False,3022,1.8290517381106834,1.8464763466439242,-0.017424608533240914,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,4,1.8535648589996392,1.9004066840048159,False,3022,1.8775882706863303,1.8528801364367391,0.024708134249591132,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,5,1.9004066840048159,1.9406477334127386,False,3021,1.9212039342967679,1.9717849819617201,-0.050581047664952361,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,6,1.9406477334127386,1.9795878705690475,False,3022,1.9605389477125663,1.9857467185549182,-0.025207770842351873,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,7,1.9795878705690475,2.0162520923892857,False,3022,1.9977874051735409,1.9842703198895428,0.013517085283997723,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,8,2.0162520923892857,2.0515045108270322,False,3023,2.0337962985621845,1.9498558526433274,0.08394044591885666,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,9,2.0515045108270322,2.0882881945672338,False,3021,2.0699391114411236,2.0549798207179091,0.0149592907232149,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,10,2.0882881945672338,2.1252204444834875,False,3021,2.1066369963481022,2.0001632662049045,0.10647373014319735,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,11,2.1252204444834875,2.1619672270901091,False,3022,2.1434006306656301,2.1323802277615069,0.01102040290412264,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,12,2.1619672270901091,2.2017065662778577,False,3022,2.1815215668410146,2.1324671813194631,0.049054385521551919,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,13,2.2017065662778577,2.2446652957652815,False,3022,2.2229736631381742,2.1860030141861633,0.036970648952010673,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,14,2.2446652957652815,2.2940519160932569,False,3022,2.2692346048084779,2.1842773803048905,0.084957224503587198,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,15,2.2940519160932569,2.3525848999104015,False,3021,2.3222849770278087,2.2597751357570286,0.062509841270780048,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,16,2.3525848999104015,2.4260503442517036,False,3022,2.387753626601604,2.3151112246244527,0.072642401977151577,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,17,2.4260503442517036,2.5470779778068087,False,3022,2.4796153650604738,2.4718956973420871,0.0077196677183864722,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,18,2.5470779778068087,2.8873605497352637,False,3022,2.679525498785416,2.65150305747588,0.028022441309536322,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,final,LAD_OOF,19,2.8873605497352637,4.3269579873523965,False,3022,3.3655400813683691,3.4146427136897648,-0.049102632321395764,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_all,paper,in_sample,0,1.3500764703326544,1.6877936743465356,True,3022,1.6076268466291448,1.7379439871007225,-0.13031714047157794,20,20,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
