fold,n_test,n_train,sse,rmse,k
0,9834,41339,12133.40586996107,1.1107754195784061,31
1,10581,40592,14546.190932623616,1.1724957703154333,31
2,10833,40340,14653.29055629325,1.1630361370394142,31
3,9995,41178,12957.264454235161,1.1385844864303598,31
4,9930,41243,13425.801751196854,1.1627744779299909,31
