customers_bin,mean,median,count
Q1 [0-1],11.645432388181884,4.966666666666667,26874
Q2 (1-2],14.186269633507854,9.058333333333334,3820
Q3 (2-36],13.625921003544114,8.533333333333333,14296
Q4 (36-27013],9.87076933441121,5.483333333333333,14844
