decile,n,n_weather_natural,pct_weather_natural,gust_min,gust_max
"(0.499, 4.2]",6312,435,6.891634980988594,0.5,4.199999809265137
"(4.2, 5.5]",5957,481,8.074534161490684,4.300000190734863,5.5
"(5.5, 6.7]",6125,585,9.551020408163264,5.599999904632568,6.699999809265137
"(6.7, 7.8]",6018,586,9.7374543037554,6.800000190734863,7.800000190734863
"(7.8, 8.9]",5903,628,10.638658309334236,7.900000095367432,8.899999618530273
"(8.9, 10.2]",6362,703,11.04998428167243,9.0,10.199999809265137
"(10.2, 11.6]",5867,750,12.783364581557866,10.300000190734863,11.600000381469728
"(11.6, 13.5]",5888,927,15.743885869565217,11.699999809265137,13.5
"(13.5, 16.7]",6016,1402,23.304521276595743,13.600000381469728,16.700000762939453
"(16.7, 39.4]",5989,3360,56.10285523459676,16.799999237060547,39.400001525878906
