storm,n,gust_sd_storm,gust_sd_full,u_gust,log1p_cust_sd_storm,log1p_cust_sd_full,u_log1p_cust,pred_eta_sd_storm_E0,pred_eta_sd_full_E0,u_pred_E0,pred_eta_sd_storm_R0c,pred_eta_sd_full_R0c,u_pred_R0c,full_r_E0,theoretical_r_E0_using_gust_u,theoretical_r_E0_using_pred_u,observed_r_E0,pct_of_E0_drop_explained_by_range_restriction,full_r_R0c,theoretical_r_R0c_using_gust_u,theoretical_r_R0c_using_pred_u,observed_r_R0c,pct_of_R0c_drop_explained_by_range_restriction
Storm Arwen,267,4.469676023754137,5.222433284557272,0.8558608181689871,2.0020722375350344,2.018955326578126,0.9916377104431993,0.2798425018545856,0.3628644831988659,0.7712038923942287,0.39321704070210833,0.46270926810188984,0.8498144900255615,0.179336,0.1541511884669391,0.13921480611307532,0.115527,62.877014037086745,0.342938,0.29823593683865846,0.29631460710159,0.249159,49.71624020133504
Storm Dudley,293,4.903638180253014,5.222433284557272,0.9389565961049355,2.097217829006923,2.018955326578126,1.0387638603977645,0.401661292716093,0.3628644831988659,1.1069181783105644,0.3978155315954806,0.46270926810188984,0.8597526762914992,0.179336,0.1687101356502831,0.19779506582605708,0.294155,16.076664860395127,0.342938,0.32426871037678473,0.29947073165582483,0.084079,16.79187061070899
Storm Eunice,1601,7.195940040074138,5.222433284557272,1.377890276042879,2.348004465614924,2.018955326578126,1.162979900894833,0.8533607956363837,0.3628644831988659,2.3517341463499033,0.6696135006996835,0.46270926810188984,1.4471581765512265,0.179336,0.24361027706582783,0.39401970537959935,0.153248,-822.9212871036466,0.342938,0.4493820414698181,0.467136417030196,0.203612,-89.14231157874046
Storm Franklin,1187,4.816878971612637,5.222433284557272,0.9223438020464793,2.1861423945619185,2.018955326578126,1.0828087010063534,0.35804604902191656,0.3628644831988659,0.9867211193157512,0.49454130935880536,0.46270926810188984,1.0687949074102099,0.179336,0.16580795855301556,0.17702973625493545,0.123756,4.149448983563405,0.342938,0.31912046551676704,0.3635008639872431,0.211295,-15.620172730219647
Storm Babet,507,4.005124845634834,5.222433284557272,0.766907804735004,1.978749444786565,2.018955326578126,0.9800857991941284,0.26557755315584025,0.3628644831988659,0.7318918369045557,0.43963067754843327,0.46270926810188984,0.9501229127133571,0.179336,0.13845419973090142,0.1322457240297317,0.185069,-821.3897779568841,0.342938,0.26961241282749143,0.3277130241901446,0.261894,18.786061657686485
Storm Ciaran,576,6.068989840610805,5.222433284557272,1.1621000230978153,2.193263082964386,2.018955326578126,1.0863356182732828,0.5725058343191857,0.3628644831988659,1.577740067785656,0.47303978734754076,0.46270926810188984,1.0223261558775956,0.179336,0.20724164801656017,0.27640358718679914,0.341333,59.91937331357935,0.342938,0.3905604156290123,0.3496673456392495,0.317174,-26.119180403856085
Storm Henk,493,6.107373863126206,5.222433284557272,1.1694498580165116,2.1888277351050336,2.018955326578126,1.0841387653756658,0.600125017348638,0.3628644831988659,1.6538543867897448,0.46778091810298134,0.46270926810188984,1.0109607702951278,0.179336,0.20849556522810203,0.2886505326299309,0.331641,71.77343661070279,0.342938,0.3926507395063783,0.3462483749488364,0.135522,-1.5960075157347566
