Incident Reference,cause_group_official,customers_v2_event_excl_reinterruptions,duration_A_customer_weighted_hours,duration_B_full_span_hours,lat,lon,incident_date_utc,temperature_0h,pressure_msl_0h,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate,cv_fold_v3,urban_binary,log_population,incident_year,incident_month,substation,LAD21NM
FREP-338411-G,technical_asset,9.0,0.2388888888888889,2.933333333333333,50.9867631245393,0.609152845255805,2023-10-31,12.050000190734863,1002.9000244140624,8.399999618530273,1.3000000715255735,matched,E07000064,95089.0,Largely Rural (rural including hub towns 50-79%) ,0.35,0.37,0.113,,0.0,11.462568574125264,2023,10,NORTHIAM 33/11KV,Rother
FREP-338437-G,technical_asset,4.0,18.975,19.3,50.86785223961,0.590893266860253,2023-10-31,12.5,1001.0999755859376,6.599999904632568,8.899999618530273,matched,E07000062,91221.0,Urban with City and Town,0.454,0.27,0.202,,1.0,11.421040412713825,2023,10,HASTINGS LOCAL 132/11KV,Hastings
FREP-314502-J,technical_asset,0.0,,1.0,51.4302463101128,-0.103963970867736,2023-11-01,12.800000190734863,991.7000122070312,14.5,10.300000190734863,matched,E09000022,318738.0,Urban with Major Conurbation,0.286,0.14,0.153,,1.0,12.672124727687281,2023,11,WEST NORWOOD,Lambeth
FREP-330404-J,technical_asset,0.0,,1.0,51.5304462401097,-0.0959109927882756,2023-11-03,10.899999618530272,982.2000122070312,11.0,5.90000057220459,matched,E09000019,222333.0,Urban with Major Conurbation,0.31,0.16,0.179,,1.0,12.311931536978152,2023,11,CITY RD B 11KV,Islington
FREP-76992-C,technical_asset,0.0,,1.0,51.6694310310784,0.394973454068306,2023-11-02,10.449999809265137,962.7000122070312,14.699999809265137,21.600000381469727,matched,E07000068,78381.0,Urban with Significant Rural (rural including hub towns 26-49%),0.159,0.05,0.064,,1.0,11.269336830028958,2023,11,INGATESTONE PRIMARY,Brentwood
FREP-78534-C,technical_asset,0.0,,1.0,52.0379058498408,1.20095134894891,2023-11-03,7.75,979.4000244140624,11.600000381469728,5.400000095367432,matched,E07000202,139497.0,Urban with City and Town,0.296,0.25,0.141,,1.0,11.845798374635969,2023,11,WARREN HEATH PRIMARY,Ipswich
FREP-78190-C,technical_asset,0.0,,1.0,52.1892767752753,0.141703679326459,2023-11-02,11.050000190734863,962.2000122070312,14.199999809265137,9.399999618530272,matched,E07000008,148842.0,Urban with City and Town,0.2299999999999999,0.3,0.077,,1.0,11.91064061961833,2023,11,RADNOR PRIMARY,Cambridge
FREP-7558-I,technical_asset,0.0,,1.0,52.2065166590149,-0.268171894048518,2023-11-02,10.699999809265137,963.0,13.699999809265137,13.700000762939451,matched,E06000055,191575.0,Urban with Significant Rural (rural including hub towns 26-49%),0.3189999999999999,0.36,0.114,,1.0,12.163034655838604,2023,11,LITTLE BARFORD,Bedford
FREP-330395-J,technical_asset,2.0,7.816666666666666,7.816666666666666,51.4375786403443,-0.157745633979461,2023-11-03,11.050000190734863,982.2999877929688,11.600000381469728,4.900000095367432,matched,E09000032,333859.0,Urban with Major Conurbation,0.266,0.35,0.107,,1.0,12.718474027137416,2023,11,TRINITY CRESCENT,Wandsworth
FREP-87893-V,weather_natural,1.0,7.15,7.15,50.9836035710203,0.296735092609588,2023-11-02,10.850000381469728,960.0999755859376,20.0,22.100000381469727,matched,E07000065,164861.0,Mainly Rural (rural including hub towns >=80%) ,0.237,0.29,0.073,,0.0,12.012857973601582,2023,11,BROAD OAK 33/11KV,Wealden
