n_stages_group,Q1 [0-1],Q2 (1-2],Q3 (2-36],Q4 (36-27013]
n_stages=1,26017,2171,5127,2284
n_stages=2,710,1492,4266,2880
n_stages=3-4,125,139,3218,4425
n_stages>=5,22,18,1685,5255
