target,n,events,observed_rate,valid_proxy,valid_grid,proxy_brier,grid_brier,constant_brier,proxy_bss,grid_bss,delta_brier,relative_improvement_pct,proxy_mean_prediction,proxy_bias,grid_max_mean_prediction,grid_max_bias,valid_comparison,delta_brier_lo,delta_brier_hi,relative_gain_lo,relative_gain_hi,repeats,seed,relative_improvement_pct_lo,relative_improvement_pct_hi
any_gt0,121656,41926,0.344627474189518,True,True,0.22391283652024679,0.22386934973446987,0.22600909165195673,0.009275092061066581,0.0094675037267172302,4.3486785776924997e-05,0.0194213009190265,0.34466612293232224,3.8648742804218796e-05,0.34468264350629801,5.5169316780015712e-05,True,-0.0002247168483392796,0.00028775613660833008,-0.0010332600198472062,0.0012660087042199945,1000,20260909,-0.10332600198472061,0.12660087042199944
any_gt5,121656,20285,0.1667406457552443,True,True,0.13729530908652493,0.13722531427289486,0.13898791540700847,0.012178082645005195,0.01268168623834709,6.9994813630069874e-05,0.050981212756481299,0.16675384144115823,1.3195685913951793e-05,0.16677546069763227,3.4814942387975492e-05,True,-9.5472111184445057e-05,0.00023049192672364662,-0.00071423743768789585,0.0016507650351578109,1000,20260909,-0.071423743768789585,0.1650765035157811
any_gt100,121656,7369,0.060572433747616228,True,True,0.055963270761200688,0.056010436299891428,0.056907797424420925,0.016597491134227482,0.015768684875236638,-4.7165538690739639e-05,-0.084279453379339453,0.060568883808558287,-3.5499390579391048e-06,0.060586861813810837,1.4428066194604141e-05,True,-0.00013820976688301304,4.4199588007984807e-05,-0.0024996459995600697,0.00081173070700045686,1000,20260909,-0.24996459995600698,0.081173070700045688
any_gt1000,121656,1020,0.0083842967054645889,True,True,0.0081984701222691334,0.0082334900960944063,0.0083143200666783885,0.013933784540428151,0.0097217776000623202,-3.5019973825272874e-05,-0.42715254557249294,0.0083825740021386888,-1.7227033258994729e-06,0.0083874524165473297,3.1557110827416687e-06,True,-5.7733257742536994e-05,-1.1456454347613057e-05,-0.0068781048468707735,-0.0014720292319469854,1000,20260909,-0.68781048468707739,-0.14720292319469855
wthr_gt0,121656,6122,0.050322220030249228,True,True,0.045293634074063109,0.045305332689463497,0.047804396225071807,0.052521574358717404,0.052276855957813284,-1.1698615400387857e-05,-0.025828387674211677,0.050325956760661379,3.7367304121493598e-06,0.050333396352261112,1.1176322011881472e-05,True,-0.00017225487204212709,0.0001608335637924057,-0.00413145663369161,0.0035645705199404592,1000,20260909,-0.41314566336916098,0.35645705199404593
wthr_gt5,121656,4394,0.036118235023344512,True,True,0.033111113585572442,0.033136800606360643,0.034820363904497734,0.049087663862826814,0.048349962761866094,-2.5687020788200954e-05,-0.077578244905038771,0.036115059914520221,-3.1751088242908988e-06,0.036130811617956567,1.2576594612045575e-05,True,-0.00014461233079767044,0.0001040676544607818,-0.0046004304832059232,0.0029666238869644531,1000,20260909,-0.46004304832059234,0.29666238869644529
wthr_gt100,121656,2472,0.020319589662655357,True,True,0.018933338791125607,0.018985417262720929,0.019907735695288309,0.048945641989476374,0.046329650276885626,-5.2078471595322362e-05,-0.27506227068483274,0.020316815005936708,-2.7746567186476967e-06,0.020329685198956008,1.0095536300652156e-05,True,-0.00013693524589779803,3.3971740870259473e-05,-0.0075407550167561656,0.0017643397800964247,1000,20260909,-0.75407550167561654,0.17643397800964247
wthr_gt1000,121656,312,0.0025646084040244622,True,True,0.0024452927942981866,0.0024748567395572749,0.002558074475163004,0.044088505616174722,0.032531396725822948,-2.9563945259088262e-05,-1.2090145330663067,0.0025606178179553413,-3.9905860691206096e-06,0.0025623981819812951,-2.2102220431674813e-06,True,-4.9096673798068852e-05,-1.0561342803506799e-05,-0.019241143659040689,-0.0047385528209162794,1000,20260909,-1.9241143659040689,-0.47385528209162797
