target,comparison,new_valid,historical_theta,stable_theta,difference_theta,historical_beta,stable_beta,difference_beta,historical_p0,stable_p0,difference_p0,historical_nll,stable_nll,difference_nll,mean_probability_difference,max_abs_probability_difference
any_gt0,"full-sample descriptive, not OOF",True,22.617884087090971,22.618015665261694,0.00013157817072340094,0.43694735372200966,0.43695546737428137,8.1136522717129012e-06,0.31914219381667058,0.3191419228395691,-2.709771014797191e-07,77802.693772592262,77802.693772497747,-9.4514689408242702e-08,2.4889189935826e-07,5.2632114196926594e-06
any_gt5,"full-sample descriptive, not OOF",True,23.933084192134338,23.933190075665653,0.00010588353131524286,0.36224016175079449,0.3622430925892634,2.9308384689175071e-06,0.15106376088580659,0.15106367470010379,-8.6185702796726105e-08,54215.359700154877,54215.359700120513,-3.4364347811788321e-08,-9.0862711225218406e-08,4.786421299529664e-06
any_gt100,"full-sample descriptive, not OOF",True,25.081598758451232,25.081615829197219,1.7070745986558222e-05,0.29127762919359362,0.29127807854033655,4.4934674292562704e-07,0.053124959496732273,0.05312495781793599,-1.6787962825448588e-09,27206.361176562757,27206.361176561964,-7.9307937994599342e-10,-7.4807115516398862e-10,9.8974321904865548e-07
any_gt1000,"full-sample descriptive, not OOF",True,30.398416742637298,30.398258168479945,-0.00015857415735354152,0.24393003955855522,0.2439244322830281,-5.6072755271197039e-06,0.0073129559095939387,0.0073130170710830411,6.1161489102457001e-08,5701.566802211486,5701.5668021097381,-1.017479007714428e-07,1.4074789792556181e-08,3.331359665459388e-06
wthr_gt0,"full-sample descriptive, not OOF",True,23.124734188838556,23.124742732582494,8.5437439381053082e-06,0.33010074871957906,0.33010102787203333,2.7915245426335389e-07,0.033569778740405079,0.033569768671302049,-1.0069103030529991e-08,22566.344442354213,22566.344442353777,-4.3655745685100555e-10,-7.1967826858296641e-09,5.2563211616618588e-07
wthr_gt5,"full-sample descriptive, not OOF",True,24.243900365547564,24.243944206760549,4.3841212985284983e-05,0.32123636180177007,0.32123719963142827,8.3782965820677902e-07,0.023860734905164376,0.023860762193691695,2.7288527319757616e-08,17494.497376999134,17494.497376985502,-1.3631506590172648e-08,-9.8638195505368578e-09,2.3794271941657286e-06
wthr_gt100,"full-sample descriptive, not OOF",True,25.365692704870863,25.365698679119738,5.9742488751624023e-06,0.29024340004683979,0.29024356932931267,1.6928247287273379e-07,0.013155233764241447,0.013155229561153425,-4.2030880217230893e-09,10993.229005825289,10993.22900582516,-1.2914824765175581e-10,-2.7594746626775384e-09,3.5820148847065525e-07
wthr_gt1000,"full-sample descriptive, not OOF",True,31.793685397894784,31.793690364433498,4.9665387145125806e-06,0.27062315653722807,0.27062328929562723,1.327583991628245e-07,0.0014287518340110148,0.0014287508501297402,-9.8388127462920028e-10,1862.890056095968,1862.8900560959021,-6.5938365878537297e-11,-4.0937346718804322e-11,8.7865667575126594e-08
