target,fold,n,events,valid_proxy,valid_grid,proxy_brier,grid_brier,delta_brier,relative_improvement_pct,training_constant,constant_brier
any_gt1000,4,24112,213,True,True,0.0086249859712554701,0.0086657275821759704,-4.074161092050034e-05,-0.47236727174142762,0.0082731895349790856,0.0087560543768475663
wthr_gt0,0,25208,1336,True,True,0.047180141263609018,0.047095465256990897,8.4676006618121524e-05,0.17947383019693036,0.049622594558725946,0.050201549278040714
wthr_gt0,1,24112,1374,True,True,0.050719966020622217,0.050579860681880945,0.00014010533874127262,0.2762331084455128,0.048675469531698518,0.053805922507277136
wthr_gt0,2,24112,1257,True,True,0.046702582819187245,0.046658353334945966,4.4229484241278816e-05,0.094704578572274628,0.049874928237513327,0.049419095660247686
wthr_gt0,3,24112,1017,True,True,0.038968538967333079,0.0391892770854365,-0.00022073811810342098,-0.56645212767269371,0.052335356352005251,0.040502339108931543
wthr_gt0,4,24112,1138,True,True,0.04281119097276645,0.042922337425902859,-0.00011114645313640981,-0.25962009140814035,0.051094890510948905,0.044984113068454269
wthr_gt5,0,25208,966,True,True,0.034756099291708045,0.034708798632376671,4.730065933137434e-05,0.13609311831681617,0.035542468480424687,0.036860377145649451
wthr_gt5,1,24112,974,True,True,0.036547566339107482,0.036433944779212031,0.0001136215598954507,0.31088680116539169,0.035061100631509884,0.038791530942133653
wthr_gt5,2,24112,886,True,True,0.033721228936211059,0.033745589031191153,-2.4360094980094282e-05,-0.072239641758534909,0.03596325760682359,0.0353955916110619
wthr_gt5,3,24112,729,True,True,0.028355523078711052,0.028554720547156215,-0.00019919746844516278,-0.70249971369675623,0.037572787665053717,0.029373678357012122
wthr_gt5,4,24112,839,True,True,0.032100378204572948,0.032169495586139137,-6.9117381566188851e-05,-0.21531640881521621,0.036445091445911591,0.033587913592033725
wthr_gt100,0,25208,503,True,True,0.018490669461853997,0.01856155494724961,-7.0885485395612291e-05,-0.38335813390557921,0.020415145985401461,0.019556034101928885
wthr_gt100,1,24112,535,True,True,0.020261534198819858,0.020231905110704048,2.9629088115809554e-05,0.1462331915494105,0.019857705240711884,0.021701240177418639
wthr_gt100,2,24112,500,True,True,0.019416653414216434,0.019393719154171402,2.2934260045032878e-05,0.11811644136492097,0.020216517674075288,0.020306828121285769
wthr_gt100,3,24112,434,True,True,0.017156234486134011,0.017259062412589985,-0.00010282792645597422,-0.59936186194634766,0.020893135405560568,0.017683734390584273
wthr_gt100,4,24112,500,True,True,0.019361723727752463,0.019500111157774658,-0.00013838743002219517,-0.71474746757095364,0.020216517674075288,0.020306828121285769
wthr_gt1000,0,25208,75,True,True,0.0028650711750095809,0.0028757109161341912,-1.0639741124610254e-05,-0.3713604470777126,0.0024572826808228268,0.0029666621511327145
wthr_gt1000,1,24112,63,True,True,0.0024560090393879706,0.0024655440988936919,-9.5350595057212828e-06,-0.38823389298670447,0.0025526941687853688,0.0026059837547660761
wthr_gt1000,2,24112,54,True,True,0.0021479920546587606,0.0021903608095445791,-4.2368754885818444e-05,-1.9724819183537123,0.0026449602230788159,0.0022346975521358946
wthr_gt1000,3,24112,55,True,True,0.0021775349997174187,0.0022260193103852146,-4.8484310667795856e-05,-2.226568605055153,0.0026347084392684328,0.0022759439310815386
wthr_gt1000,4,24112,65,True,True,0.0025607758672303218,0.0025984279184388392,-3.7652051208517459e-05,-1.4703376304948188,0.0025321906011646026,0.0026885128196092651
