target,fold,n,events,valid_proxy,valid_grid,proxy_brier,grid_brier,delta_brier,relative_improvement_pct,training_constant,constant_brier
any_gt0,0,25208,8433,True,True,0.22032292450610461,0.22005069389348139,0.00027223061262321435,0.12355982167242498,0.34726484737889846,0.22278388835185486
any_gt0,1,24112,8129,True,True,0.2211418965482681,0.22079526292475374,0.00034663362351436411,0.15674715145562895,0.34647953743951448,0.22356232336083168
any_gt0,2,24112,7905,True,True,0.21841576076019506,0.21839696042846257,1.8800331732488074e-05,0.0086075893365266352,0.34877593701304027,0.22080077715836177
any_gt0,3,24112,8433,True,True,0.22618933669465197,0.22685682406409402,-0.00066748736944205467,-0.29510116577384909,0.34336299516115804,0.22746349662901702
any_gt0,4,24112,9026,True,True,0.2336574419108389,0.23342058262705714,0.00023685928378175403,0.10137031452742554,0.33728368736160091,0.23558157290972306
any_gt5,0,25208,4101,True,True,0.13421060400393353,0.13399230075398078,0.00021830324995275596,0.16265722933961149,0.16780026542800267,0.13624571926175774
any_gt5,1,24112,3946,True,True,0.13487208017869928,0.13467522567773171,0.00019685450096756929,0.14595645051722059,0.16750389567784796,0.13688549365843089
any_gt5,2,24112,3719,True,True,0.12913966902518123,0.12906788782491171,7.1781200269516177e-05,0.055584160011684244,0.1698310506028049,0.13069214802557516
any_gt5,3,24112,4116,True,True,0.14043871377669945,0.14063117846705067,-0.00019246469035122393,-0.1370453240245755,0.16576109243008283,0.14158816507530811
any_gt5,4,24112,4403,True,True,0.14795569231550171,0.14790693380075007,4.8758514751640059e-05,0.032954808286569381,0.16281883047650292,0.14965269629330002
any_gt100,0,25208,1532,True,True,0.055999827180583016,0.05604182533494554,-4.1998154362524187e-05,-0.074996935663912787,0.060519658261446584,0.057080899707572588
any_gt100,1,24112,1516,True,True,0.057542042151921817,0.057512604957874636,2.9437194047181314e-05,0.051157715204930655,0.060003690642171738,0.058928445958570275
any_gt100,2,24112,1400,True,True,0.053918084342920183,0.053891746704313362,2.6337638606821479e-05,0.048847504372213087,0.061192897564176167,0.054700936290447845
any_gt100,3,24112,1370,True,True,0.053090978958914445,0.053202923906038493,-0.00011194494712404857,-0.21085493113750922,0.061500451078487658,0.053611799678483847
any_gt100,4,24112,1551,True,True,0.059263759516237503,0.05940165382196446,-0.00013789430572695716,-0.23267897084587741,0.05964487820880833,0.060209037201432281
any_gt1000,0,25208,237,True,True,0.0092072624463117331,0.0092253365108133038,-1.8074064501570619e-05,-0.19630226255591063,0.0081183642999336433,0.0093150309475160658
any_gt1000,1,24112,207,True,True,0.008351069706442062,0.0083675807304647853,-1.651102402272335e-05,-0.19771148611041592,0.0083347002378413842,0.0085112984366451545
any_gt1000,2,24112,185,True,True,0.0075287176114839666,0.0075762801022523224,-4.7562490768355767e-05,-0.6317475727314581,0.0085602394816698107,0.0076144485440355521
any_gt1000,3,24112,178,True,True,0.0072344606793050452,0.0072874416268238762,-5.2980947518830972e-05,-0.73234135711579285,0.0086320019683424915,0.0073292811701277044
