candidate,target,valid_comparison,absolute_gain_lo,absolute_gain_hi,relative_gain_lo,relative_gain_hi,repeats,seed
M0,any_gt0,True,0,0,0,0,1000,20260909
M0,any_gt5,True,0,0,0,0,1000,20260909
M0,any_gt100,True,0,0,0,0,1000,20260909
M0,any_gt1000,True,0,0,0,0,1000,20260909
M0,wthr_gt0,True,0,0,0,0,1000,20260909
M0,wthr_gt5,True,0,0,0,0,1000,20260909
M0,wthr_gt100,True,0,0,0,0,1000,20260909
M0,wthr_gt1000,True,0,0,0,0,1000,20260909
M1,any_gt0,True,-1.9831045884417468e-05,1.8057610653409708e-05,-8.8957734704848076e-05,7.8839102550656127e-05,1000,20260909
M1,any_gt5,True,-9.6344515817368901e-06,-5.2570876516657658e-07,-7.0015988056934704e-05,-3.8535824630562653e-06,1000,20260909
M1,any_gt100,True,-2.3693304345703539e-06,4.9520043107533735e-07,-4.2745052567367226e-05,8.8848870489658732e-06,1000,20260909
M1,any_gt1000,True,-3.6297711826358505e-06,-5.2684306123053653e-08,-0.00044392367116392959,-6.8306510610094723e-06,1000,20260909
M1,wthr_gt0,True,-9.7732498105366275e-06,-1.6099269056962911e-06,-0.00021116366575522379,-3.6526784830104161e-05,1000,20260909
M1,wthr_gt5,True,-5.8876090377386109e-06,-4.0163494530638338e-07,-0.00017892686647725316,-1.147129736519576e-05,1000,20260909
M1,wthr_gt100,True,-1.9892331621927806e-06,1.1594921411980463e-06,-0.00011006005969082418,6.3971429768833627e-05,1000,20260909
M1,wthr_gt1000,True,-5.8813295794860834e-07,1.3635112027611542e-07,-0.00024559898798996266,5.346390167441524e-05,1000,20260909
M2,any_gt0,True,-5.4964069821688711e-05,-9.6652963486423656e-06,-0.00024885785238428886,-4.2323014081635395e-05,1000,20260909
M2,any_gt5,True,-4.5826681722834845e-05,7.3634033903007978e-06,-0.00033605471021997492,5.1827726684398518e-05,1000,20260909
M2,any_gt100,True,-3.2393930916366609e-05,1.1505837308661998e-05,-0.000593027238297007,0.00018794377785188358,1000,20260909
M2,any_gt1000,True,-4.6289605671859371e-06,1.0879479335115528e-05,-0.00059033066110868702,0.0012905937453360965,1000,20260909
M2,wthr_gt0,True,-5.3050841545315891e-05,3.6139126693799936e-05,-0.0012116345045861739,0.00077361735449901835,1000,20260909
M2,wthr_gt5,True,-3.1180833992500497e-05,2.0043809775137564e-05,-0.00096908663713324446,0.00058505842021096429,1000,20260909
M2,wthr_gt100,True,-2.2488550269225086e-05,1.3339352093364961e-05,-0.0012260321120278926,0.00069194817109359172,1000,20260909
M2,wthr_gt1000,True,-7.4142910779865501e-07,4.2157524018938527e-06,-0.00031591680725540766,0.0017000113899596958,1000,20260909
