target,candidate,n,events,valid_cv,brier,brier_m0,absolute_gain,relative_gain,constant_brier,brier_skill,calibration_rmse,calibration_absolute_gain,calibration_relative_gain,diagnostic_brier
any_gt0,M0,121656,41926,True,0.22386934973446987,0.22386934973446987,0,0,0.22600909165195673,0.0094675037267172302,0.016694732245322818,0,0,0.22386934973446987
any_gt0,M1,121656,41926,True,0.22387032453205949,0.22386934973446987,-9.7479758962015772e-07,-4.3543146517214593e-06,0.22600909165195673,0.0094631906365556517,0.016939790953519784,-0.00024505870819696574,-0.014678804343545022,0.22387032453205949
any_gt0,M2,121656,41926,True,0.22389886921852969,0.22386934973446987,-2.9519484059825629e-05,-0.00013186031984654674,0.22600909165195673,0.0093368917949402386,0.016410792382704389,0.00028393986261842849,0.017007751813328833,0.22389886921852969
any_gt5,M0,121656,20285,True,0.13722531427289486,0.13722531427289486,0,0,0.13898791540700847,0.01268168623834709,0.0090124870429573803,0,0,0.13722531427289486
any_gt5,M1,121656,20285,True,0.13723028217584166,0.13722531427289486,-4.9679029467952773e-06,-3.6202525555276148e-05,0.13898791540700847,0.012645942821861933,0.0089646653474064752,4.7821695550905041e-05,0.0053061597007536682,0.13723028217584166
any_gt5,M2,121656,20285,True,0.13724189308843621,0.13722531427289486,-1.6578815541345993e-05,-0.0001208145569145961,0.13898791540700847,0.0125624038137363,0.0085854192466155322,0.00042706779634184809,0.047386231381666317,0.13724189308843621
any_gt100,M0,121656,7369,True,0.056010436299891428,0.056010436299891428,0,0,0.056907797424420925,0.015768684875236638,0.00252501442668198,0,0,0.056010436299891428
any_gt100,M1,121656,7369,True,0.056011297617731104,0.056010436299891428,-8.6131783967602349e-07,-1.5377809861439932e-05,0.056907797424420925,0.015753549553212953,0.0026705373014007292,-0.00014552287471874918,-0.057632492385390026,0.056011297617731104
any_gt100,M2,121656,7369,True,0.056018808472546686,0.056010436299891428,-8.3721726552576925e-06,-0.00014947522655298296,0.056907797424420925,0.015621566676427778,0.0028188339300792894,-0.00029381950339730937,-0.11636349491412838,0.056018808472546686
any_gt1000,M0,121656,1020,True,0.0082334900960944063,0.0082334900960944063,0,0,0.0083143200666783885,0.0097217776000623202,0.00053753869237002693,0,0,0.0082334900960944063
any_gt1000,M1,121656,1020,True,0.0082352357303124863,0.0082334900960944063,-1.7456342180800083e-06,-0.00021201631358104843,0.0083143200666783885,0.0095118224619294978,0.00083049569511127908,-0.00029295700274125215,-0.54499705211841487,0.0082352357303124863
any_gt1000,M2,121656,1020,True,0.008230318288627872,0.0082334900960944063,3.1718074665343376e-06,0.00038523243843323492,0.0083143200666783885,0.010103264894404718,0.0012981590498549842,-0.00076062035748495726,-1.4150057815026402,0.008230318288627872
wthr_gt0,M0,121656,6122,True,0.045305332689463497,0.045305332689463497,0,0,0.047804396225071807,0.052276855957813284,0.0035786052272687679,0,0,0.045305332689463497
wthr_gt0,M1,121656,6122,True,0.045311115820953221,0.045305332689463497,-5.783131489724147e-06,-0.00012764792015464241,0.047804396225071807,0.052155881069593901,0.0035729640489490081,5.6411783197598056e-06,0.0015763622868413504,0.045311115820953221
wthr_gt0,M2,121656,6122,True,0.045309104875628434,0.045305332689463497,-3.7721861649367416e-06,-8.3261416283872161e-05,0.047804396225071807,0.052197947186595317,0.0027293853841785475,0.00084921984309022048,0.23730470089833147,0.045309104875628434
wthr_gt5,M0,121656,4394,True,0.033136800606360643,0.033136800606360643,0,0,0.034820363904497734,0.048349962761866094,0.0019638735587463592,0,0,0.033136800606360643
wthr_gt5,M1,121656,4394,True,0.033140059855281435,0.033136800606360643,-3.2592489207922126e-06,-9.8357380952661933e-05,0.034820363904497734,0.048256360956619782,0.0020013494605109865,-3.7475901764627301e-05,-0.019082644907419642,0.033140059855281435
wthr_gt5,M2,121656,4394,True,0.033139647673792183,0.033136800606360643,-2.8470674315397848e-06,-8.5918597433733154e-05,0.034820363904497734,0.048268198325418843,0.0023063974323910582,-0.00034252387364469908,-0.17441238623496186,0.033139647673792183
wthr_gt100,M0,121656,2472,True,0.018985417262720929,0.018985417262720929,0,0,0.019907735695288309,0.046329650276885626,0.00098347390738696386,0,0,0.018985417262720929
wthr_gt100,M1,121656,2472,True,0.018985735112206029,0.018985417262720929,-3.1784948509999689e-07,-1.674176978580895e-05,0.019907735695288309,0.046313684147438972,0.0010218199935108957,-3.8346086123931854e-05,-0.03899044584295612,0.018985735112206029
wthr_gt100,M2,121656,2472,True,0.018988139352326835,0.018985417262720929,-2.7220896059061694e-06,-0.00014337791833794272,0.019907735695288309,0.046192915007361668,0.0019852428476903445,-0.0010017689403033806,-1.0186024588746088,0.018988139352326835
wthr_gt1000,M0,121656,312,True,0.0024748567395572749,0.0024748567395572749,0,0,0.002558074475163004,0.032531396725822948,0.00029870670179845391,0,0,0.0024748567395572749
wthr_gt1000,M1,121656,312,True,0.0024750495491599883,0.0024748567395572749,-1.9280960271341602e-07,-7.7907379296592166e-05,0.002558074475163004,0.032456023782390209,0.00041527245659272452,-0.0001165657547942706,-0.39023481593299136,0.0024750495491599883
wthr_gt1000,M2,121656,312,True,0.0024731294860405361,0.0024748567395572749,1.7272535167388303e-06,0.00069792060652683167,0.002558074475163004,0.033206613000215768,0.0019760462214667616,-0.0016773395196683076,-5.6153394268336747,0.0024731294860405361
