scope,tau,training_rows,training_hours,training_lads,held_out_fold,method,quantile
full,13.6,121656,2919744,111,-1,linear,0.90000000000000002
fold_0,13.6,96448,2314752,88,0,linear,0.90000000000000002
fold_1,13.6,97544,2341056,89,1,linear,0.90000000000000002
fold_2,13.6,97544,2341056,89,2,linear,0.90000000000000002
fold_3,13.5,97544,2341056,89,3,linear,0.90000000000000002
fold_4,13.699999999999999,97544,2341056,89,4,linear,0.90000000000000002
