target,candidate,n,events,valid_cv,brier,brier_a01,absolute_gain,relative_gain,constant_brier,brier_skill,calibration_rmse,calibration_absolute_gain,calibration_relative_gain
any_gt0,A01_daily_max,121656,41926,True,0.22386934973446987,0.22386934973446987,0,0,0.22600909165195673,0.0094675037267172302,0.01551756360083127,0,0
any_gt0,A02_daily_mean,121656,41926,True,0.22457089306837708,0.22386934973446987,-0.00070154333390720636,-0.0031337176560315328,0.22600909165195673,0.0063634545542725629,0.01791839130390974,-0.0024008277030784699,-0.15471679477761952
any_gt0,A03_daily_q90,121656,41926,True,0.22408701485745974,0.22386934973446987,-0.00021766512298987406,-0.00097228639493546296,0.22600909165195673,0.0085044224568492366,0.017325966945462241,-0.0018084033446309714,-0.11653912889611717
any_gt0,A04_top3_mean,121656,41926,True,0.22394909284943687,0.22386934973446987,-7.9743114967001372e-05,-0.00035620380843373253,0.22600909165195673,0.0091146722791672907,0.016784940887304579,-0.0012673772864733087,-0.081673729141694365
any_gt0,A05_max_rolling3h_mean,121656,41926,True,0.22396250627089384,0.22386934973446987,-9.3156536423971703e-05,-0.00041612010100741404,0.22600909165195673,0.009055323244316793,0.016989429807974427,-0.0014718662071431573,-0.094851630385088925
any_gt5,A01_daily_max,121656,20285,True,0.13722531427289486,0.13722531427289486,0,0,0.13898791540700847,0.01268168623834709,0.0088004950853763694,0,0
any_gt5,A02_daily_mean,121656,20285,True,0.13776352401553826,0.13722531427289486,-0.00053820974264340293,-0.0039220878851338268,0.13898791540700847,0.0088093370411718164,0.0092161059186383967,-0.00041561083326202737,-0.047225846867710967
any_gt5,A03_daily_q90,121656,20285,True,0.13736550270983941,0.13722531427289486,-0.00014018843694454941,-0.0010215931199527946,0.13898791540700847,0.011673048641804851,0.0094678445404038948,-0.00066734945502752545,-0.075830899120260684
any_gt5,A04_top3_mean,121656,20285,True,0.13726134277561033,0.13722531427289486,-3.6028502715473865e-05,-0.00026254997415291268,0.13898791540700847,0.012422465840588259,0.008629728050402111,0.00017076703497425835,0.019404253205938263
any_gt5,A05_max_rolling3h_mean,121656,20285,True,0.1372683442813262,0.13722531427289486,-4.3030008431338418e-05,-0.00031357194304373204,0.13898791540700847,0.012372090916298206,0.0086605127757029415,0.00013998230967342783,0.015906185767438699
any_gt100,A01_daily_max,121656,7369,True,0.056010436299891428,0.056010436299891428,0,0,0.056907797424420925,0.015768684875236638,0.0024311128521667413,0,0
any_gt100,A02_daily_mean,121656,7369,True,0.056332711153129031,0.056010436299891428,-0.00032227485323760297,-0.0057538357943165619,0.056907797424420925,0.01010557950438451,0.0025482778069316537,-0.00011716495476491243,-0.048193959675910801
any_gt100,A03_daily_q90,121656,7369,True,0.056105182126527639,0.056010436299891428,-9.4745826636211117e-05,-0.0016915745153085833,0.056907797424420925,0.01410378426540293,0.002404868890059021,2.6243962107720328e-05,0.010795040668034094
any_gt100,A04_top3_mean,121656,7369,True,0.056035219704812768,0.056010436299891428,-2.4783404921339958e-05,-0.00044247834079785587,0.056907797424420925,0.015333183835958941,0.002327624575862225,0.00010348827630451626,0.042568273296026478
any_gt100,A05_max_rolling3h_mean,121656,7369,True,0.056034348894044114,0.056010436299891428,-2.3912594152686317e-05,-0.00042693104593317851,0.056907797424420925,0.015348485970430259,0.0024463268594839649,-1.5214007317223589e-05,-0.0062580424037757152
any_gt1000,A01_daily_max,121656,1020,True,0.0082334900960944063,0.0082334900960944063,0,0,0.0083143200666783885,0.0097217776000623202,0.00099895282243934016,0,0
