target,n,events,valid_prediction,model_brier,baseline_brier,brier_skill,mean_prediction,observed_rate,prediction_minus_observed,baseline_probability,baseline_minus_observed,calibration_rmse,development_rate,bias_probability_percentage_points
any_gt0,20424,7922,True,0.23654703496772447,0.2401298680420223,0.014920397464553758,0.34717998844886971,0.38787700744222481,-0.040697018993355094,0.33590169116484908,-0.051975316277375727,0.042710993958726261,0.33590169116484908,-4.0697018993355094
any_gt5,20424,3851,True,0.15038208451043672,0.15368767505465697,0.021508494699035929,0.17029965371770842,0.18855268311790052,-0.018253029400192106,0.16233997155049787,-0.026212711567402652,0.023048064608050912,0.16233997155049787,-1.8253029400192107
any_gt100,20424,1343,True,0.059609123932884284,0.061470930026679034,0.030287586229567509,0.063617787071681212,0.065755973364669013,-0.0021381862929878009,0.059526631895052945,-0.0062293414696160676,0.010629829417149149,0.059526631895052945,-0.21381862929878009
any_gt1000,20424,194,True,0.0093412972098938386,0.0094101984426515732,0.0073219744703194589,0.0084678000577509231,0.0094986290638464557,-0.0010308290060955325,0.0081594752647384233,-0.0013391537991080324,0.0039208636850484998,0.0081594752647384233,-0.10308290060955325
wthr_gt0,20424,1229,True,0.052110245469466174,0.05669353832140616,0.080843302211205281,0.057567643377067872,0.060174304739522129,-0.0026066613624542573,0.048334518729255573,-0.011839786010266556,0.011856507587297158,0.048334518729255573,-0.26066613624542573
wthr_gt5,20424,896,True,0.038769342876592068,0.042032165422776838,0.077626801126374434,0.041311654347582646,0.043869956913435176,-0.0025583025658525299,0.034554291133238504,-0.0093156657801966719,0.011707763407487937,0.034554291133238504,-0.25583025658525299
wthr_gt100,20424,512,True,0.022636655764069324,0.024472685531642835,0.075023632580067723,0.023352740565814357,0.025068546807677242,-0.0017158062418628842,0.019361466729887783,-0.0057070800777894587,0.0094179763432275937,0.019361466729887783,-0.17158062418628842
wthr_gt1000,20424,69,True,0.0032870565077821518,0.0033679213273129396,0.02401030536996096,0.0028431412293986832,0.0033783783783783786,-0.00053523714897969537,0.0024004267425320057,-0.00097795163584637286,0.0025208819897309595,0.0024004267425320057,-0.053523714897969539
