period,n,mean,sd,min,p05,p25,p50,p75,p95,max,below_development_range,above_development_range,outside_development_range,outside_fraction,unit,definition
development,101232,8.4923897809412523,3.3227768611432795,1.9531958165324199,4.1036360765629087,6.0690498501956869,7.9229611411511929,10.386671160247566,14.657420320770976,26.794455809717221,0,0,0,0,m/s,existing incident-anchor interpolated gust proxy
evaluation,20424,9.5106804088444363,3.6099546679465204,2.8456934731649235,4.5844018642679716,6.5042509830457469,9.1165130734620625,11.583401662958384,16.001504897928232,23.315622811037649,0,0,0,0,m/s,existing incident-anchor interpolated gust proxy
