subset,n,mean_difference,sd_difference,rmse,correlation
with_incident,41926,3.0666753434544134,1.8023470584732135,3.5570880085626193,0.93607072950819759
without_incident,79730,2.9068873770957819,1.6837744749303929,3.3593236144839063,0.91963371846393116
all,121656,2.961954700347837,1.7272209928414941,3.4287670499268299,0.92696850080913484
