margin,sample,SE_method,term,coef,se,p_normal,p_t_G1,source,se_lad
E0,all,LAD_only,Intercept,3.363184077294711,1.0267031258817945,0.0010539585936998196,0.0014100657426809303,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,z_precipitation_24h_sum,0.053437689689673613,0.010015857805781243,9.538233153531578e-08,5.1604509934551747e-07,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,z_temperature_0h,-0.03405759290387636,0.019368364842617721,0.07867718924103026,0.081458379012044307,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,z_pressure_msl_0h,-0.080630788835995518,0.010825537809277102,9.4621104347489602e-14,2.271986430907303e-11,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,z_gust_pressure,-0.034933705867966493,0.0079958814930826752,1.2483823661958264e-05,2.8390712164926529e-05,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,urban_binary,-0.14940762955466874,0.074467979274248322,0.044820637950056426,0.04727438239604586,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,log_population,-0.072417151693353901,0.087263997268183444,0.40661631679391474,0.40841368341379108,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,income_deprivation_rate,-3.1002204091423309,0.88739792932063188,0.00047654038038780341,0.00068762833989202124,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,deprivation_gap_pct,0.18041891797817167,0.53806199039232261,0.73738935580260567,0.73802798985799611,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,morans_i,-0.032088449919336397,0.23609745967701795,0.89189094270111546,0.89213935728831428,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_year[2022],0.075615226402691291,0.026436365919703955,0.0042327632077195504,0.0050662244239147777,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_year[2023],0.014684134962428628,0.03050317788071787,0.63023444671802686,0.63119072158171519,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_year[2024],-0.022469656008992756,0.045849040485499558,0.6240779343340126,0.62505398697384473,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[2],0.086620425450868899,0.042739621200044063,0.042693018291112987,0.04511189788389304,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[3],0.039419824044390608,0.048632420763899793,0.41761450840728354,0.41936472057157476,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[4],-0.0059718892867345382,0.048437088638403319,0.90187614115862125,0.90210113349490173,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[5],0.085491698522288412,0.053784581616003239,0.11194291507041199,0.11481303469328388,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[6],0.32137845794595582,0.058430356556911506,3.7936766232152291e-08,2.4933462899444958e-07,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[7],0.33411504513331985,0.056564284414311765,3.4877451774865932e-09,3.9567979072123476e-08,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[8],0.20010301630364019,0.055177111824446727,0.00028722392380635539,0.00043689220417477006,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[9],0.12683628243029538,0.054187235142301816,0.019247415909304282,0.02104977034629758,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[10],0.052857792548054477,0.05042004632524922,0.29447795662595178,0.29677591253680102,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[11],-0.046192994265807551,0.042792588791738577,0.28038160854322414,0.28274283666575206,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,incident_month[12],0.1052837481711833,0.041325817447183444,0.010845099693489992,0.012226048598140414,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,z_temperature_sq,0.056553411291127419,0.0078979830553226188,8.039048639531119e-13,9.5918269778487959e-11,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,gust_low,-0.026952197980057893,0.0030190961895515877,4.3676690722410049e-19,1.1138178899959667e-14,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,LAD_only,gust_ramp,0.12146172840850161,0.0071624463569820327,1.6758108562472474e-64,1.8091234228621179e-32,results/new/20260909183317/results/final_models/E0_final_lad.csv,
E0,all,two_way_LAD_date,Intercept,3.363184077294711,1.0281767756514328,0.0010716133383395355,0.0014315514857434445,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,z_precipitation_24h_sum,0.053437689689673613,0.014611940377507363,0.00025506020315745867,0.0003929943564211301,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,z_temperature_0h,-0.03405759290387636,0.028766272601043578,0.23643609739825278,0.23898819138796601,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,z_pressure_msl_0h,-0.080630788835995518,0.017651380481558007,4.9249546916606717e-06,1.2928038912656143e-05,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,z_gust_pressure,-0.034933705867966493,0.015771022765372126,0.026756189396171109,0.028817061632121797,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,urban_binary,-0.14940762955466874,0.074915298396606059,0.046113375178232954,0.048587170244242715,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,log_population,-0.072417151693353901,0.087253928929737865,0.40656217175805298,0.40835977177839544,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,income_deprivation_rate,-3.1002204091423309,0.89678195819592155,0.0005461227399693176,0.00077738956185596428,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,deprivation_gap_pct,0.18041891797817167,0.53493259874296573,0.73591027214058391,0.73655297906854156,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,morans_i,-0.032088449919336397,0.23500129522965507,0.8913897865670013,0.89163938061937131,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_year[2022],0.075615226402691291,0.032636514684383673,0.020509704785931976,0.022361453630897008,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_year[2023],0.014684134962428628,0.037634517543033985,0.69640543579472314,0.69715995385424889,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_year[2024],-0.022469656008992756,0.06626784248423577,0.73455451205344802,0.7352009591650146,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[2],0.086620425450868899,0.069675139483216381,0.21379259853345822,0.21643585160743078,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[3],0.039419824044390608,0.065608544044073389,0.54795075809091287,0.54918679424149863,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[4],-0.0059718892867345382,0.066201199448564507,0.92812178928549438,0.92828584218708221,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[5],0.085491698522288412,0.072528591736118544,0.23850531262653307,0.24104876095715425,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[6],0.32137845794595582,0.086142277743070927,0.0001908828385901725,0.00030373768815034112,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[7],0.33411504513331985,0.074877319218060678,8.1135245728929617e-06,1.9693440295539451e-05,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[8],0.20010301630364019,0.090407695352720877,0.026874177382390466,0.028938519148302321,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[9],0.12683628243029538,0.07820701805252947,0.10484579351937677,0.10770868724346921,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[10],0.052857792548054477,0.06727953478095694,0.43207582045682813,0.43376483531491428,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
E0,all,two_way_LAD_date,incident_month[11],-0.046192994265807551,0.06356843325723209,0.46743082595626562,0.46897437585362367,results/new/20260909183317/results/final_models/E0_final_twoway.csv,
