model,term,coef,se_lad,se_twoway,se_ratio,ci_lad_lower,ci_lad_upper,ci_twoway_lower,ci_twoway_upper,p_lad_t_G1,p_twoway_t_G1,df
E0_weather_final,Intercept,3.8616797608347739,1.4682162634227276,1.4056791782638591,0.9574060806184771,0.95015181347379007,6.7732077081957573,1.0741652001407345,6.6491943215288138,0.0098293757043760588,0.0070858094107638771,104
E0_weather_final,z_precipitation_24h_sum,-0.11827051930994266,0.025769040185908768,0.034426828827466699,1.3359763723870575,-0.1693714930200669,-0.067169545599818414,-0.18654021279264082,-0.05000082582724448,1.2461418927895423e-05,0.00085125755197702573,104
E0_weather_final,z_temperature_0h,0.027198941296673079,0.039481447531188721,0.069032897086073075,1.74848951603256,-0.051094250757572401,0.10549213335091856,-0.10969588418689885,0.16409376678024501,0.49241748710190425,0.69438794325614761,104
E0_weather_final,z_pressure_msl_0h,-0.18538680336870464,0.031043887441239267,0.040494823128395405,1.3044378931293683,-0.24694799713261895,-0.12382560960479033,-0.26568955726063381,-0.10508404947677545,3.3055975980485976e-08,1.30498835239758e-05,104
E0_weather_final,z_gust_pressure,-0.086481935295944903,0.029686150746290614,0.033962198153598848,1.144041827579904,-0.14535068624269204,-0.02761318434919776,-0.15383024871640771,-0.019133621875482093,0.0043794297719916614,0.012348632591174769,104
E0_weather_final,urban_binary,-0.0058103102898255932,0.064152147298945167,0.066455883607293958,1.0359105097077035,-0.13302642578814544,0.12140580520849426,-0.13759482133872417,0.12597420075907298,0.92800785614121295,0.93049698194993069,104
E0_weather_final,log_population,-0.052849189803676977,0.12372491580859996,0.11787119081311045,0.95268758150100419,-0.29820034081317026,0.19250196120581628,-0.28659218447739876,0.18089380487004483,0.67015257477872037,0.65482329983817333,104
E0_weather_final,income_deprivation_rate,-1.9483855151618044,2.226160399988637,2.1835124155497194,0.98084235779275597,-6.3629451283112921,2.4661740979876838,-6.2783725747400254,2.3816015444164162,0.38346973869721607,0.37428297244478831,104
E0_weather_final,deprivation_gap_pct,-1.3852534023926912,1.0387047554740785,0.99727261645614473,0.96011172684096979,-3.4450439114348907,0.67453710664950828,-3.3628824249598379,0.59237562017445522,0.18523688356596862,0.16778724991365257,104
E0_weather_final,morans_i,0.59090139897823812,0.39493010794710925,0.37843756446071553,0.95823933613944046,-0.19225982541914821,1.3740626233756243,-0.15955449277846467,1.3413572907349409,0.1376255370253916,0.12146174354502114,104
E0_weather_final,incident_year[2022],0.26340425184547789,0.082407834727172571,0.090316573916564169,1.0959707194780088,0.09998642310522593,0.42682208058572985,0.084303096505489894,0.44250540718546588,0.0018436130191855585,0.0043375590843044761,104
E0_weather_final,incident_year[2023],0.38855665788609633,0.080328594815632939,0.091158904129930649,1.1348250811452014,0.22926203991699015,0.54785127585520255,0.20778513012331157,0.5693281856488811,4.582636018788558e-06,4.4583533808020149e-05,104
E0_weather_final,incident_year[2024],0.38714222872746501,0.14962704387677001,0.16524077856323707,1.1043510202562463,0.090426185743003151,0.68385827171192681,0.059463563931178298,0.71482089352375167,0.011051955241429788,0.021037689850958673,104
E0_weather_final,incident_month[2],-0.10802477212829509,0.11048918653721175,0.12784557177667946,1.1570867320452418,-0.32712897530224644,0.11107943104565626,-0.36154733855621912,0.14549779429962895,0.33049377835267463,0.40007119587132706,104
