term,coef,se,p_t_G1,se_lad
Intercept,4.140109304054106,1.4259284927311564,0.004507527465960829,1.486467989328873
z_precipitation_24h_sum,-0.13179926358103822,0.034680988168085104,0.00024374527634635557,0.026390390749080346
z_temperature_0h,0.15356083665073994,0.07089577028140946,0.03259509018765176,0.03844822560965242
z_pressure_msl_0h,-0.1989347760394206,0.041414680314211416,5.258710906206224e-06,0.03193833318343298
z_gust_pressure,-0.08450481155440447,0.036926829869422285,0.024134208659616522,0.030216130523426126
urban_binary,-0.000701789686735037,0.06587987474292237,0.9915210509676818,0.06443393104563329
log_population,-0.05268108186525253,0.12057159740669125,0.6630695761932408,0.12602062642861275
income_deprivation_rate,-1.967101021147174,2.2061742468683385,0.3746471614532809,2.256471929935104
deprivation_gap_pct,-1.4298937105099283,1.0009312643968555,0.156126249791751,1.044798383032052
morans_i,0.6034412806376463,0.37904525441815584,0.11441903716685561,0.396090428602818
incident_year[2022],0.302999881501664,0.09371459940908293,0.0016405459910986758,0.08246244471846109
incident_year[2023],0.3611056144599168,0.09308614679021916,0.00018397356145389234,0.08063147497645182
incident_year[2024],0.36003540457989774,0.1669060316153338,0.03329978352798431,0.14741589630622806
incident_month[2],-0.1360517796890262,0.13371161277524032,0.31127610633770303,0.10734087443565091
incident_month[3],0.20708063862908246,0.14700751265368078,0.16192437933937504,0.1348354378221386
incident_month[4],0.0701269293900884,0.19773801412410963,0.7235731832231272,0.18762195308125493
incident_month[5],0.20109629980570878,0.18492417877882772,0.2793506154423557,0.16124522894923862
incident_month[6],0.8349499968896305,0.2375840848361042,0.0006541890632219875,0.1880042155786693
incident_month[7],0.7047710045031131,0.2003474365759691,0.000646730968213272,0.1437231523225145
incident_month[8],0.5882282750726049,0.20373829432961899,0.004728774102491561,0.13847213075579273
incident_month[9],0.24159375042752165,0.2065328826957587,0.24477168724064527,0.15491944775228045
incident_month[10],0.3696117958879532,0.1949053899390538,0.06068684351050532,0.14473457465274606
incident_month[11],0.2142636894881423,0.17694577307089135,0.22867817909224794,0.15142440224751483
incident_month[12],0.5658901533388606,0.15561628211620845,0.00043186637442258944,0.12455978192554983
gust_low,-0.06684377069315528,0.015292817631935282,2.939852308802572e-05,0.011797296907711233
gust_ramp,0.06964011622616602,0.010681176559249808,2.5843455392029578e-09,0.007535191207994256
