fold,gust_linear_coef_orig,gust_linear_coef_custadj,gust_linear_p_orig,gust_linear_p_custadj,gust_quad_coef_orig,gust_quad_coef_custadj,gust_quad_p_orig,gust_quad_p_custadj
0,0.0188226422112266,-0.002590382779573145,0.2121468560074131,0.8590659461663298,-0.0291578202343617,0.007604033206390913,0.0225427570578508,0.49570274720263596
1,0.0255124898090188,0.006284674998441234,0.1379537421849581,0.7005711051476757,0.0030776521411979,0.036484249555788564,0.8058353426911804,0.001490109351215429
2,0.013751878853617,-0.009261369616874232,0.3917046535656189,0.5438036507642462,0.0076748806978974,0.043506810588310546,0.5347244548150638,0.00012846045344712664
3,0.0444059780581093,0.024563290011161042,0.009839184676419,0.13286711143942606,0.0087072811971077,0.04556770925674051,0.5597374871215155,0.0009303189282348277
4,0.030112016918204,0.008872124741974208,0.0718324188248571,0.5741093850418023,0.0122047123915678,0.05289582452306057,0.3693698860049791,2.3497654112966712e-05
