model,fold,beta1,beta2,turning_point_z
R0c_prime_B,0,0.01521674827033405,0.052207554344638835,-0.14573320337784268
R0c_prime_B,1,0.030805678751895892,0.07058418792019261,-0.2182194033791742
R0c_prime_B,2,0.024333062173114938,0.07678284763873044,-0.1584537622751632
R0c_prime_B,3,0.028547210613788954,0.07275149547552537,-0.1961967271407681
R0c_prime_B,4,0.019643064661091197,0.0712225208735541,-0.13789925167044276
