b,beta1,beta2,turning_point_z,boot_gust_mean,boot_gust_sd,turning_point_ms
0,-0.005112929637756749,0.12393896376160976,0.020626804850455288,10.075824107476585,5.457991609270663,10.188405035276434
1,0.00065972735407413,0.10725189276021437,-0.003075597721846729,10.33934692829533,5.886216833001047,10.321243293213456
2,-0.060204531356382186,0.12744234360532167,0.23620301405799085,9.492789244921244,4.831189921836989,10.63393086594573
3,-0.039332174916707416,0.1016654585659242,0.19343922445007597,9.661430049251582,5.179104052650065,10.663271920542456
4,-0.06271931348471894,0.13223396327073725,0.23715281586284584,9.439885752200306,4.632730421429438,10.538550816775766
5,-0.07760617471914319,0.10630051467412194,0.3650319801228386,9.468559511349014,4.602785916381406,11.148723568487233
6,-0.03290452337246125,0.0860004355004157,0.1913043996870353,10.345485651045237,5.870149005346579,11.468470982586512
7,-0.06273299407420993,0.10888018001572358,0.2880827073630414,9.860323852391685,5.184927599381768,11.354011832702941
8,-0.06540503567025878,0.08617930713704562,0.37947065161622384,9.629040466738585,4.907066585759823,11.491128221561064
9,-0.05075474056897693,0.11116457300278555,0.2282864909115655,9.79777662427996,5.202529358673695,10.985443795435975
10,-0.028891002208096043,0.12670869183700492,0.11400560525579709,10.0977036589752,5.394442969832673,10.712700394768854
11,-0.04568315043971272,0.12628451274014316,0.18087392289233192,9.821308267439907,4.918861507333165,10.711002044435345
12,-0.016750765336968024,0.10127439277834932,0.08269990506696498,9.830117226190298,5.280438993614219,10.266809029674095
13,0.0021182298341170212,0.11289850287393177,-0.009381124550793844,10.321978665677673,5.517008510264134,10.270222921695096
14,-0.05118901831175195,0.12759414803683736,0.20059312711180655,9.768382344380662,5.290170193661755,10.829554126480945
15,-0.049619303517211916,0.100211499820198,0.24757290134485624,9.610886877902844,5.216583203278439,10.902371516645331
16,0.015328257267778646,0.11763000463611471,-0.06515453822855913,10.210726426137033,5.464791417550099,9.854670464811162
17,-0.057940640844417746,0.091428030331619,0.31686475490208527,9.930846859659578,5.196997706115206,11.577592264034472
18,-0.04999538624858301,0.08588296515602999,0.29106695465016064,10.308234460020751,6.001433967881139,12.055053568585944
19,-0.014125409516041746,0.11082731706754904,0.06372711119331859,9.987966489200984,5.244737401881255,10.322198452790428
20,-0.0782590912533052,0.11231569737749446,0.34838892995640414,9.584736531002127,4.5938890920299285,11.185196636112831
21,-0.05559396775080198,0.1405121192989942,0.19782623743829592,9.461794829516185,4.683001851228951,10.388215465661382
22,-0.028542183790046454,0.11190387211338353,0.12752992032807797,9.885276251963672,5.383045586840764,10.571775626775887
23,-0.05986973756531294,0.13402204615705482,0.22335779553445298,9.603512255058986,4.740467899115365,10.662332714807233
24,-0.05327448477436578,0.13592456474811554,0.1959707756765297,9.574153702073522,4.767739838638917,10.508491376475483
25,-0.02443475797757393,0.10707208780679293,0.1141042379862127,10.188880922164463,5.361641268866712,10.80066691350393
26,-0.014485583580587082,0.057764375210906084,0.12538509702301914,10.716355226297372,6.386680988290935,11.517149841669303
27,-0.07235462563132525,0.08968378921786674,0.4033874252098997,9.43550003019432,4.648392469950913,11.310603100012905
28,-0.0724690102227724,0.09527570023338773,0.38031213649047985,9.59613468015087,4.847523880912629,11.439706843989374
29,-0.028139477729074235,0.12111159620521596,0.11617169045230676,9.873724930461297,5.310586108442,10.49066469597154
30,0.016771753936261128,0.058182653624141024,-0.14413019080056386,10.606405035999934,6.070841887049944,9.73141343649937
31,-0.07699879787791668,0.09148447441014831,0.42082986416204,9.329022656063152,4.8887111143488005,11.386338290242014
32,-0.05380891035925752,0.1014404087411105,0.2652242386788142,9.829954625190858,5.3103025436474525,11.238375574483925
33,-0.07192420832936779,0.12773623484463012,0.28153408630233867,9.403516715483452,4.591826639746119,10.696272432963113
34,-0.03768531002696806,0.08275152700598377,0.22770159893389658,9.817450783005661,5.465550348796381,11.061965336480313
35,-0.0407054074664468,0.12547148912611963,0.1622097886537838,9.677647217493236,4.9591090625183245,10.482063250435397
36,-0.007298572062233572,0.0947471685167175,0.03851604315196917,9.902747065265807,5.235072969297567,10.10438136165498
37,-0.05315185973628388,0.12965774197101806,0.20496986500106074,9.812166771777743,5.204079079052012,10.87884615806588
38,-0.07934733097159094,0.11921651415500123,0.3327866593567157,9.601557751506263,4.777669627200378,11.191502466252322
39,-0.06592807486584454,0.09048673610045772,0.3642968997834758,9.981300117242007,5.64401775643192,12.037398288233044
40,-0.06367612215220485,0.10860513086651907,0.2931542996364779,9.765495284903249,4.777321137094476,11.165987516986721
41,-0.05795322884176317,0.10152783434721102,0.2854056191308642,9.640738050817278,4.560890285606688,10.942441766568798
42,-0.08510866121376563,0.13856608505763546,0.3071049498813702,9.897286844154234,4.872018127091044,11.393507726895656
43,-0.02186912566837385,0.10686047592732051,0.10232560485341556,9.736468383467498,5.202209212761857,10.268787587737366
44,-0.11171845584858504,0.13505511768117784,0.41360319315080224,9.36748382342896,4.456611397803791,11.210752528192868
45,0.010007936940174779,0.10811495011474101,-0.04628377911451415,10.138583084387779,5.755179461598132,9.872211629422782
46,-0.036864641735437055,0.07129168566635286,0.2585479736582793,10.004871756202734,5.592450393249046,11.450788473161722
47,-0.05682681994413678,0.10491619173024733,0.27082006603063546,9.869603137813053,5.244188117729136,11.289834510133531
48,-0.050748109896397525,0.09173339808593284,0.27660650839979983,10.148606974360321,5.647186068678316,11.710655395101423
49,-0.058617737495063396,0.12630672785956343,0.23204519065777185,9.662846938199236,4.761328992255259,10.767690431991484
50,-0.07002772286029574,0.12227926309531321,0.2863434121520307,9.690733950461743,4.890222337027365,11.091016900628237
51,-0.03385339393868674,0.13212629832715886,0.1281099764668428,9.948943976019107,4.8714471595104865,10.573024956983463
52,-0.05269842173975938,0.14004421111990983,0.18814923272564796,9.895779500906954,4.876842507922872,10.813353676896467
53,-0.02810541084782702,0.09255305561276114,0.15183405162450342,9.735668952293446,5.211570323848315,10.526962789889362
54,-0.01339236954344822,0.10881516389174246,0.06153723922509532,10.099478327130424,5.39873912092643,10.431701827928753
55,-0.038850548104168055,0.15234791936792563,0.12750600160919362,9.909398621463646,4.9084304114914525,10.53525295740989
56,0.017559099215802683,0.09580218035455197,-0.09164248220039793,10.437363300228292,5.761852388359766,9.90933284528671
57,-0.01640609478260416,0.08440886630683503,0.0971822955361484,10.143027378581039,5.710645729499516,10.698001039567504
58,-0.01824511622134184,0.07913100158537403,0.11528424925632513,10.696468064800767,6.41646309793792,11.436185195927454
59,-0.046779584202105325,0.12494937090389496,0.18719415657597,9.913956855986157,4.907261445111765,10.83256752330163
60,-0.0662386951504435,0.13998022002066793,0.23660019658728723,9.48512259444309,4.6070019751263285,10.575140167436
61,-0.03732532375162996,0.09562537817137443,0.19516431968895126,9.946486280792664,5.380514271501698,10.996570688166987
62,-0.06523023587814536,0.09923351640113356,0.32867038397825143,9.288546986760764,4.421943237516485,10.74190876856534
63,-0.03310632201734605,0.09562941849358328,0.173096953525695,9.65917807267958,5.075277306612,10.537693112752212
64,-0.04089461410768473,0.10883354343711622,0.1878768843509793,9.9159981198995,5.282104039784463,10.908383369711926
65,-0.034987275906842336,0.0961309301575361,0.1819772046806703,9.902281144498652,5.104988897880999,10.831272754060892
66,-0.028094814393953626,0.09417046526725426,0.1491699882453644,10.157465663213396,5.390513789370869,10.961568541810323
67,-0.0071584631108122035,0.11238119081106795,0.03184902677729589,10.200955455900344,5.424313888644393,10.373714574188236
68,-0.04229028664728598,0.10202406748143299,0.20725642336785996,9.763475385954951,5.196227332960717,10.840426877990703
69,-0.07423034103704766,0.13236259471467993,0.280405280649938,9.612008769577695,4.717194925214569,10.93473513646295
70,-0.0264372695942145,0.11948399270686624,0.11063101004280074,10.174734785074468,5.465419612725526,10.779379677138026
71,-0.0025725453004021453,0.09799564942446068,0.013125813826996348,10.177799144156989,5.557887694461772,10.250750943305848
72,-0.03490631884399688,0.13783031146440905,0.12662787478721793,9.80183324604863,4.91760839085707,10.424539545618652
73,-0.08239926103609432,0.157834028449637,0.26103135630979274,9.37951285414335,4.719171584754493,10.61136461357045
74,-0.0561258531851197,0.10877198751488619,0.2579977366757158,10.005800292983828,5.274925208791402,11.366719057985687
75,-0.04531857807044453,0.1253186189330763,0.18081342763059788,9.441445529927744,4.723243345065805,10.295471348682502
76,-0.059743291084720554,0.10738912809722494,0.27816266014671365,9.731926772630638,4.965048473641429,11.113017863816118
77,0.005498448132039986,0.12023431634315383,-0.02286555244489095,10.053647116865026,5.266790774578066,9.933219036192643
78,-0.033775380397757904,0.07903882086512301,0.2136632355345635,9.968993005750601,5.242918926662912,11.0892120272668
79,-0.001219363828116543,0.12416681934098331,0.00491018387435681,10.265744064882893,5.419961809350211,10.292357073958796
80,-0.06046092597992977,0.1069417320900408,0.28268162857612966,9.925344339075894,5.276822314481397,11.417005064640357
81,-0.033306941739260666,0.10397211619281242,0.16017247199958007,9.95063769396525,5.256377448940975,10.792564663724972
82,-0.07115662061465612,0.10310580552850412,0.345066023440283,10.085393955800185,5.745720693116638,12.06804694717249
83,-0.060933035310739896,0.0660367969733626,0.46135668372376226,9.636409111932808,5.076218115086053,11.978356267367397
84,-0.07332041438249652,0.14709772239035762,0.24922348623428697,9.532288957767433,4.7595065678278905,10.718469777356486
85,-0.024032566183593507,0.06849080900564405,0.17544373130132745,10.273812974771669,5.770411066186301,11.286195423365864
86,-0.038855679830828896,0.09586259016836268,0.20266341522061412,9.695149796311327,5.256682648064444,10.76048705449901
87,-0.03910861408096194,0.09093359367724359,0.21503941777431915,9.911034374742217,5.515619484733669,11.097109977404035
88,-0.033160807145880156,0.0705929050287703,0.23487351265941947,10.324030162244469,6.021413302066801,11.738300655675053
89,-0.013089924893921693,0.1117311941500959,0.058577754375099274,9.867473641992007,5.362388995206349,10.18159034741694
90,-0.036210021708827846,0.12465077860136055,0.14524587056383062,9.677703208864655,4.855383898172181,10.38292767007628
91,-0.06902351370316277,0.11745014608764955,0.2938417532986829,9.608079475048884,4.649606888756473,10.974328115390719
92,0.02861508738724926,0.07015003739588019,-0.2039563231147314,11.060199800043453,6.559430996907808,9.72236237218934
93,-0.02128476452547731,0.12849948276499654,0.08282042879660256,9.56230236227531,4.790877784879408,9.95908491473114
94,-0.05869907849931537,0.10009480198694037,0.2932174165596231,10.019955251493075,5.40357365316282,11.604377158263121
95,-0.020183120873807324,0.08956951124997393,0.11266736075783375,9.97051677530879,5.676040998142823,10.610021334122802
96,-0.07543735515450561,0.10479952880983649,0.35991266378396664,9.270786228659517,4.318335558503014,10.82500988263336
97,-0.04832015327612828,0.10848141646674032,0.2227116627433737,9.753159054645103,5.10936544734123,10.89107432898601
98,0.001269802097494742,0.07214888486412173,-0.008799873344447148,10.566491537264763,6.150641757056605,10.512366668815597
99,0.01586470645508327,0.056294519590816695,-0.14090808990286927,10.793928381864408,6.420909540413003,9.8891702830857
100,-0.061773677970772274,0.10721147626960101,0.28809265630962927,9.856519339117527,5.136004731654084,11.336164585078578
101,-0.07487475831493451,0.10516101502952582,0.35600054969948747,9.667963286999402,4.838413253810655,11.39044106502928
102,-0.03047983230738871,0.10464023247327865,0.14564107698810858,9.80549542598874,5.110246189394166,10.549757184686484
103,-0.029696676474348892,0.1310504179929886,0.11330248666561944,10.02000394697736,5.387808832069637,10.630456085329836
104,-0.03771961418459091,0.10637062781279492,0.17730277126395677,9.705885179712856,5.097381543425332,10.609665053551913
105,0.00073338421710959,0.08853199711645597,-0.004141916148942671,10.88023080081393,6.44824786703158,10.853522698841086
106,-0.04903265152795196,0.08857905779109039,0.27677338611793095,9.70603838033899,5.092317142718099,11.115456239115465
107,-0.029413688047656983,0.09974529342352187,0.14744398977686834,10.178606443735209,5.8718836874879194,11.044380402124137
108,-0.05007045702355518,0.11324368902041866,0.22107393999910718,9.446587521109356,4.662046586201728,10.477244528380359
109,-0.0294026091441436,0.10892799303035533,0.13496351271224594,10.03066472652691,5.688282764263217,10.798375349692398
110,-0.06191948089809304,0.10027548629083802,0.3087468492473943,9.946376079967012,5.173076115000901,11.54354703139049
111,-0.04906678367471299,0.09486511953733016,0.25861340772044683,10.611458190994341,6.146354307860826,12.200987823607477
112,-0.01818159738156002,0.11962816980410564,0.07599212380885237,10.037269823795139,5.256266035378735,10.436704643127905
113,-0.0870691378125472,0.10073912203534725,0.43215156164452406,9.315715053904043,4.688475807592916,11.341847195887892
114,-0.0006733447707654178,0.0949139803821745,0.0035471316662422717,10.29690485680632,5.892586439634634,10.317806636762418
115,-0.06992105377162966,0.10637486400726724,0.328654021907153,9.837485100140405,5.224080999493007,11.554400331392522
116,-0.06191812876014964,0.10390172056820442,0.2979648865367181,9.578169545315438,5.011908924919402,11.071542419461412
117,-0.02334485933886693,0.09919725364538139,0.11766887933370655,10.195118286263144,5.662025752067345,10.861362511267496
118,-0.02104845297965281,0.11185716415547167,0.09408629808635816,10.118228223203777,5.038092593169825,10.592243704711427
119,-0.07232651192409122,0.10438488241400062,0.346441506909196,10.27600441219169,5.711623210488971,12.254747764131029
120,-0.03342313581788087,0.11568793026992001,0.14445385849629644,10.29542682518642,5.43685129330215,11.080800972574494
121,-0.06595080863472924,0.11624781388347961,0.2836647263785738,9.856778298087523,5.222696171002301,11.338272978393316
122,-0.02446908423745863,0.12637607373598347,0.09681058888005106,10.202614578403164,5.385833530073972,10.72402029405955
123,-0.08660002956057257,0.12026466081731976,0.36003938718172884,9.667330905986796,4.814410565580354,11.400708335659587
124,-0.06002233459402212,0.11998677086078617,0.2501206348142439,9.238810956696696,4.459274226909424,10.354167457142077
125,-0.04700632839493343,0.11390780211654919,0.2063349811053201,9.552601398927383,4.745622325992308,10.531789291893991
126,-0.0550462007366903,0.11128213906447103,0.24732720452470555,9.732485455292176,4.794228615963289,10.918228616730724
127,-0.06153235486886095,0.06120869296829188,0.5026439210255375,9.71971004317711,4.988914476937564,12.227357577526076
128,-0.07331019049575574,0.15029130024306905,0.24389365977002572,9.791569346847048,4.923477025744367,10.992374177449483
129,-0.06270299913111799,0.1342215673516323,0.23358019269306143,9.440946248816578,4.570383901507727,10.508497401212018
130,-0.037245238630019654,0.09355876286529731,0.1990473018740322,9.77350009714737,5.161219522752939,10.800826917530923
