path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
development,R_C_log,P00,P1,49564,270,732c42a371bf6a60796b50d5881411ee4f95af00ecd49046c9115c00ba5e14a0,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P1.fit_ids.parquet
development,R_C_log,P00,P2,47038,2603,4a2672772b7812c58cf4c5025d2755d50d212fee78133cc7fe22d9453898e4ea,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P2.fit_ids.parquet
development,R_C_log,P00,P3,49285,509,752657080d2a72c0723bf8f511e813145df9507576dad44146498e2381804589,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P00\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,P00,P4_P5,50021,1070,4e8373a70c22b67ff922f24b36271fcd7ac71a363cf5696124302f072df68b38,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\P00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\P00.fit_ids.parquet
development,R_C_log,P02,P1,49564,270,e69d5ebc3b68931e46863ad61fa2d5dbad49520d65ca67657284e056e78913c6,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P1.fit_ids.parquet
development,R_C_log,P02,P2,47038,2603,84b13e923efe28a5807de85234d45aaff337f348b6e8c91afebd37218b4a0d2e,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P2.fit_ids.parquet
development,R_C_log,P02,P3,49285,509,24a911ca6eac0938d101a477adfc42efbd69afd10e1203023c06e65b00b262f2,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\P02\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,P02,P4_P5,50021,1070,951712a20884b1cdaded4ce6b232a6ced18579f20906401356c16cc931394c71,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\P02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\P02.fit_ids.parquet
development,R_C_log,S01,P1,3110,270,38dc037e788ebccb87f7a785b2587d6729c720e9748c1ae85f899ab67bb31ee0,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P1.fit_ids.parquet
development,R_C_log,S01,P2,777,2603,ad48fb8fd4194ffdd1c00a975ef2b7e8e4b7973cf24615a85128561ef63c4c3c,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P2.fit_ids.parquet
development,R_C_log,S01,P3,2873,509,eba0d71536cab587ec571de65ed24a44dbf507f73cc230f4ba8a1a0a18d631b7,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S01\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,S01,P4_P5,3380,1070,45f8fab347ecdd8318ca07f102f6537231f9e22290f195a90ea1846b26e02247,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S01.fit_ids.parquet
development,R_C_log,S02,P1,3110,270,a57885ed387be2787249446af2ba7604061a6991271ae51de16d58192deab667,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P1.fit_ids.parquet
development,R_C_log,S02,P2,777,2603,909916568ab3a54c722a051829c4590030381513639f7b0781abbd77a7e225a1,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P2.fit_ids.parquet
development,R_C_log,S02,P3,2873,509,9aca0bac03e4e06406fdcb322e2413f3b36744250a54aeaaadaa3c5260ed48f8,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S02\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,S02,P4_P5,3380,1070,1d0e845177eab50ca611ba6ae5b8ce4637f7b26cbb13608197ac54716b4fca7c,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S02.fit_ids.parquet
development,R_C_log,S03,P1,3110,270,4744b932d840aa41c8fb0684bfae83ad2043fab09230a556a242829e5af273fe,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P1.fit_ids.parquet
development,R_C_log,S03,P2,777,2603,a616a0ad6acf2db4b711f10c303456dd32fef701120a988d659a887d4582b482,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P2.fit_ids.parquet
development,R_C_log,S03,P3,2873,509,4a06b83c66062968355ddd3c70ec13e6265f2812d03214833bb1556bbbb5244e,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S03\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,S03,P4_P5,3380,1070,ca8c4eede19ffa8d5aa031bd857c6512f593945ec3a87171d1efdc8b61ab073d,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S03.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S03.fit_ids.parquet
development,R_C_log,S04,P1,3110,270,d654f7b428e1d2a2553db580b1b41b59e21f53b72a165d69a91ae7b7bd8b0a96,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P1.fit_ids.parquet
development,R_C_log,S04,P2,777,2603,10eee9aec4c2ec4bb6e481c22232d7b3d83ddda1ab6b4eb7bae2e9c1c124da04,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P2.fit_ids.parquet
development,R_C_log,S04,P3,2873,509,fabe6aab01cfe64ec28ca49e7b19cbc371d8b556750c7832c4b80849907faef0,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S04\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,S04,P4_P5,3380,1070,4011e0e13844ec3bb042363db322571b1be6ab6cfa16b220580fe215bb4ff7ba,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S04.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S04.fit_ids.parquet
development,R_C_log,G05,P1,49564,270,0f23da8412fdfa90a278a77679923cc82bd72380c24caaeb46025dae3e5ab2a5,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P1.fit_ids.parquet
development,R_C_log,G05,P2,47038,2603,fb8c757c6e9fccd3a1fd3fa186861441d60dacf8abd299ef27ca6399fe32410f,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P2.fit_ids.parquet
development,R_C_log,G05,P3,49285,509,2ea86f59b938f3ab345d5e42f172a35f7a9794a85756849bffb3078eb563fa39,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G05\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,G05,P4_P5,50021,1070,a1f437693a0e6e2bb43973e004d9b4e7459eff420e38c549e1a93130056d8fa9,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\G05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\G05.fit_ids.parquet
development,R_C_log,S05,P1,3110,270,5fdf56ace7bae7eca346d1e01cfc5660c7be9262c7e880797f63e3e54d61a960,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P1.fit_ids.parquet
development,R_C_log,S05,P2,777,2603,cde278ca2c12d6785065dd08c75e50cb47bfd03ad0b6ea167052b6b596cd505d,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P2.fit_ids.parquet
development,R_C_log,S05,P3,2873,509,5fc7447638e2b979317aff963e5e16748f48d9d40746a6418abd2e57723e5e9b,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\S05\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,S05,P4_P5,3380,1070,295013114a8a19c9a51190f3675c8eca630ba840842ad2801804d83db5acade3,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S05.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\S05.fit_ids.parquet
