path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
development,R_log,P02,P2,47038,2603,b7c262262c4b55963f566833d91166b1913b461bf01a7ac6e77d0d58722752eb,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\P02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\P02\holdout_P2.fit_ids.parquet
development,R_log,P02,P3,49285,509,c1d792e803961b23dd59028010e59ada209c4d82f581c32af6756e80f313e1a8,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\P02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\P02\holdout_P3.fit_ids.parquet
time_frozen,R_log,P02,P4_P5,50021,1070,b0ba202d2584cc33aa72f0a7fcea4ae715fc66292dde57d02a073f270cb036c5,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\P02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\P02.fit_ids.parquet
development,R_log,S01,P1,3110,270,403b0c87de0fbc125f82c20162a8dbdf53e3d8a5122f23baf76a7267b2be173f,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P1.fit_ids.parquet
development,R_log,S01,P2,777,2603,4aaff743962d3df4926d2b722e010abf701f924d7ffb6a973444560662e9cc9e,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P2.fit_ids.parquet
development,R_log,S01,P3,2873,509,e1deefd7d78493129d6821c3eea321dbbdc488faa5ab53cb635f0e8b6e72d353,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S01\holdout_P3.fit_ids.parquet
time_frozen,R_log,S01,P4_P5,3380,1070,2937389864eae811461780ee743771a832ada2a84911ba112bb0e986f77e1410,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_log\S01.fit_ids.parquet
development,R_log,S02,P1,3110,270,f213b209ed3a9fc75bedc7b0aefda7e5da34fe01f1a0407843f69871518e386b,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P1.fit_ids.parquet
development,R_log,S02,P2,777,2603,e23f14ea9830f8aef62ab60d085fc10d59774aaf6c6cf0cdc4a2a423b2e5d33e,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P2.fit_ids.parquet
development,R_log,S02,P3,2873,509,43abac24af09ed685f343eb1ecdb2be2a230cebed2062a9f26ed7755aef090f1,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_log\S02\holdout_P3.fit_ids.parquet
