outer_group,inner_validation_group,task,model,config,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
P1,P5,E_log,G02,"{""lambda"":0}",59108,494,ok,494,4.400769182277803,2.0978010349596556,1.8015825907887613,0.07911150547134549,2.866812264339182,2.5953985609901484,0.2714137033490336,0.2565811525922686,0.3124943850612968,0.32327751945112726,-0.29416612051678204,1.217916366436624,2173.9799760452347,36.39070679262478,2137.5892692526104
P1,P2,E_log,G02,"{""lambda"":0.001}",56997,2603,ok,2603,5.180489501391015,2.2760688700896146,1.9074614315590377,0.014033168916201988,3.1054919247043675,2.9103908405463175,0.19510108415805016,0.4058349564745716,0.2291322110290053,0.2549036141671749,1.4623010718367517,0.5645945657797521,13484.814172120812,99.08171920220003,13385.732452918612
P1,P3,E_log,G02,"{""lambda"":0.001}",59235,509,ok,509,3.7929940657111816,1.9475610557081855,1.6652540909890226,0.03420796588913311,2.139311737452243,2.2811615121457134,-0.1418497746934703,0.16755385510098444,0.2011462703065287,0.22071875756600326,-0.5991936216656653,1.2004872713032961,1930.6339794469914,10.241771517519437,1920.3922079294716
P1,P4,E_log,G02,"{""lambda"":0.001}",59129,576,ok,576,4.339052776858626,2.0830393123651376,1.8422986044372385,0.09629479431780519,2.2801567263537543,2.6838543815310496,-0.4036976551772946,0.28161600795754776,0.37204012153273686,0.3674384209272658,-1.2654567404471089,1.3210901050369985,2499.294399470569,93.87175495429202,2405.4226445162767
P1,P5,E_log,G02,"{""lambda"":0.001}",59108,494,ok,494,4.402308942549092,2.0981679967412266,1.8019814460115426,0.07878930099766568,2.866812264339182,2.59338216981576,0.27343009452342176,0.25444849370450584,0.3127905632818921,0.3237695975887498,-0.32120216597584417,1.229288327582475,2174.740617619251,36.933424195997155,2137.8071934232544
P1,P2,E_log,G02,"{""lambda"":0.1}",56997,2603,ok,2603,5.279900822250896,2.2978034777262604,1.9267401902909287,-0.004887102030347146,3.1054919247043675,2.5279238829718,0.5775680417325672,0.1824908338776362,0.25180635785613265,0.26303344422904856,-0.38261370988043053,1.37983016738788,13743.581840319082,868.3213458885527,12875.260494430531
P1,P3,E_log,G02,"{""lambda"":0.1}",59235,509,ok,509,3.8161982336061735,1.9535092100131428,1.6732438389284991,0.028299599009853016,2.139311737452243,2.2698674896793785,-0.13055575222713595,0.13701119528023895,0.18761862489443856,0.21306345958555978,-0.9689701532003738,1.3693671127435132,1942.4449009055422,8.675805459752997,1933.7690954457892
P1,P4,E_log,G02,"{""lambda"":0.1}",59129,576,ok,576,4.426628721593295,2.1039554942044987,1.8600198732737896,0.07805513667378039,2.2801567263537543,2.6238518805156748,-0.3436951541619202,0.2075716399558421,0.35106816630511095,0.3328933492584764,-2.1575924215780966,1.6913108475695222,2549.738143637738,68.04078278076639,2481.6973608569715
P1,P5,E_log,G02,"{""lambda"":0.1}",59108,494,ok,494,4.46994465069672,2.1142243614850154,1.8172054388764816,0.06463610575550771,2.866812264339182,2.532335029556168,0.3344772347830139,0.18357651795898186,0.33159739956500384,0.33693940973943126,-1.7073877475371582,1.8063170783046196,2208.15265744418,55.26626017051715,2152.886397273663
P1,P2,E_log,P00,"{""lambda"":0}",56997,2603,ok,2603,5.246192432824425,2.2904568174982964,1.9055072464210379,0.0015283832041721457,3.1054919247043675,2.8224351547966355,0.2830567699077317,0.4176280846942736,0.22890043830014006,0.2547739075839688,1.5585254545743188,0.5480963725600676,13655.838902641977,208.55531438052807,13447.283588261449
P1,P3,E_log,P00,"{""lambda"":0}",59235,509,ok,509,3.8934536619229063,1.9731836361380322,1.7230276864692389,0.008628416833580732,2.139311737452243,2.4840700077035787,-0.34475827025133565,0.16357949971670555,0.20066996234284573,0.21844692249621053,-0.9080030896878148,1.2267427317626913,1981.7679139187594,60.49885683750673,1921.2690570812524
P1,P4,E_log,P00,"{""lambda"":0}",59129,576,ok,576,4.5629041192733855,2.1360955314014833,1.9102507770848236,0.049672724054437234,2.2801567263537543,2.8880577428441145,-0.6079010164903599,0.2645941869058059,0.3716041065179021,0.36931474404166953,-1.7759192201815135,1.4044303499766273,2628.23277270147,212.85714000960738,2415.375632691863
P1,P5,E_log,P00,"{""lambda"":0}",59108,494,ok,494,4.367151513412689,2.0897730770140304,1.806949734544662,0.08614621308460269,2.866812264339182,2.7057107639210973,0.16110150041808452,0.24483996163456065,0.30943435800789076,0.3203907709941684,-0.5527270445200414,1.2638229312817053,2157.3728476258684,12.821124557857296,2144.551723068011
P1,P2,E_log,P00,"{""lambda"":0.001}",56997,2603,ok,2603,5.23436516999761,2.28787350393277,1.9044211998915994,0.0037793845519440428,3.1054919247043675,2.8113604181991874,0.2941315065051798,0.40936574508890433,0.2294099932304631,0.2550255814275314,1.529995727856244,0.5604034924334979,13625.05253750378,225.19423213877423,13399.858305365007
P1,P3,E_log,P00,"{""lambda"":0.001}",59235,509,ok,509,3.896838126013233,1.9740410649257611,1.7245969767250136,0.007766646843556102,2.139311737452243,2.4883477923997788,-0.34903605494753553,0.16257306635076574,0.2005764783252934,0.21823562996747817,-0.9307173162607794,1.2337620420625632,1983.4906061407355,62.00951933554958,1921.481086805186
P1,P4,E_log,P00,"{""lambda"":0.001}",59129,576,ok,576,4.569185187218825,2.1375652474763958,1.9120380216315798,0.04836455056786171,2.2801567263537543,2.890752033584086,-0.6105953072303313,0.2623273784938077,0.3713484373102009,0.3685561845202091,-1.8119676126544806,1.4155916147310057,2631.8506678380436,214.74813842594074,2417.1025294121023
P1,P5,E_log,P00,"{""lambda"":0.001}",59108,494,ok,494,4.367826352625062,2.0899345330954895,1.8075364997974475,0.08600499875579104,2.866812264339182,2.7070482206906985,0.159764043648483,0.24245854535879768,0.309604094412619,0.3208203772983532,-0.5899156132366286,1.2769362034835983,2157.7062181967804,12.609127523599707,2145.0970906731804
P1,P2,E_log,P00,"{""lambda"":0.1}",56997,2603,ok,2603,5.29377603885106,2.300820731576248,1.9272433241751703,-0.0075278762927391,3.1054919247043675,2.5157756992417735,0.5897162254625941,0.18270757382303912,0.2518832031862786,0.2630791106059739,-0.3627914549270006,1.37861391247108,13779.69902912931,905.2328847717291,12874.46614435758
