task,model,config,macro_mse,pooled_mse
E_log,B00,{},5.08847133717054,5.761706881548517
E_log,B01,"{""lambda"":0.001}",5.283828112432118,5.900390000493303
E_log,G02,"{""lambda"":0}",4.255656343798513,4.841450909654947
E_log,P00,"{""lambda"":0}",4.418944827040995,4.94122546600454
E_log,P02,"{""lambda"":0.001}",4.374690593229252,4.953730205802904
E_log,S01,"{""lambda"":0.001}",5.012334619800478,5.26498993040677
E_log,S02,"{""lambda"":0.001}",5.9715199512851465,6.930904169840096
E_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",6.526460968778745,6.005635201159495
E_log,S04,"{""control_lambda"":0.001}",5.452736464874616,6.3450919010210916
E_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.290100061853725,4.9084323236966645
E_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",4.453346772994466,5.101813048315165
R_log,B00,{},3.051588391823534,3.9917643360371793
R_log,B01,"{""lambda"":0.1}",9.84343844260141,7.888316441442753
R_log,G02,"{""lambda"":0}",2.459497938865634,3.9956225222727246
R_log,P00,"{""lambda"":0.1}",3.010236732124961,4.28025021080124
R_log,P02,"{""lambda"":0}",2.9054619747361623,4.233112149980109
R_log,S01,"{""lambda"":0.1}",6.5743568438807225,6.359549408792083
R_log,S02,"{""lambda"":0.1}",6.534569788946217,6.4218662274148235
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",5.228187653080389,4.956820046278559
R_log,S04,"{""control_lambda"":0.1}",5.951225155103117,6.154123198584559
R_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.4916855975321446,4.093467194295392
R_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",2.656115419714977,4.238732839891754
R_C_log,B00,{},3.051588391823534,3.9917643360371793
R_C_log,B01,"{""lambda"":0.1}",11.382527218626521,8.584240545948262
R_C_log,G02,"{""lambda"":0}",2.4588090992293363,4.056779304212922
R_C_log,P00,"{""lambda"":0.1}",3.0205338619101867,4.299620734039073
R_C_log,P02,"{""lambda"":0}",2.969184614560849,4.456111213626291
R_C_log,S01,"{""lambda"":0.1}",7.532569133647873,6.799712684135147
R_C_log,S02,"{""lambda"":0.1}",7.484183527610973,6.870885250701777
R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",6.038298928055134,5.329517879177161
R_C_log,S04,"{""control_lambda"":0.1}",6.770590675935529,6.530585751785828
R_C_log,G05,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",2.3094315207200493,3.895873514168283
R_C_log,S05,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",2.5049261863752315,4.2127011293278365
