target,prediction_kind,path,sha256,rows,unique_events,duplicate_event_rows,was_in_this_fit_n,pearson_y_prediction,r_squared_predictive,mean_y,mean_prediction,sd_ratio
main_E0,descriptive,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\figure9_descriptive_events.csv,6b36fee9c58daa04455d8651db93a9a7dcb28bc3a2cb253954b2b6fa2684f36f,4452,4452,0,4452,0.28505470287403095,0.07731997227425713,2.810204703463067,2.725610657131822,0.3353043200311991
main_E0,OOF_diagnostic,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_E0\figure9_OOF_diagnostic_events.csv,0b76d302ccdd77314c5743a5ec56c589b0d9a19eec3f4b81af5962e70c0aea64,4452,4452,0,0,0.267920333138053,0.05275429321151959,2.810204703463067,2.812818250973843,0.4058538849035201
main_R0c,descriptive,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\figure9_descriptive_events.csv,f836e7b3df8dd70d4eb87eea36e33e0943a412d5da610d4704dc4d031e4432e4,4452,4452,0,4452,0.3773952154681872,0.1183584409335523,2.42099438768312,2.1615822122529496,0.39491813638214357
main_R0c,OOF_diagnostic,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\R04\R04_B1_all_valid_v1\main_R0c\figure9_OOF_diagnostic_events.csv,d48e15caf9676f744a3755d9e1653ac7a8e3b0696c4f2f125d66288e50c75ebf,4452,4452,0,0,0.32433732633872414,0.059565171651165816,2.42099438768312,2.061817599697211,0.33311229277873866
