Incident Reference,Restoration Stage,Number of Customers Restored,source_order
FREP-10733-L,1,0,49143
FREP-10744-L,1,0,87592
FREP-10762-L,1,0,49468
FREP-10763-L,1,0,65327
FREP-107636-Z,1,1,49444
FREP-10768-O,1,11,87593
FREP-10773-L,3,38,54742
FREP-10778-L,5,0,49463
FREP-10781-L,3,0,65308
FREP-10782-L,1,34,49466
FREP-10786-L,3,132,49469
FREP-10789-L,3,120,54738
FREP-107890-Z,1,0,30986
FREP-10790-L,2,0,49438
FREP-10792-L,4,0,125554
FREP-10793-L,2,0,26784
FREP-10793-O,1,0,115509
FREP-10795-L,3,151,30976
FREP-10797-L,2,0,115521
FREP-10798-L,4,106,30991
FREP-10799-L,4,0,125516
FREP-10801-L,3,1561,21320
FREP-10803-L,2,0,54743
FREP-10804-L,3,0,54729
FREP-10805-L,2,0,125559
FREP-10807-L,1,92,30983
FREP-10816-L,1,0,87595
FREP-10823-L,1,0,65326
FREP-10834-L,1,0,21307
FREP-10835-L,1,0,21321
FREP-10847-L,1,0,87576
FREP-10848-O,1,0,26786
FREP-10861-L,1,0,65294
FREP-10874-L,1,0,21306
FREP-10875-L,1,0,21308
FREP-10883-O,1,0,87596
FREP-10895-O,1,0,21296
FREP-1091781-A,1,1,49471
FREP-10921-O,1,0,65306
FREP-1095018-A,1,0,115513
FREP-1095260-A,1,0,54745
FREP-10960-L,1,0,26767
FREP-10961-L,1,0,125562
FREP-10967-L,1,17,21302
FREP-109724-Z,1,0,54735
FREP-10987-O,1,0,49472
FREP-10998-O,1,0,54747
FREP-11013-L,1,0,65329
FREP-11031-L,1,0,65310
FREP-11041-L,4,0,115527
FREP-11042-L,3,0,49136
FREP-1104260-A,1,0,26788
FREP-11043-L,2,1,125519
FREP-11043-O,1,1,26789
FREP-11044-L,1,5276,54748
FREP-11045-O,1,0,26790
FREP-11048-O,2,39,26792
FREP-11049-O,1,0,26794
FREP-11052-L,1,0,26774
FREP-11055-L,2,0,49473
FREP-11056-L,3,0,54734
FREP-11057-L,2,0,26783
FREP-11058-L,3,309,49470
FREP-11060-L,1,0,115535
FREP-1106384-A,1,0,54749
FREP-11066-L,1,1,30980
FREP-11084-L,1,0,30999
FREP-11110-O,1,1,21303
FREP-11115-O,1,1,21322
FREP-11120-O,1,0,54750
FREP-11122-O,1,0,21323
FREP-11138-L,1,0,65325
FREP-11143-L,1,0,54751
FREP-11147-L,1,0,26795
FREP-11150-O,1,0,50891
FREP-1115583-A,1,0,125545
FREP-11163-O,1,0,87598
FREP-11211-O,1,0,87599
FREP-11215-O,1,0,87600
FREP-112167-Z,1,4,87601
FREP-11217-O,1,0,31000
FREP-11218-O,1,0,49144
FREP-11225-O,1,0,65331
FREP-1122639-A,1,1,87579
FREP-11243-L,1,0,49474
FREP-11249-O,1,0,49145
FREP-11263-O,1,1,87602
FREP-1127464-A,1,0,125563
FREP-11287-O,1,0,31002
FREP-11289-L,1,0,54744
FREP-11303-L,1,0,49467
FREP-11314-L,1,0,65332
FREP-11332-O,1,1,125502
FREP-11342-L,1,0,125557
FREP-11343-O,1,0,31001
FREP-11344-L,1,0,49458
FREP-11350-O,1,1,54755
FREP-11355-O,2,16,115534
FREP-11358-O,2,7,125533
FREP-11368-L,1,10,65321
FREP-11382-L,1,0,26800
FREP-1138645-A,1,0,31020
FREP-11395-L,1,1,54757
FREP-11398-L,1,0,125564
FREP-11399-O,1,0,122768
FREP-11400-O,1,0,50905
FREP-11401-L,1,1,125566
FREP-114025-Z,1,0,49159
FREP-11410-L,1,0,87603
FREP-11417-L,1,0,49146
FREP-11420-L,1,0,65333
FREP-11425-O,1,0,54761
FREP-11440-L,1,0,49491
FREP-11454-O,1,0,21329
FREP-11463-O,1,1,26802
FREP-11465-O,1,0,65339
FREP-1146613-A,1,0,49147
FREP-11471-O,1,0,31022
FREP-11515-L,1,0,122767
FREP-1151564-A,1,0,49492
FREP-115225-Z,1,0,65334
FREP-11531-L,1,0,125570
FREP-1153507-A,1,0,125593
FREP-11538-L,1,0,31005
FREP-11547-O,1,1,50908
FREP-11551-L,1,0,125588
FREP-1157503-A,3,0,49476
FREP-11578-O,1,0,125568
FREP-11591-V,1,0,125596
FREP-11597-O,1,0,21330
FREP-11610-O,1,3,122769
FREP-11613-O,1,0,26807
FREP-116165-Z,1,1,115536
FREP-1164238-A,1,67,31027
FREP-11659-O,1,0,21332
FREP-11669-O,1,0,54764
FREP-1169181-A,1,0,31006
FREP-11720-O,1,0,50895
FREP-11721-O,1,0,125599
FREP-11722-O,1,0,125601
FREP-11728-O,1,0,21333
FREP-11731-O,1,0,132298
FREP-117368-G,1,7,50911
FREP-11737-O,1,0,54766
FREP-11745-O,1,0,50896
FREP-11756-O,1,0,125603
FREP-11763-O,1,0,87604
FREP-11765-O,1,0,31029
FREP-1177254-A,1,0,21334
FREP-11790-O,1,0,87615
FREP-11795-O,1,0,49496
FREP-11796-O,1,0,49148
FREP-11803-O,1,5,50916
FREP-11831-O,1,0,87605
FREP-11846-O,1,0,132303
FREP-11855-O,1,0,49149
FREP-11865-O,1,0,87618
FREP-11874-O,1,0,49478
FREP-11885-O,1,2,132304
FREP-11899-O,1,0,50913
FREP-119011-Z,1,12,49160
FREP-1190301-A,1,68,31028
FREP-11905-O,1,1,49150
FREP-11911-O,1,0,49477
FREP-11915-O,1,0,21328
FREP-11919-O,1,0,49480
FREP-11939-O,1,1,49151
FREP-1194242-A,1,0,125576
FREP-119490-Z,1,0,87617
FREP-11958-O,1,0,50898
FREP-11969-O,1,1,132299
FREP-11981-O,1,7,125609
FREP-1198809-A,1,0,49481
FREP-11992-O,1,0,50899
FREP-11995-O,1,0,65340
FREP-12007-O,1,0,26798
FREP-12009-O,1,0,21324
FREP-12014-O,1,0,31030
FREP-1201562-A,1,0,115537
FREP-12020-O,1,0,125607
FREP-1203315-A,1,0,87616
FREP-12034-O,1,0,87620
FREP-12051-O,1,1,21337
FREP-12060-O,1,0,125571
FREP-120637-Z,1,7,87621
FREP-12091-O,1,7,21326
FREP-12095-O,1,1,50919
FREP-12109-O,1,0,132306
FREP-1212940-A,1,0,132307
FREP-1212968-A,1,1,21339
FREP-121312-G,1,0,50920
FREP-12140-O,1,26,21338
FREP-12141-O,1,8,49155
FREP-12145-O,1,0,31009
FREP-12162-O,1,0,132308
FREP-121698-Z,1,15,122772
FREP-12180-O,1,0,49152
FREP-12216-O,1,0,49498
FREP-12229-O,1,1,81044
FREP-12232-O,1,0,49165
FREP-12235-O,2,1,50901
FREP-122410-Z,1,0,31033
FREP-12245-O,1,0,50902
FREP-122451-Z,1,4,87622
FREP-12268-O,1,0,122762
FREP-12281-O,1,0,21340
FREP-12294-O,1,0,125614
FREP-12295-O,1,0,50903
FREP-12324-O,1,1,87613
FREP-12325-O,1,1,81045
FREP-12355-O,1,0,125594
FREP-12380-O,1,1,122778
FREP-12387-O,1,0,49495
FREP-123954-Z,1,0,87623
FREP-12402-O,1,0,87619
FREP-124095-Z,1,9,87624
FREP-12424-O,1,0,31026
FREP-12431-O,1,0,87625
FREP-12432-O,1,0,50921
FREP-12439-O,1,0,31035
FREP-12441-O,1,0,21341
FREP-12456-O,1,0,21342
FREP-12457-O,1,0,87609
FREP-12461-O,1,1,49483
FREP-12471-O,1,0,31008
FREP-12489-O,1,0,31024
FREP-12491-O,1,0,49485
FREP-125095-Z,1,96,54775
FREP-12521-O,1,0,115547
FREP-12524-O,1,0,49156
FREP-12530-O,1,0,50918
FREP-12534-O,1,0,54777
FREP-12541-O,1,0,49157
FREP-12542-O,1,0,26810
FREP-12546-O,1,0,54768
FREP-12548-O,1,0,31032
FREP-12549-O,1,0,132311
FREP-12550-O,1,0,122764
FREP-12551-O,1,6,50910
FREP-12553-O,1,2,87607
FREP-125530-Z,1,0,31011
FREP-12554-O,1,1,50915
FREP-12555-O,4,1,50923
FREP-12556-O,1,1,132312
FREP-12558-O,1,12,26812
FREP-125605-Z,1,10,87608
FREP-125607-G,1,1,26813
FREP-12561-O,1,0,87626
FREP-12566-O,1,0,49166
FREP-12567-O,1,0,125579
FREP-12574-O,1,31,49486
FREP-12579-O,1,0,49493
FREP-12590-O,1,0,87627
FREP-12597-O,1,0,26814
FREP-12602-O,1,0,49153
FREP-12608-O,1,0,31014
FREP-12609-O,1,0,50904
FREP-12620-O,1,0,132310
FREP-12635-O,1,0,49167
FREP-12640-O,1,0,49497
FREP-12642-O,1,0,26815
FREP-12645-O,1,0,54759
FREP-12649-O,1,0,31021
FREP-12657-O,1,0,49500
FREP-12663-O,1,0,49163
FREP-126680-Z,1,1,31037
FREP-12670-O,1,0,125580
FREP-12671-O,1,0,21343
FREP-12676-O,1,0,87628
FREP-126945-Z,1,1,49484
FREP-12696-O,1,0,31015
FREP-12713-O,1,8,125623
FREP-12720-W,1,1,31038
FREP-12729-Z,1,0,125625
FREP-12774-O,1,0,122782
FREP-12802-W,2,0,21345
FREP-12803-O,1,0,54773
FREP-12814-O,1,0,49501
FREP-12825-O,1,0,87629
FREP-128260-Z,1,0,21325
FREP-12835-O,1,0,115541
FREP-12836-O,1,0,115542
FREP-12839-O,1,0,49502
FREP-12848-O,1,1,49169
FREP-12859-O,1,0,125617
FREP-12862-W,1,28,132313
FREP-12867-O,1,0,49487
FREP-12869-O,1,0,49482
FREP-12871-O,1,0,31034
FREP-12872-O,1,0,125605
FREP-12873-O,1,0,49488
FREP-12874-O,1,1,65335
FREP-12900-O,1,0,132314
FREP-129239-G,1,13,49503
FREP-12928-O,1,0,115545
FREP-129305-G,1,10,122771
FREP-129348-G,1,1,49504
FREP-12980-W,1,1,21346
FREP-12992-O,1,0,49505
FREP-13009-W,1,2,122783
FREP-13014-W,1,1,132315
FREP-13022-W,1,3,87630
FREP-13023-W,1,1,87631
FREP-13046-O,1,0,125584
FREP-13054-O,1,0,49499
FREP-13060-O,1,0,49170
FREP-13066-O,1,8,50900
FREP-13070-O,1,5,87611
FREP-13071-O,1,1,31017
FREP-13073-O,1,27,49489
FREP-13080-W,1,1,49506
FREP-13081-O,1,7,87632
FREP-13089-W,1,5,49508
FREP-13095-O,1,0,87610
FREP-13099-W,1,1,49168
FREP-13101-W,1,8,50929
FREP-13109-O,1,0,21344
FREP-13109-W,1,0,87633
FREP-13123-W,1,1,81058
FREP-131238-Z,1,0,21348
FREP-13144-W,1,1,122785
FREP-13150-O,1,0,87612
FREP-13156-O,1,1,132316
FREP-13157-W,1,20,26819
FREP-13158-O,1,4,65338
FREP-13158-W,1,1,125633
FREP-13160-O,1,6,115543
FREP-13161-O,1,3,125635
FREP-13163-O,1,90,49490
FREP-13163-W,1,1,54787
FREP-13172-W,1,1,122790
FREP-13173-W,1,1,26821
FREP-13175-W,1,19,87634
FREP-13177-W,1,1,54788
FREP-13179-W,1,1,132319
FREP-13188-O,1,0,31025
FREP-13191-O,1,0,125587
FREP-13194-O,1,0,125592
FREP-131970-G,1,0,132320
FREP-13198-O,1,14,132321
FREP-13200-W,1,172,87636
FREP-13211-O,1,0,125621
FREP-13212-W,1,1,21347
FREP-13216-O,1,0,21327
FREP-13218-W,1,1,87637
FREP-13223-W,1,4,21352
FREP-13227-W,1,1,49172
FREP-13228-O,1,1,122766
FREP-13229-O,1,0,132323
FREP-13229-W,1,241,125640
FREP-13231-W,1,1,125643
FREP-13233-W,1,101,21354
FREP-13242-W,1,7,21356
FREP-13243-W,1,1,21353
FREP-13255-O,1,1,115556
FREP-13258-O,1,21,132300
FREP-13262-W,1,1,21357
FREP-13265-W,1,1,54790
FREP-13268-W,2,12,81063
FREP-13282-O,1,33,21358
FREP-13313-O,1,0,49510
FREP-13317-W,1,1,26824
FREP-13320-W,1,123,125630
FREP-13332-W,1,1,21366
FREP-13334-W,1,1,125646
FREP-13335-W,1,24,49173
FREP-13340-W,1,7,31055
FREP-13345-O,1,0,125648
FREP-13346-O,1,0,122802
FREP-13350-O,1,0,87640
FREP-13372-O,1,1,26831
FREP-13373-O,1,1,49511
FREP-133761-Z,1,0,115562
FREP-13377-W,1,1,49174
FREP-13379-W,1,37,132325
FREP-13382-O,1,1,29
FREP-13385-W,1,17,34
FREP-13386-O,1,0,31042
FREP-13390-O,1,0,132335
FREP-13392-W,1,0,50941
FREP-13393-O,1,0,31043
FREP-13398-O,1,0,50933
FREP-13402-W,1,16,132338
FREP-13406-O,1,0,87658
FREP-13413-O,1,0,115569
FREP-13415-O,1,0,35
FREP-13418-W,1,2,122826
FREP-13437-O,1,0,21360
FREP-13440-O,1,0,125652
FREP-13448-W,1,2,132341
FREP-13451-O,2,0,87660
FREP-13451-W,1,1,31057
FREP-13465-W,1,31,50944
FREP-13466-W,3,209,54792
FREP-13470-O,1,5,87661
FREP-134857-Z,1,2,132326
FREP-13494-W,1,46,47026
FREP-13496-W,1,2,49513
FREP-13499-W,1,12,21362
FREP-13502-O,1,11,26834
FREP-13502-W,1,12,21368
FREP-135100-Z,1,0,50947
FREP-13520-O,1,26,87642
FREP-13521-O,1,1,31045
FREP-13522-O,1,44,50934
FREP-13524-O,1,5,26835
FREP-13531-O,1,0,87663
FREP-13533-O,1,0,49517
FREP-135362-Z,1,2,31059
FREP-13543-W,1,1,42
FREP-13549-W,1,1,119793
FREP-135505-G,1,1,87644
FREP-13551-O,1,0,54793
FREP-13563-W,1,0,31060
FREP-13564-W,1,1,31048
FREP-135650-G,1,1,31056
FREP-13574-W,1,1,81113
FREP-13581-O,1,0,132329
FREP-13593-W,1,1,21369
FREP-136030-G,1,9,125674
FREP-13608-O,1,16,81115
FREP-13629-O,1,1,47027
FREP-13629-W,1,7,125676
FREP-13630-O,1,1,31044
FREP-13631-O,1,1,119796
FREP-13633-W,1,2,49178
FREP-13634-O,1,0,132330
FREP-13634-W,2,1,45
FREP-13642-O,1,0,122839
FREP-13646-O,3,31,26837
FREP-13646-W,1,165,47
FREP-13679-O,1,2,31061
FREP-13691-O,1,0,125656
FREP-13704-W,1,1,54875
FREP-13707-W,1,4,26825
FREP-13730-O,1,0,52
FREP-13731-W,1,1,54876
FREP-13743-O,1,1,26839
FREP-13748-W,1,0,81079
FREP-13757-O,1,240,21370
FREP-13765-O,3,9,126020
FREP-13766-O,1,1,126021
FREP-13766-W,1,3,49183
FREP-13767-O,1,0,81377
FREP-13767-W,1,13,31050
FREP-13770-O,5,67,126022
FREP-137732-G,1,0,87655
FREP-13776-W,1,1,132346
FREP-13782-W,1,7,49179
FREP-13813-W,1,7,81109
FREP-13818-O,1,0,81381
FREP-13823-W,1,5,126023
FREP-13830-O,1,1,125657
FREP-13839-W,1,39,81385
FREP-13848-O,1,1,57
FREP-13880-W,1,1,125658
FREP-13889-O,1,1,87646
FREP-13892-O,1,30,31064
FREP-138921-G,1,1,21372
FREP-13895-O,1,6,31065
FREP-13896-O,1,4,132333
FREP-13900-W,1,1,54797
FREP-13911-W,1,1,115567
FREP-13935-O,1,242,126027
FREP-13963-W,1,2,31066
FREP-13965-W,1,4,132348
FREP-13969-O,1,0,132334
FREP-13976-W,1,0,122823
FREP-13978-O,1,0,49516
FREP-13989-W,2,7,21364
FREP-13999-O,1,1,132349
FREP-14000-O,1,1,87670
FREP-14000-W,1,23,122814
FREP-14004-W,3,1,125662
FREP-14006-W,1,0,125669
FREP-14019-W,1,0,31067
FREP-14023-W,1,1,81082
FREP-14030-W,1,1,87659
FREP-14031-W,1,26,54877
FREP-14036-W,1,23,87648
FREP-14038-W,1,4,50945
FREP-14040-O,1,0,87649
FREP-14042-W,1,1,126029
FREP-14043-W,1,1,65
FREP-14057-O,1,0,49187
FREP-14080-W,1,1,31053
FREP-14081-W,1,21,126030
FREP-14082-W,1,81,119786
FREP-14088-W,2,51,21365
FREP-14089-W,1,174,126026
FREP-14095-W,1,1,126034
FREP-14097-W,1,899,47023
FREP-140970-G,1,1,49188
FREP-14098-W,1,45,49519
FREP-14100-W,1,72,122829
FREP-14105-W,1,209,49
FREP-14111-W,1,425,51007
FREP-14112-O,1,1,31068
FREP-14113-W,1,21,81393
FREP-14116-O,1,0,125665
FREP-14118-O,1,1,119788
FREP-14120-O,1,1,87651
FREP-14122-W,1,5,47024
FREP-14123-W,1,12,125667
FREP-14126-W,1,4,81095
FREP-14128-W,2,13,49182
FREP-14129-W,1,1,49189
FREP-14132-W,1,20,125671
FREP-14133-W,1,4,49190
FREP-14142-W,3,0,122835
FREP-14147-W,1,18,81091
FREP-14154-W,1,1,81376
FREP-14159-O,1,0,49191
FREP-14164-W,1,18,87657
FREP-14166-W,1,388,132339
FREP-14167-W,1,11,119789
FREP-14171-W,1,0,49192
FREP-14172-W,3,214,54879
FREP-14174-W,2,6,47030
FREP-14178-W,1,160,31069
FREP-14184-O,1,1,49197
FREP-14185-W,1,121,99
FREP-14186-W,1,295,51011
FREP-14188-O,1,1,132363
FREP-14188-W,1,161,47038
FREP-14189-W,2,8,126042
FREP-14191-W,1,15,87678
FREP-14192-W,1,394,126040
FREP-14193-O,1,1,76
FREP-14196-W,1,0,47039
FREP-14200-W,1,33,103
FREP-14203-W,1,215,21376
FREP-14204-W,1,3,78
FREP-14211-O,1,2,47040
FREP-14214-W,1,1,104
FREP-14217-O,1,1,81423
FREP-14225-W,1,1,47041
FREP-14230-W,1,45,87677
FREP-14231-W,1,10,81402
FREP-14233-W,1,1,51014
FREP-142338-Z,1,2,81424
FREP-14234-O,1,1,87693
FREP-14235-O,1,1,79
FREP-14235-W,1,1,21380
FREP-14253-O,1,1,87694
FREP-14257-O,1,1,51015
FREP-14259-O,1,1,47034
FREP-14264-O,1,0,47042
FREP-14269-W,1,1,51013
FREP-14273-O,1,0,31083
FREP-14275-W,1,1,87680
FREP-14282-O,3,13,26856
FREP-14282-W,1,0,26859
FREP-14283-O,1,0,126063
FREP-14287-W,1,53,87682
FREP-14289-O,1,1,81426
FREP-14290-W,1,1,51016
FREP-14292-O,1,0,47043
FREP-14293-O,1,0,81404
FREP-14295-O,1,0,31084
FREP-14296-O,1,0,51017
FREP-14300-O,1,0,107
FREP-14318-O,1,1,82
FREP-14323-O,1,0,51018
FREP-14324-W,1,0,51019
FREP-14325-O,1,0,108
FREP-14325-W,1,0,47035
FREP-14332-W,1,1,31085
FREP-14333-O,1,0,87683
FREP-14337-W,1,2,83
FREP-14344-W,1,67,73
FREP-14345-W,1,63,81396
FREP-14346-W,2,349,49195
FREP-14347-W,1,559,47036
FREP-14355-O,1,9,87695
FREP-14357-W,1,1,26853
FREP-14370-O,1,2,26875
FREP-14399-W,1,1,51030
FREP-14401-O,1,0,51020
FREP-144075-Z,2,1,87697
FREP-14435-W,1,20,80
FREP-14456-O,1,0,110
FREP-14466-W,1,1,87681
FREP-14473-W,1,9,126068
FREP-14474-W,1,2,31078
FREP-14478-W,1,98,26868
FREP-14479-W,1,559,31087
FREP-14484-O,1,0,51033
FREP-14494-O,1,0,87699
FREP-14505-O,1,0,114
FREP-14506-O,1,0,126071
FREP-14549-O,1,0,126044
FREP-14554-O,1,65,31079
FREP-14566-W,2,32,47047
FREP-14592-W,1,1,51027
FREP-14599-W,1,1,31071
FREP-14621-O,1,19,87684
FREP-14623-W,1,1,81413
FREP-14632-W,1,0,81403
FREP-14636-W,2,1,51021
FREP-14654-O,1,0,87685
FREP-14661-W,1,1,51034
FREP-14664-W,1,1,21386
FREP-14670-O,1,0,132359
FREP-146799-G,1,1,51036
FREP-14684-W,1,51,87696
FREP-14688-W,1,1,132356
FREP-14697-W,1,1,81415
FREP-146988-J,1,0,81437
FREP-14715-W,1,26,26879
FREP-147281-Z,1,1,21384
FREP-14747-W,1,4,47048
FREP-14748-W,1,3,21378
FREP-14752-W,1,1,132360
FREP-14761-O,1,0,81405
FREP-14770-O,1,67,126075
FREP-14773-W,1,83,81416
FREP-14783-O,1,0,31089
FREP-14786-W,2,21,81432
FREP-14796-W,1,31,21382
FREP-14800-V,1,0,51037
FREP-14804-W,1,1,90
FREP-14808-O,1,0,47050
FREP-14809-W,1,0,51022
FREP-14819-O,1,0,87700
FREP-14837-W,1,1,31080
FREP-14844-O,1,0,21387
FREP-14853-W,1,39,51012
FREP-14861-O,1,0,47046
FREP-14863-O,1,0,132368
FREP-14868-W,1,1,31075
FREP-14874-O,1,0,87701
FREP-14891-O,1,0,51023
FREP-14893-W,1,0,21381
FREP-14904-O,1,0,81418
FREP-14908-O,1,0,26889
FREP-14913-W,1,1,132358
FREP-14931-W,1,1,118
FREP-14934-O,1,0,47051
FREP-14934-W,1,4,119
FREP-14947-O,1,0,132357
FREP-14948-O,1,0,47053
FREP-14956-O,1,2,51028
FREP-14964-W,1,1,26862
FREP-14972-W,1,1,26849
FREP-14979-W,1,1,47054
FREP-14985-O,1,0,126053
FREP-14986-W,3,91,47044
FREP-14988-W,1,1,126055
FREP-14991-W,1,1,21377
FREP-149950-G,1,1,51029
FREP-149965-Z,1,0,122
FREP-15004-O,1,0,124
FREP-15017-W,1,1,87679
FREP-15021-W,1,2,21379
FREP-15025-O,1,0,31090
FREP-15046-W,1,29,26870
FREP-15047-O,1,0,51038
FREP-15047-W,1,1,47055
FREP-15052-W,1,2,87698
FREP-150570-Z,1,0,126077
FREP-15065-O,1,0,126
FREP-15067-W,1,1,126056
FREP-15076-O,1,0,81407
FREP-15076-W,1,1,126049
FREP-15079-W,1,0,126051
FREP-15085-O,1,0,49196
FREP-15094-W,1,2,31074
FREP-15101-O,1,1,126070
FREP-15103-O,1,0,31091
FREP-15104-W,1,1,87686
FREP-15106-O,1,0,26891
FREP-15108-O,1,0,51039
FREP-15128-O,1,0,127
FREP-15130-O,1,0,47056
FREP-15160-O,1,0,47057
FREP-15162-W,1,2,21383
FREP-15163-O,1,0,128
FREP-15164-O,1,0,47058
FREP-151651-J,1,0,132369
FREP-15185-O,1,0,31092
FREP-15193-O,1,0,96
FREP-15197-W,1,0,31081
FREP-15198-W,1,1,87687
FREP-152017-Z,1,0,51041
FREP-15202-W,1,1,26872
FREP-15213-W,1,3,132362
FREP-15222-O,1,0,51042
FREP-15243-O,1,1,31093
FREP-152460-J,1,0,130
FREP-15261-O,1,0,81443
FREP-15281-O,1,3,51043
FREP-15298-O,1,0,87703
FREP-15306-O,1,0,51044
FREP-15319-O,1,12,87702
FREP-15320-W,1,1,51025
FREP-15329-W,1,4,87704
FREP-15333-O,1,4,126079
FREP-153378-Z,1,0,87688
FREP-15348-O,1,0,126080
FREP-15372-O,1,3,21388
FREP-15375-O,1,0,87706
FREP-15377-O,1,1,51045
FREP-15379-O,1,1,26894
FREP-15384-O,1,1,31094
FREP-15399-O,1,1,87689
FREP-15404-O,1,1,26896
FREP-15418-W,1,0,126066
FREP-15425-O,1,0,47060
FREP-15426-W,1,2,87690
FREP-15429-W,1,2,47061
FREP-15430-W,1,1,87707
FREP-154318-J,1,0,132
FREP-15435-W,1,1,126069
