Incident Reference,Restoration Stage,Number of Customers Restored,source_order
FREP-243730-Z,1,29,131402
FREP-243736-Z,2,487,34098
FREP-243743-Z,1,1,68341
FREP-243744-Z,1,1,15599
FREP-243745-Z,1,1,88215
FREP-243747-Z,1,1,34079
FREP-243748-Z,1,1,103817
FREP-243749-Z,1,43,88207
FREP-243750-Z,1,1,6456
FREP-243754-Z,1,1,68320
FREP-243756-G,1,1,15622
FREP-243756-Z,2,5,128817
FREP-243759-Z,1,3,103831
FREP-243760-Z,1,4,375
FREP-243766-Z,2,16,346
FREP-243772-Z,1,1,88231
FREP-243779-Z,1,1,128818
FREP-243788-Z,1,0,6462
FREP-243789-Z,2,98,34089
FREP-243802-Z,1,6,88232
FREP-243807-Z,1,2,68322
FREP-243812-Z,1,1,103820
FREP-243823-Z,1,11,103821
FREP-243827-G,1,1,68342
FREP-243832-Z,1,1,34081
FREP-243833-Z,1,16,131381
FREP-243836-Z,1,1,68324
FREP-243838-G,1,0,88233
FREP-243846-Z,1,2,103822
FREP-243854-Z,1,1,34082
FREP-243860-Z,1,1,68321
FREP-243867-Z,1,1,88216
FREP-243879-Z,2,75,339
FREP-243892-Z,1,2,103819
FREP-243893-Z,1,0,6463
FREP-243899-Z,1,0,128844
FREP-243901-Z,1,2,131403
FREP-243905-Z,1,1,68325
FREP-243911-Z,1,0,15591
FREP-243915-Z,1,1,128845
FREP-243916-Z,1,11,103828
FREP-243925-Z,1,1,6467
FREP-243929-J,1,0,103832
FREP-243931-Z,1,1,6464
FREP-243944-Z,1,49,68317
FREP-243956-Z,1,5,34083
FREP-243957-Z,2,78,68328
FREP-243963-Z,1,5,15653
FREP-243967-Z,1,1,128815
FREP-243971-Z,2,1576,131383
FREP-243973-Z,1,22,6457
FREP-243977-Z,1,1,131397
FREP-243985-Z,1,1,15593
FREP-244001-Z,1,94,34088
FREP-244002-Z,1,2,131404
FREP-244006-Z,1,474,15650
FREP-244008-Z,1,167,329
FREP-244020-Z,1,1,6449
FREP-244028-Z,1,1,6469
FREP-244030-Z,1,2,34076
FREP-244036-Z,1,21,34092
FREP-244042-Z,1,1,15657
FREP-244054-Z,1,295,88234
FREP-244057-Z,1,1,6448
FREP-244059-Z,2,5,68310
FREP-244060-Z,2,545,103818
FREP-244064-Z,1,1,103834
FREP-244065-Z,4,528,88222
FREP-244075-J,1,0,131405
FREP-244078-Z,1,1,131406
FREP-244088-Z,1,1,15613
FREP-244103-Z,1,1,15605
FREP-244122-Z,1,1,128796
FREP-244123-Z,1,2,103835
FREP-244130-Z,1,1,68330
FREP-244131-Z,1,1,15682
FREP-244152-Z,1,1,34118
FREP-244167-J,1,6,128880
FREP-244174-Z,1,1,88250
FREP-244175-Z,1,1,88251
FREP-244194-Z,1,1,68343
FREP-244258-Z,1,2,15665
FREP-244266-Z,1,1,15684
FREP-244269-Z,3,25,15667
FREP-244271-Z,1,1,61237
FREP-244275-Z,4,9,128882
FREP-244292-Z,2,8,68359
FREP-244295-Z,2,183,392
FREP-244298-Z,1,2,103838
FREP-244299-Z,3,3,430
FREP-244306-Z,1,22,131409
FREP-244322-Z,1,1,68358
FREP-244325-J,1,0,103847
FREP-244334-Z,1,3,88241
FREP-244352-Z,1,23,6475
FREP-244355-Z,1,1,34107
FREP-244380-Z,1,1,103839
FREP-244387-Z,1,0,61238
FREP-244414-Z,1,8,400
FREP-244424-Z,1,1,15686
FREP-244432-Z,1,1,68361
FREP-244436-Z,1,1,131425
FREP-244438-Z,1,16,34108
FREP-244445-Z,1,1,34109
FREP-244454-Z,1,1,131415
FREP-244459-Z,2,385,128850
FREP-244473-Z,1,1,128888
FREP-244480-Z,1,0,15670
FREP-244484-Z,1,1,103843
FREP-244488-Z,1,11,128890
FREP-244491-Z,1,1,103845
FREP-244495-Z,1,1,131412
FREP-244496-Z,1,1,131426
FREP-244497-Z,1,5,61239
FREP-244498-Z,1,1,128858
FREP-244503-Z,1,2,15674
FREP-244512-Z,1,5,88254
FREP-244513-Z,1,1,15675
FREP-244514-Z,3,51,88255
FREP-244519-Z,2,1,68349
FREP-244523-Z,1,2,433
FREP-244527-Z,1,57,15662
FREP-244531-Z,1,1,131420
FREP-244534-G,1,7,6486
FREP-244546-Z,1,88,88253
FREP-244549-J,1,0,435
FREP-244572-Z,1,1,6476
FREP-244640-Z,1,44,103849
FREP-244641-Z,1,1,34112
FREP-244647-Z,1,2,437
FREP-244677-Z,1,43,88244
FREP-244684-Z,1,1,88256
FREP-244686-Z,1,1,68367
FREP-244710-Z,1,1,407
FREP-244724-Z,2,103,439
FREP-244740-Z,1,1,15677
FREP-244745-Z,2,149,131417
FREP-244756-Z,1,1,6479
FREP-244784-Z,1,1,442
FREP-244797-Z,1,1,6489
FREP-244811-Z,1,1,88257
FREP-244825-Z,1,1,131421
FREP-244867-Z,1,8,15688
FREP-244876-Z,1,0,68366
FREP-244888-Z,1,1,88248
FREP-244909-Z,1,1,412
FREP-244926-Z,1,6,103840
FREP-244932-Z,1,42,128886
FREP-244954-Z,1,1,131430
FREP-244955-Z,1,40,128872
FREP-244956-Z,1,0,417
FREP-244958-Z,1,13,88258
FREP-244959-Z,1,7,6473
FREP-244964-Z,1,1,15680
FREP-244965-J,1,0,88259
FREP-244974-Z,1,2,131431
FREP-244986-Z,1,1,88247
FREP-244989-Z,1,38,34117
FREP-244995-Z,1,1,128895
FREP-244996-Z,1,1,88260
FREP-245000-J,1,0,131428
FREP-245004-Z,1,1,15683
FREP-245007-Z,1,1,68351
FREP-245008-Z,3,0,128897
FREP-245020-Z,1,1,131410
FREP-245054-Z,1,0,15690
FREP-245059-Z,1,1,448
FREP-245063-Z,1,2,34106
FREP-245068-Z,1,9,128899
FREP-245070-Z,1,2,422
FREP-245091-Z,2,278,34123
FREP-245094-Z,1,0,34122
FREP-245097-Z,1,29,15676
FREP-245105-Z,2,22,15691
FREP-245123-Z,2,745,6471
FREP-245124-Z,2,78,131419
FREP-245131-Z,1,1,103854
FREP-245138-Z,1,1,6490
FREP-245141-Z,1,12,424
FREP-245150-Z,1,2,443
FREP-245173-Z,1,2,6480
FREP-245179-Z,1,5,6491
FREP-245181-Z,1,74,68355
FREP-245186-Z,8,108,34124
FREP-245189-Z,2,70,68356
FREP-245190-Z,1,19,131423
FREP-245218-Z,2,298,61241
FREP-245224-Z,1,1,34125
FREP-245235-Z,1,1,128904
FREP-245250-Z,2,5,15694
FREP-245254-Z,2,0,131432
FREP-245256-Z,1,28,103846
FREP-245263-Z,1,1,131424
FREP-245264-Z,1,13,131407
FREP-245274-Z,1,4,6482
FREP-245297-Z,1,71,34111
FREP-245302-Z,1,2,128908
FREP-245304-Z,1,1,128854
FREP-245305-Z,1,1,68371
FREP-245313-Z,1,1,6492
FREP-245316-Z,1,1,88249
FREP-245317-Z,1,1,15668
FREP-245322-Z,1,1,61242
FREP-245338-Z,1,1,21728
FREP-245339-Z,1,1,15709
FREP-245374-Z,1,605,88261
FREP-245377-Z,1,1,88262
FREP-245387-Z,1,6,128912
FREP-245397-Z,1,19,88279
FREP-245405-Z,1,3,454
FREP-245406-Z,3,225,131433
FREP-245409-J,1,0,474
FREP-245411-Z,1,1,15718
FREP-245413-Z,1,1,34144
FREP-245414-Z,1,25,61250
FREP-245416-Z,1,1,131451
FREP-245417-Z,1,1,477
FREP-245420-Z,1,1,61245
FREP-245423-Z,1,1,61249
FREP-245430-Z,1,6,68372
FREP-245431-Z,1,1,6495
FREP-245432-Z,1,1,68375
FREP-245437-Z,5,407,34146
FREP-245442-Z,1,1,131453
FREP-245449-Z,1,37,131435
FREP-245458-Z,1,34,458
FREP-245477-Z,1,0,61251
FREP-245479-Z,1,0,128952
FREP-245480-G,1,0,61257
FREP-245484-Z,1,1,34147
FREP-245502-Z,1,12,128953
FREP-245517-Z,1,1,68374
FREP-245533-G,1,0,88284
FREP-245540-Z,1,1,34143
FREP-245551-Z,1,0,34148
FREP-245556-Z,1,1,131437
FREP-245561-Z,1,1,57703
FREP-245575-Z,2,1,88285
FREP-245619-Z,1,1,15700
FREP-245622-Z,1,1,88268
FREP-245625-Z,1,101,131439
FREP-245627-Z,1,2,475
FREP-245636-Z,1,5,61246
FREP-245643-Z,1,20,61258
FREP-245647-Z,1,21,88269
FREP-245654-Z,1,7,131454
FREP-245660-Z,1,19,57705
FREP-245679-Z,1,1,61248
FREP-245680-Z,1,2,6506
FREP-245689-Z,1,1,131456
FREP-245701-Z,1,1,61259
FREP-245712-Z,1,1,88286
FREP-245720-Z,1,46,15704
FREP-245725-Z,1,1,6507
FREP-245776-Z,1,1,34150
FREP-245784-Z,1,0,131457
FREP-245798-Z,1,1,6501
FREP-245820-Z,1,1,128933
FREP-245828-Z,1,1,88287
FREP-245833-Z,1,1,34154
FREP-245840-Z,1,0,88280
FREP-245842-Z,1,1,464
FREP-245854-Z,1,16,131441
FREP-245857-Z,1,1,88272
FREP-245859-Z,1,1,15707
FREP-245866-Z,1,10,128932
FREP-245891-Z,1,17,128943
FREP-245892-Z,2,2,131443
FREP-245895-Z,1,2,128950
FREP-245898-Z,1,1,6499
FREP-245900-Z,1,322,6508
FREP-245902-Z,1,0,128920
FREP-245908-Z,1,13,34135
FREP-245913-Z,1,1,88288
FREP-245922-Z,1,16,6500
FREP-245923-Z,1,0,6509
FREP-245941-Z,1,4,61261
FREP-245951-Z,1,24,6505
FREP-245954-Z,1,1,485
FREP-245982-Z,2,3,131444
FREP-245993-Z,1,16,131458
FREP-245996-Z,1,1,57706
FREP-246004-J,1,0,131460
FREP-246005-Z,1,1,61260
FREP-246008-J,1,7,61262
FREP-246037-Z,2,17,57707
FREP-246039-Z,1,0,88292
FREP-246048-Z,1,1,467
FREP-246068-Z,2,8,88264
FREP-246069-Z,1,1,15721
FREP-246076-Z,1,0,15696
FREP-246078-Z,1,1,128961
FREP-246086-Z,1,4,88293
FREP-246089-J,1,0,128963
FREP-246108-Z,1,2,88270
FREP-246111-Z,1,11,68377
FREP-246127-Z,1,0,6510
FREP-246138-Z,1,1,34156
FREP-246145-Z,1,5,15708
FREP-246147-Z,1,1,131463
FREP-246149-Z,1,0,492
FREP-246165-Z,1,1,34139
FREP-246176-Z,1,19,34158
FREP-246177-Z,1,2,34140
FREP-246180-Z,1,1,128947
FREP-246188-Z,1,1,68378
FREP-246200-Z,1,28,489
FREP-246215-Z,3,196,131447
FREP-246219-Z,2,112,128941
FREP-246226-Z,1,1,131440
FREP-246233-Z,1,10,483
FREP-246256-Z,1,0,88276
FREP-246271-Z,1,2,131465
FREP-246284-Z,1,1,88274
FREP-246288-G,1,0,493
FREP-246288-Z,1,16,131434
FREP-246297-Z,1,1,61265
FREP-246305-Z,1,26,88295
FREP-246313-J,1,0,61266
FREP-246325-Z,1,1,57708
FREP-246330-Z,1,1,15701
FREP-246334-Z,1,0,15723
FREP-246344-Z,1,82,128969
FREP-246347-Z,1,31,468
FREP-246351-Z,1,1,34159
FREP-246366-Z,1,1,6503
FREP-246373-Z,1,1,57709
FREP-246397-Z,1,1,88273
FREP-246399-Z,1,1,34138
FREP-246421-J,1,0,128970
FREP-246426-Z,1,1,88283
FREP-246436-Z,1,0,128972
FREP-246438-J,1,0,53537
FREP-246443-Z,1,0,88296
FREP-246466-Z,1,1,473
FREP-246467-J,1,0,6512
FREP-246471-Z,1,20,131449
FREP-246479-Z,1,1,21729
FREP-246487-Z,1,3,34180
FREP-246488-Z,1,1,88297
FREP-246493-Z,1,1,131483
FREP-246497-Z,1,22,61283
FREP-246517-Z,1,1,128974
FREP-246518-Z,1,1,68388
FREP-246521-Z,1,1,526
FREP-246530-Z,1,18,15724
FREP-246532-J,1,0,34181
FREP-246533-Z,2,974,131468
FREP-246536-Z,1,1,128978
FREP-246541-Z,1,18,131487
FREP-246543-Z,3,119,500
FREP-246544-Z,1,1,61286
FREP-246550-Z,1,3,129018
FREP-246558-J,1,25,21736
FREP-246562-Z,1,1,34184
FREP-246563-Z,1,1,88301
FREP-246569-Z,1,52,88312
FREP-246571-Z,2,459,61271
FREP-246583-Z,1,0,68379
FREP-246585-Z,1,15,68392
FREP-246588-Z,1,2,61269
FREP-246598-Z,1,1,61272
FREP-246600-Z,1,1,15727
FREP-246602-Z,1,1,34163
FREP-246616-Z,1,1,34160
FREP-246638-Z,1,1,68393
FREP-246652-Z,1,2,15747
FREP-246671-Z,1,1,15748
FREP-246678-Z,1,27,509
FREP-246682-Z,1,1,131489
FREP-246685-Z,1,1,68381
FREP-246686-Z,1,1,511
FREP-246689-Z,1,1,15732
FREP-246693-Z,1,1,34186
FREP-246704-Z,1,2,34169
FREP-246706-Z,1,1,131490
FREP-246709-Z,1,14,57712
FREP-246714-Z,2,194,34161
FREP-246718-Z,3,216,61288
FREP-246720-Z,1,6,15734
FREP-246725-Z,1,1,57713
FREP-246728-Z,1,1,61289
FREP-246730-Z,1,44,88318
FREP-246733-Z,3,225,532
FREP-246734-Z,1,1,34183
FREP-246741-Z,1,1,131491
FREP-246743-Z,1,112,131492
FREP-246748-Z,1,4,57714
FREP-246754-Z,1,11,34187
FREP-246757-Z,1,10,68395
FREP-246781-Z,1,7,131493
FREP-246783-Z,3,1,68382
FREP-246785-Z,1,1,512
FREP-246788-Z,1,4,88319
FREP-246793-Z,3,139,129029
FREP-246817-J,1,0,88321
FREP-246822-Z,1,2,57710
FREP-246847-Z,1,1,15730
FREP-246902-Z,1,1,34170
FREP-246946-Z,1,0,131474
FREP-246947-Z,1,1,525
FREP-246948-Z,1,0,34164
FREP-246968-Z,1,1,21732
FREP-246972-Z,2,45,34171
FREP-246981-Z,1,21,129031
FREP-247011-Z,1,6,128989
FREP-247016-Z,1,1,131484
FREP-247018-Z,1,0,34172
FREP-247020-Z,1,2,128992
FREP-247025-Z,1,33,34189
FREP-247028-Z,2,1,128976
FREP-247029-Z,1,38,71919
FREP-247034-Z,1,15,128994
FREP-247036-Z,3,85,88303
FREP-247037-Z,2,23,34174
FREP-247039-Z,1,6,68390
FREP-247041-Z,1,4,61279
FREP-247045-Z,2,0,71918
FREP-247052-Z,1,23,131498
FREP-247053-Z,1,5,88305
FREP-247057-Z,1,3,129041
FREP-247061-Z,1,22,131470
FREP-247066-Z,1,64,68396
FREP-247068-Z,1,1,522
FREP-247073-J,1,0,61295
FREP-247082-Z,1,2,53544
FREP-247085-Z,1,1,68397
FREP-247088-Z,1,5,34185
FREP-247095-Z,1,1,542
FREP-247096-Z,1,333,129003
FREP-247098-Z,1,1,131480
FREP-247099-Z,1,48,15741
FREP-247102-Z,1,1,88323
FREP-247125-G,1,0,131499
FREP-247132-Z,1,3243,21734
FREP-247164-Z,1,1,68387
FREP-247172-Z,1,1,53545
FREP-247190-Z,2,254,498
FREP-247202-Z,1,0,131500
FREP-247220-Z,1,3,15743
FREP-247229-Z,4,383,88309
FREP-247245-Z,3,881,57717
FREP-247254-Z,1,1,15749
FREP-247266-Z,1,1,21740
FREP-247271-Z,3,127,61281
FREP-247273-Z,1,1,131481
FREP-247276-J,1,0,15751
FREP-247283-Z,1,1,88311
FREP-247284-Z,1,0,131494
FREP-247285-Z,1,1,15752
FREP-247286-Z,1,1,15745
FREP-247288-Z,1,1,57711
FREP-247295-Z,1,1,34178
FREP-247298-Z,1,1,129043
FREP-247299-Z,2,6,131495
FREP-247302-Z,1,1,61282
FREP-247303-Z,1,1,68398
FREP-247316-Z,1,0,15742
FREP-247320-Z,1,4,57719
FREP-247323-Z,5,21,88324
FREP-247340-Z,1,1,131469
FREP-247374-Z,1,1,129012
FREP-247387-Z,1,1186,524
FREP-247399-J,1,0,15753
FREP-247400-Z,3,2,129021
FREP-247418-Z,1,2,34191
FREP-247422-Z,1,0,34165
FREP-247426-Z,1,60,61287
FREP-247430-Z,1,5,61284
FREP-247437-Z,1,1,131472
FREP-247476-Z,1,6,61297
FREP-247478-Z,1,2,6526
FREP-247479-Z,1,1,131482
FREP-247488-Z,1,2,88325
FREP-247493-Z,1,1,61318
FREP-247495-Z,1,206,131502
FREP-247499-Z,1,1,131519
FREP-247508-Z,1,1,129053
FREP-247509-Z,1,55,129092
FREP-247511-Z,1,1,34214
FREP-247528-Z,1,2,131520
FREP-247537-Z,1,7,61299
FREP-247539-Z,1,5,15754
FREP-247541-Z,1,1,131504
FREP-247552-Z,1,16,34194
FREP-247553-Z,1,1,61302
FREP-247566-Z,1,1,6530
FREP-247576-Z,1,1,129056
FREP-247582-Z,1,1,88347
FREP-247586-Z,1,3,88348
FREP-247591-Z,1,1,88328
FREP-247598-Z,1,1,68406
FREP-247622-Z,1,26,131507
FREP-247627-Z,1,1,88349
FREP-247628-J,1,0,71929
FREP-247637-Z,1,1,21745
FREP-247647-Z,1,1,34216
FREP-247651-Z,1,1,15775
FREP-247661-Z,1,29,88329
FREP-247677-Z,1,2,131508
FREP-247682-Z,2,598,34219
FREP-247686-Z,1,1,6533
FREP-247687-Z,1,1,34198
FREP-247693-Z,1,585,34221
FREP-247719-Z,1,1,129108
FREP-247742-Z,1,25,88351
FREP-247758-Z,1,5,34217
FREP-247761-Z,1,17,15777
FREP-247768-Z,1,3,129075
FREP-247776-Z,1,472,88352
FREP-247792-Z,1,1,34224
FREP-247797-Z,1,0,68402
FREP-247809-Z,1,10,15779
FREP-247812-Z,1,1,569
FREP-247816-Z,1,1,129050
FREP-247817-Z,1,0,88346
FREP-247819-Z,1,1,88345
FREP-247820-Z,1,7,38511
FREP-247832-Z,1,1,21744
FREP-247836-Z,1,18,88336
FREP-247837-Z,1,15,15761
FREP-247839-Z,1,0,15781
FREP-247846-Z,1,65,15762
FREP-247859-Z,1,1,38500
FREP-247863-Z,1,1,15783
FREP-247865-Z,1,1,88326
FREP-247869-Z,1,1,34202
FREP-247872-Z,1,1,34229
FREP-247877-Z,1,1,88339
FREP-247888-Z,1,1,15768
FREP-247889-Z,1,1,129087
FREP-247905-Z,1,1,34213
FREP-247910-Z,1,1,6537
FREP-247911-Z,1,0,34209
FREP-247918-Z,1,2,574
FREP-247920-Z,1,1,129112
FREP-247926-Z,1,1,34231
FREP-247929-Z,1,1,6536
FREP-247942-Z,1,58,131529
FREP-247943-J,1,0,57726
FREP-247944-Z,1,1,15784
FREP-247950-Z,1,0,34232
FREP-247951-Z,1,12,61305
FREP-247952-Z,1,1,129085
FREP-247959-Z,1,1,15780
FREP-247960-Z,1,1,6535
FREP-247961-Z,1,1,553
FREP-247970-Z,2,1,34210
FREP-247975-Z,1,1,34197
FREP-247977-Z,1,1,61304
FREP-247979-Z,1,3,15764
FREP-247985-Z,1,1,131509
FREP-247986-Z,1,4,34205
FREP-247988-Z,1,2,21741
FREP-248006-Z,1,4,15785
FREP-248007-Z,1,1,129089
FREP-248009-Z,1,1,34225
FREP-248019-J,1,0,57727
FREP-248038-Z,1,4,547
FREP-248040-Z,3,378,38504
FREP-248042-Z,1,1,564
FREP-248043-Z,1,1,38505
FREP-248045-Z,1,46,15771
FREP-248050-Z,1,12,131513
FREP-248053-Z,2,264,88341
FREP-248058-Z,1,48,57724
FREP-248067-Z,1,1,88356
FREP-248069-Z,1,2,34212
FREP-248077-J,1,0,38513
FREP-248080-Z,1,1,61319
FREP-248089-Z,1,1,88343
FREP-248092-Z,1,3,131532
FREP-248097-Z,1,1,34230
FREP-248103-Z,1,1,38507
FREP-248104-G,1,0,57728
FREP-248111-Z,1,0,38510
FREP-248113-Z,1,1,88357
FREP-248118-Z,1,1,131534
FREP-248138-Z,1,1,131521
FREP-248165-G,1,0,61327
FREP-248210-Z,1,1,131524
FREP-248211-Z,1,4,131516
FREP-248238-Z,1,1,131517
FREP-248246-Z,1,1,61320
FREP-248252-Z,1,55,34233
FREP-248256-Z,1,5,129118
FREP-248257-Z,1,30,88337
FREP-248273-Z,4,215,129091
FREP-248291-Z,3,33,131518
FREP-248295-Z,1,1,131503
FREP-248299-Z,1,1,131540
FREP-248300-Z,1,1,129129
FREP-248301-G,1,0,131541
FREP-248307-Z,1,14,129119
FREP-248321-Z,1,29,131543
FREP-248331-Z,1,6,21748
FREP-248349-Z,1,63,131537
FREP-248350-Z,1,2,57729
FREP-248367-Z,1,1,57730
FREP-248394-Z,1,1,6539
FREP-248411-Z,1,1,57734
FREP-248447-Z,1,0,15791
FREP-248450-Z,1,1,129122
FREP-248455-Z,1,62,57735
FREP-248459-Z,1,1,15793
FREP-248483-G,2,15,15794
FREP-248485-G,1,31,57737
FREP-248485-Z,1,1,38516
FREP-248489-Z,1,1,61339
FREP-248495-G,1,0,57738
FREP-248499-Z,1,1,15795
FREP-248500-G,1,48,57739
FREP-248505-Z,1,1,21749
FREP-248510-G,1,2,129140
FREP-248521-G,1,1,88367
FREP-248522-G,2,702,88368
FREP-248529-G,1,2,129143
FREP-248537-Z,1,1,129148
FREP-248540-G,1,1,71932
FREP-248544-Z,1,1,131538
FREP-248551-Z,1,2,34235
FREP-248552-G,1,1,6540
FREP-248553-Z,1,1,129120
FREP-248563-Z,2,219,88361
FREP-248565-Z,2,0,61343
FREP-248566-Z,2,126,34236
FREP-248568-G,1,9,585
FREP-248570-G,1,1,98195
FREP-248570-Z,1,1,88362
FREP-248571-G,1,1,61345
FREP-248577-Z,1,22,98196
FREP-248586-Z,2,38,71930
FREP-248587-G,1,1,98197
FREP-248597-G,1,31,131554
FREP-248603-G,1,2,61342
FREP-248615-G,1,11,131548
FREP-248617-G,1,11,71933
FREP-248619-Z,1,1,34244
FREP-248625-G,1,1,581
FREP-248627-Z,1,1,57731
FREP-248628-G,1,0,131557
FREP-248637-G,3,4,57744
FREP-248638-G,1,5,131550
FREP-248642-Z,1,1,38518
FREP-248644-G,1,1,6541
FREP-248651-G,4,179,131556
FREP-248651-Z,2,23,129161
FREP-248657-G,1,2,61346
FREP-248658-G,1,1,131559
FREP-248658-Z,1,6,38519
FREP-248666-G,1,53,34246
FREP-248670-G,1,1,15800
FREP-248677-G,1,2,38525
FREP-248678-G,2,24,131560
FREP-248679-G,5,57,129163
FREP-248686-G,1,8,131563
FREP-248686-Z,1,1,34249
FREP-248689-Z,1,1,98189
FREP-248690-Z,1,0,21753
FREP-248703-G,1,3,131565
FREP-248706-G,1,15,129170
FREP-248710-Z,1,0,129127
FREP-248715-G,1,1,131552
FREP-248718-G,1,1,98201
FREP-248723-Z,1,0,88363
FREP-248729-J,1,0,61349
FREP-248729-Z,1,1,61331
FREP-248731-Z,1,2,53554
FREP-248732-G,1,1,131546
FREP-248734-G,1,0,61350
FREP-248738-G,1,1,129164
FREP-248743-G,4,9,38526
FREP-248748-G,1,10,98192
FREP-248753-Z,1,1,15786
FREP-248761-Z,1,0,38521
FREP-248769-Z,1,1,61351
FREP-248773-Z,1,1,131544
FREP-248780-Z,1,1,61338
FREP-248794-Z,2,77,34250
FREP-248796-Z,1,1,588
FREP-248800-G,1,1,577
FREP-248803-G,1,14,15799
FREP-248804-G,3,505,15802
FREP-248809-G,1,2,131566
FREP-248812-Z,1,1,589
FREP-248819-G,1,0,38531
FREP-248825-G,2,3,131551
FREP-248841-G,1,1,57741
FREP-248850-G,1,0,129177
FREP-248858-G,1,1,57749
FREP-248859-G,1,23,57743
FREP-248860-G,1,0,71934
FREP-248863-G,3,1,129178
FREP-248865-G,1,20,88370
FREP-248867-G,2,228,61340
FREP-248869-Z,1,1,129182
FREP-248870-G,3,166,129158
FREP-248875-G,2,4,61353
FREP-248876-Z,1,20,580
FREP-248878-G,2,254,131567
FREP-248880-G,3,209,34254
FREP-248887-G,1,1,57752
FREP-248887-Z,1,15,57753
FREP-248889-Z,1,0,131539
FREP-248894-G,2,418,61352
FREP-248898-G,1,35,593
FREP-248902-G,2,102,131569
FREP-248905-G,1,1,131570
FREP-248916-Z,1,57,15792
FREP-248917-G,1,44,6542
FREP-248918-G,1,1,71937
FREP-248920-G,2,3,88371
FREP-248925-Z,1,1,61332
FREP-248926-Z,1,1,57732
FREP-248945-G,1,1,21750
FREP-248950-Z,1,1,131542
FREP-248952-G,2,15,15797
FREP-248955-Z,1,1,15787
FREP-248969-G,3,66,129186
FREP-248973-Z,1,45,88372
FREP-248977-Z,1,2,129202
FREP-248979-J,1,1,131579
FREP-248979-Z,2,143,620
FREP-248986-Z,1,289,57767
FREP-248990-G,1,60,34258
FREP-248993-G,4,128,15806
FREP-248994-Z,2,37,21763
FREP-248995-G,1,0,57756
FREP-249001-G,1,3,34259
FREP-249004-Z,1,0,131572
FREP-249005-G,1,4,622
FREP-249006-Z,2,13,71943
FREP-249009-G,1,363,61358
FREP-249010-Z,1,2,61359
FREP-249019-Z,1,1,61371
FREP-249025-G,2,8,61360
FREP-249036-G,1,69,88388
FREP-249041-Z,1,1,57759
FREP-249042-Z,1,49,630
FREP-249047-G,1,1,71939
FREP-249056-G,1,2,88389
FREP-249057-G,3,126,15810
FREP-249068-G,3,632,88377
FREP-249071-J,1,0,15820
FREP-249071-Z,1,1,57771
FREP-249077-Z,1,58,57773
FREP-249089-Z,1,1,61373
FREP-249097-J,1,0,635
FREP-249099-J,1,0,57774
FREP-249100-J,1,0,15822
FREP-249112-Z,1,1,57775
FREP-249114-G,2,55,57770
FREP-249121-Z,1,1,61374
FREP-249126-G,1,0,71945
FREP-249128-Z,1,1,638
FREP-249134-Z,1,492,131585
FREP-249140-Z,1,1,129193
FREP-249151-G,2,1,88380
FREP-249152-G,3,139,131586
FREP-249158-Z,1,9,636
FREP-249160-G,3,696,21766
FREP-249166-G,1,21,61375
FREP-249166-Z,1,1,34274
FREP-249176-Z,1,5,88397
FREP-249177-G,1,5,644
FREP-249178-G,1,92,34257
FREP-249186-Z,1,1,131588
FREP-249187-G,1,3,88373
FREP-249188-Z,1,0,57778
FREP-249190-G,1,0,71946
FREP-249198-G,1,3,131580
FREP-249198-Z,1,100,131581
FREP-249201-G,1,1,647
FREP-249209-G,1,0,71948
FREP-249212-G,1,21,129208
FREP-249213-Z,1,1,71949
FREP-249215-Z,1,1,57769
FREP-249219-G,1,2,88398
FREP-249219-Z,1,3,88399
FREP-249220-Z,2,5,131573
FREP-249222-Z,1,1,88378
FREP-249223-G,1,10,15812
FREP-249224-Z,2,22,34268
FREP-249226-Z,3,182,88400
FREP-249229-G,1,1,15826
FREP-249231-Z,1,40,88382
FREP-249233-G,1,1,71941
FREP-249238-Z,1,65,605
FREP-249244-Z,1,102,71951
FREP-249248-G,1,2,61357
FREP-249249-Z,3,92,131591
FREP-249251-Z,1,1,34277
FREP-249268-G,1,145,606
FREP-249268-J,1,0,61379
FREP-249269-J,1,0,34278
FREP-249269-Z,2,13,88403
FREP-249270-Z,1,1,34276
FREP-249276-G,1,1,57780
FREP-249280-G,1,0,131592
FREP-249282-Z,1,5,15808
FREP-249286-Z,4,0,131593
FREP-249291-Z,1,542,15829
FREP-249292-Z,1,1,88405
FREP-249299-Z,1,2,131595
FREP-249300-Z,1,1,131594
FREP-249302-Z,1,1,57777
FREP-249310-G,1,0,15813
FREP-249311-Z,4,250,71953
FREP-249316-Z,1,1,88406
FREP-249319-J,1,0,131596
FREP-249329-Z,1,1,71942
FREP-249330-Z,1,1,71956
FREP-249332-Z,1,61,71940
FREP-249333-Z,1,1,15831
FREP-249339-G,1,0,34279
FREP-249340-G,1,1,650
FREP-249342-G,1,1,34265
FREP-249342-Z,2,216,15814
FREP-249345-G,1,3,88385
FREP-249345-Z,1,17,88383
FREP-249357-Z,3,176,57782
FREP-249362-Z,1,1,88407
FREP-249383-Z,1,1,61381
FREP-249388-Z,4,156,131597
FREP-249389-Z,1,0,611
FREP-249390-Z,1,46,57783
FREP-249391-Z,2,441,131577
FREP-249392-Z,1,15,131599
FREP-249398-Z,2,1,61383
FREP-249404-Z,1,10,88392
FREP-249407-Z,1,1,88401
FREP-249408-Z,4,11,57779
FREP-249410-Z,1,0,15833
FREP-249419-Z,1,409,71960
