sample,block,archived,replicated_pooled,abs_diff,mean_fold_r2
main_E0,regional_time,0.0095001191791654,0.00950011917916549,8.847089727481716e-17,0.009302411053231086
main_E0,B,0.0173780019210484,0.017378001921048547,1.457167719820518e-16,0.01710939513969816
main_E0,BG,0.0281239753559837,0.028123975355983877,1.7694179454963432e-16,0.027770739477656757
weather_E0,regional_time,-0.0016978721394109,-0.001697872139410972,7.19910242530375e-17,-0.003673538012895117
weather_E0,B,0.021581834386435,0.021581834386435017,1.734723475976807e-17,0.019130767311741792
weather_E0,BG,0.020103346763085,0.020103346763084895,1.0408340855860843e-16,0.018292917312105073
main_R0c,regional_time,0.0169900253509269,0.016990025350926974,7.28583859910259e-17,0.013490785915715264
main_R0c,B,0.0256717456236382,0.025671745623638054,1.457167719820518e-16,0.022058061029699583
main_R0c,BG,0.0318692627122627,0.03186926271226276,5.551115123125783e-17,0.02801465285105518
main_R0c,BGC,0.110536591150531,0.11053659115053105,5.551115123125783e-17,0.10736673757104032
weather_R0c,regional_time,0.162514893515228,0.16251489351522808,8.326672684688674e-17,0.10554619678867813
weather_R0c,B,0.1884511887043671,0.18845118870436683,2.7755575615628914e-16,0.13355022003643768
weather_R0c,BG,0.202764632016699,0.20276463201669892,8.326672684688674e-17,0.148394966168707
weather_R0c,BGC,0.2155817557026651,0.21558175570266513,2.7755575615628914e-17,0.16171373338480385
