path,lines,sha256,parse_error,potential_write_count
D:\Pyprogramme\STST2603\claude_branch\scripts\dev_sample_decontamination\step1_rebuild_clean_sample.py,125,55d67d9bdb279a7a8d97acecce9e9dbf0a99754f16aa89493da91d9f701f0646,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\dev_sample_decontamination\step2_refit_clean.py,82,d53368d85dab62c1f38935d96758ed6c1264e135aa0261f9deea1959dddb0bb1,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\dev_sample_decontamination\step3_critical_wind_speed_clean.py,174,7ae607f26f46dbe9b7a1d3ed2d6c7dd9cc97b97cdf8775265e815cd567c7ac46,,9
D:\Pyprogramme\STST2603\claude_branch\scripts\dev_sample_decontamination\step4_variance_decomposition_clean.py,57,a33992f9b16e1f31cbf5dfadf12ca4091634bda7e10fc93ba4555b976417c901,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\combined_sample_builder.py,106,bef8d2ac20adf2a3e0e8d086c62f927cbea317af2cee8223321427e69d536858,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure10_robustness_forest.py,113,5c011b4f377b596370d6bcf48548e1373ebdc4318b7d20b947d18163fbe28c81,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure1_study_area.py,109,32658a3b74145adf3c24295c5ccb087f55981b2f12cad4a8e54b04875c8f4870,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure2_distribution.py,84,d0c364b46d77089b7b0aab1960068b8e84d3235f025c109e11254a696cb20c2d,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure4_dose_response.py,71,c5e624eacf0a984ce176eefb096e662e87bfa683b9217bab5a0a5fec2d7be634,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure5_variance_decomposition.py,83,e0acc5f6de113bfd094d4217868a8619929bc9d3e6c295401c8840187105ad2d,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure6_regional_map.py,95,2a4af28dd5e466bd48ab3ce12a0808fa9bdf2e63d10106e50749cda622098a9b,,3
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure7_magnitude_comparison.py,64,f264b77763879ed7777c3b0e9347c74ba73f01e198317fbb3e76ab09131da874,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure8_weather_subsample_comparison.py,94,dafc467ec03440f14c86331b9d660fcf08a1826c990dabdcc886946a6adff386,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure9_storm_validation.py,155,53b4deb7895b8ca5abcdede25f4897af00f540720b1694aa1065284da8e04133,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figure_style.py,115,183312056ab54a78d3642453bd8b1e5e13b5f51dd837eb3f7165bad3fd5f82df,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\figureD1_composition_effect.py,80,37b67ad56cce086933b24e176e6e7a5320e4d887860bb26df788e1184aae1ba2,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step10_named_storms.py,113,55f28464c028aebda7b16a1f2366f14bb248aea640696c25baf288e4636b87ea,,3
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step13_storm_prediction_check.py,213,089a1fa2ae79c06ce6cff95cdc8a5720de8cfce73545f680344c47c509909407,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step16_range_restriction.py,192,525ac055c96538b4c98bb0ca55b4cb31271e09796605cf783e60358214c43c76,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step17_weather_natural_subsample.py,229,70b72ca5d78ee673e22f7a945b1d7fa0625a7893c6a22d5f036452d3225e58e5,,11
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step1_final_fit.py,84,0b80f3d0d14faf244b64790af09626e2e08b054cf22943367a4a1981998da2ec,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step21_causecode_gust_diagnostic.py,115,a1f19a86d848dbb91d7ce1e0c2aaf8e0e8cfffa546d57f8022e8621d064152b5,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step2_critical_wind_and_variance.py,144,19a0f1c71c4a94c30c652d93efb1c3c38fa3e2b4732523e6a433aae4ee83fea6,,6
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step30_counterfactual.py,219,727f9490167d3a60256d246a09324a8cdb87ecd7bbca9bcf7dafb59414faad3f,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step36_six_group_clean_sample.py,178,51c0a1bd168358847bf2fcae74e66be58b430de348315f73114a83e7d0dfaa96,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step38_F4_customers_mean_ratio.py,82,e5959d2880f7b6a662d19a1e355e3be1234850971296d71eb56370478ab3079c,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step38_M6_decompose_sample_vs_definition.py,123,8de1d39b33a76df1e4ced81c05b34d47b061449118516e36dde24ced6675d628,,1
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step38_M6_nonlinear_dependence.py,118,a7edba84aa8d7a1cdc4c6e9431a5b6167a755c062d31e48b69ca522db405e3e1,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step3_dose_response_curve.py,121,22c7b5abf05037470f2ce92c56608f7be3bedc9d05edf1754eaea8fd17c19615,,3
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step40_1_cubic_gust_term.py,185,819036dfcdaa684af4d8cc16166320aad3c8c32a4ab8de7370f54be357b8d556,,3
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step40_2_zspace_symmetry.py,95,baed14f030dae1da8ce3f30af276c58c3c84e6c986ab3f14b9385af369becfbc,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step40_model_form_check.py,233,c88d691e0a6490a6dc45f355b49d033954b6528b04e7ad449eeaceb226e81415,,4
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step42_appendixD_composition_crosstab.py,122,48c4db3fe33b529bf1b4e967d2c87fab5e18ff47de1af5c8baf25bc0fad627aa,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step43_M01_M03_M05.py,200,9c2da7d284e37e505f22f9e664b35d03929e6c8b7c4444e9704fceae6909b647,,3
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step4_baseline_regional_map.py,177,ffe8370224acf257dee94173d2ee82b4a445ff443d751b8174fe1d92c4b5e7f9,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\final_combined_analysis\step7_customers_dose_response.py,156,51ffc05f6435f1b7497f263a485ea34305cd38c5fe4e187d1dbe416130aaec79,,5
D:\Pyprogramme\STST2603\claude_branch\scripts\module_e_final_confirmation\build_holdout_sample.py,140,5ef63d67244ee535bdcab765a6646c304a2689f21798df8b25b15a58accd27e3,,2
D:\Pyprogramme\STST2603\claude_branch\scripts\module_e_final_confirmation\fit_holdout_models.py,220,3f2c41ee96c18a0c85a962bbde2131a7836ffbd442d4e381b28f993df0df9b70,,11
