storm,n,old_corr_log1p_exp_eta,corr_eta,old_mae_log,mae_eta,mean_extra_log_shift
FULL_SAMPLE,60437,0.1793359823518509,0.17972883224408595,1.7174993820298272,1.690321118074575,0.11659247879306109
Storm Arwen,267,0.1155265964015293,0.11530550038744639,1.6786512966429956,1.6534410448483188,0.12137607013393317
Storm Dudley,293,0.29415548081672216,0.29271307086623255,1.758787417086244,1.7425884618895933,0.08730826194486072
Storm Eunice,1601,0.15324775434986024,0.15536570604279565,2.027164886565073,2.028885151974208,0.05590030566227187
Storm Franklin,1187,0.12375585921136015,0.12455836557560643,1.8243833179913518,1.8171199067699755,0.08700682842455572
Storm Babet,506,0.18506890568528928,0.18530896242669326,1.6738290527051085,1.6428862517435066,0.11118960408466065
Storm Ciaran,576,0.3413327696542541,0.3419320073060138,1.843998801749923,1.8173958746390302,0.0861598996717055
Storm Henk,493,0.33164141328815827,0.33324972780264195,1.7889135177788462,1.7839393878517507,0.0773919568041634
