candidate,count,mean,std,min,1%,5%,50%,90%,95%,99%,max,n_zero,a01_max_abs_error
A01_daily_max,121656.0,11.62529838232393,4.313309319670224,2.4,4.2,5.8,11.0,17.5,19.7,24.7,35.9,0,0.0
A02_daily_mean,121656.0,8.24184651120098,3.2210464576940048,1.7041666666666666,2.9125,3.9375,7.737500000000001,12.612500000000002,14.367708333333333,17.58937499999999,25.258333333333336,0,
A03_daily_q90,121656.0,10.86251191885316,3.9736849184170895,2.2,3.91,5.34,10.34,16.29,18.27,22.27,30.549999999999997,0,
A04_top3_mean,121656.0,11.288299522149888,4.1439110500914165,2.3333333333333335,4.1000000000000005,5.566666666666667,10.700000000000001,16.96666666666667,19.0,23.433333333333334,32.9,0,
A05_max_rolling3h_mean,121656.0,11.229191600359483,4.129493773473465,2.2,4.066666666666667,5.533333333333334,10.666666666666666,16.9,18.933333333333334,23.333333333333332,32.9,0,
