target,candidate,n,events,valid_cv,brier,brier_a01,absolute_gain,relative_gain,constant_brier,brier_skill,calibration_rmse,calibration_absolute_gain,calibration_relative_gain
any_gt0,A01_daily_max,121656,41926,True,0.22386934973446987,0.22386934973446987,0.0,0.0,0.22600909165195673,0.00946750372671723,0.01551756360083127,0.0,0.0
any_gt0,A02_daily_mean,121656,41926,True,0.22457089306837708,0.22386934973446987,-0.0007015433339072064,-0.0031337176560315328,0.22600909165195673,0.006363454554272563,0.01791839130390974,-0.00240082770307847,-0.15471679477761952
any_gt0,A03_daily_q90,121656,41926,True,0.22408701485745974,0.22386934973446987,-0.00021766512298987406,-0.000972286394935463,0.22600909165195673,0.008504422456849237,0.01732596694546224,-0.0018084033446309714,-0.11653912889611717
any_gt0,A04_top3_mean,121656,41926,True,0.22394909284943687,0.22386934973446987,-7.974311496700137e-05,-0.00035620380843373253,0.22600909165195673,0.00911467227916729,0.01678494088730458,-0.0012673772864733087,-0.08167372914169437
any_gt0,A05_max_rolling3h_mean,121656,41926,True,0.22396250627089384,0.22386934973446987,-9.31565364239717e-05,-0.00041612010100741404,0.22600909165195673,0.009055323244316793,0.016989429807974427,-0.0014718662071431573,-0.09485163038508893
any_gt5,A01_daily_max,121656,20285,True,0.13722531427289486,0.13722531427289486,0.0,0.0,0.13898791540700847,0.01268168623834709,0.00880049508537637,0.0,0.0
any_gt5,A02_daily_mean,121656,20285,True,0.13776352401553826,0.13722531427289486,-0.0005382097426434029,-0.003922087885133827,0.13898791540700847,0.008809337041171816,0.009216105918638397,-0.00041561083326202737,-0.04722584686771097
any_gt5,A03_daily_q90,121656,20285,True,0.1373655027098394,0.13722531427289486,-0.0001401884369445494,-0.0010215931199527946,0.13898791540700847,0.01167304864180485,0.009467844540403895,-0.0006673494550275254,-0.07583089912026068
any_gt5,A04_top3_mean,121656,20285,True,0.13726134277561033,0.13722531427289486,-3.6028502715473865e-05,-0.0002625499741529127,0.13898791540700847,0.01242246584058826,0.008629728050402111,0.00017076703497425835,0.019404253205938263
any_gt5,A05_max_rolling3h_mean,121656,20285,True,0.1372683442813262,0.13722531427289486,-4.303000843133842e-05,-0.00031357194304373204,0.13898791540700847,0.012372090916298206,0.008660512775702942,0.00013998230967342783,0.0159061857674387
any_gt100,A01_daily_max,121656,7369,True,0.05601043629989143,0.05601043629989143,0.0,0.0,0.056907797424420925,0.015768684875236638,0.0024311128521667413,0.0,0.0
any_gt100,A02_daily_mean,121656,7369,True,0.05633271115312903,0.05601043629989143,-0.00032227485323760297,-0.005753835794316562,0.056907797424420925,0.01010557950438451,0.0025482778069316537,-0.00011716495476491243,-0.0481939596759108
any_gt100,A03_daily_q90,121656,7369,True,0.05610518212652764,0.05601043629989143,-9.474582663621112e-05,-0.0016915745153085833,0.056907797424420925,0.01410378426540293,0.002404868890059021,2.624396210772033e-05,0.010795040668034094
any_gt100,A04_top3_mean,121656,7369,True,0.05603521970481277,0.05601043629989143,-2.4783404921339958e-05,-0.00044247834079785587,0.056907797424420925,0.015333183835958941,0.002327624575862225,0.00010348827630451626,0.04256827329602648
any_gt100,A05_max_rolling3h_mean,121656,7369,True,0.056034348894044114,0.05601043629989143,-2.3912594152686317e-05,-0.0004269310459331785,0.056907797424420925,0.015348485970430259,0.002446326859483965,-1.521400731722359e-05,-0.006258042403775715
any_gt1000,A01_daily_max,121656,1020,True,0.008233490096094406,0.008233490096094406,0.0,0.0,0.008314320066678389,0.00972177760006232,0.0009989528224393402,0.0,0.0
any_gt1000,A02_daily_mean,121656,1020,True,0.008276497310221231,0.008233490096094406,-4.3007214126825066e-05,-0.0052234488199877395,0.008314320066678389,0.004549109987807776,0.0014158158427186969,-0.0004168630202793567,-0.41730000748325635
any_gt1000,A03_daily_q90,121656,1020,True,0.0082351546938987,0.008233490096094406,-1.6645978042940934e-06,-0.00020217402157120503,0.008314320066678389,0.009521569069365299,0.0010964296087925503,-9.747678635321018e-05,-0.09757896885979248
any_gt1000,A04_top3_mean,121656,1020,True,0.00822881021417549,0.008233490096094406,4.679881918916856e-06,0.000568395888535383,0.008314320066678389,0.010284647670180558,0.0005981837248544686,0.00040076909758487154,0.40118921392727497
any_gt1000,A05_max_rolling3h_mean,121656,1020,True,0.008228171290702921,0.008233490096094406,5.31880539148509e-06,0.0006459964522223801,0.008314320066678389,0.010361493818445755,0.000767535713612469,0.00023141710882687116,0.23165969766397412
wthr_gt0,A01_daily_max,121656,6122,True,0.0453053326894635,0.0453053326894635,0.0,0.0,0.04780439622507181,0.052276855957813284,0.002942965055030017,0.0,0.0
wthr_gt0,A02_daily_mean,121656,6122,True,0.04600780919920238,0.0453053326894635,-0.0007024765097388835,-0.015505382435967765,0.04780439622507181,0.03758204616602134,0.0036494044935390033,-0.0007064394385089862,-0.24004343418946264
wthr_gt0,A03_daily_q90,121656,6122,True,0.04547755588618849,0.0453053326894635,-0.0001722231967249896,-0.0038013890750005007,0.04780439622507181,0.048674191551926205,0.003431187713815433,-0.00048822265878541594,-0.16589482024292546
wthr_gt0,A04_top3_mean,121656,6122,True,0.04533499397975124,0.0453053326894635,-2.96612902877455e-05,-0.0006546975494265319,0.04780439622507181,0.05165638393787397,0.0034935295470449983,-0.0005505644920149812,-0.18707816155478124
wthr_gt0,A05_max_rolling3h_mean,121656,6122,True,0.045346425724000154,0.0453053326894635,-4.109303453665725e-05,-0.0009070242308630947,0.04780439622507181,0.0514172481020172,0.0033889858255479626,-0.00044602077051794555,-0.15155489860663546
wthr_gt5,A01_daily_max,121656,4394,True,0.03313680060636064,0.03313680060636064,0.0,0.0,0.034820363904497734,0.048349962761866094,0.002597911657450243,0.0,0.0
wthr_gt5,A02_daily_mean,121656,4394,True,0.03364705563735263,0.03313680060636064,-0.0005102550309919879,-0.01539843985101096,0.034820363904497734,0.03369603690424228,0.0024730603971545913,0.00012485126029565183,0.048058316354832806
wthr_gt5,A03_daily_q90,121656,4394,True,0.03326954619531987,0.03313680060636064,-0.00013274558895922522,-0.004005986894635343,0.034820363904497734,0.044537665184410824,0.002332371224637272,0.0002655404328129711,0.10221303409277184
wthr_gt5,A04_top3_mean,121656,4394,True,0.03315810629183759,0.03313680060636064,-2.130568547694528e-05,-0.0006429614533412629,0.034820363904497734,0.04773808847085115,0.002539698256203373,5.821340124687003e-05,0.022407767823792897
wthr_gt5,A05_max_rolling3h_mean,121656,4394,True,0.03316685933213763,0.03313680060636064,-3.0058725776986595e-05,-0.0009071100778273927,0.034820363904497734,0.04748671142252259,0.002389425904133237,0.000208485753317006,0.08025128672836676
wthr_gt100,A01_daily_max,121656,2472,True,0.01898541726272093,0.01898541726272093,0.0,0.0,0.01990773569528831,0.046329650276885626,0.0014050647039226224,0.0,0.0
wthr_gt100,A02_daily_mean,121656,2472,True,0.01931358931288481,0.01898541726272093,-0.00032817205016388157,-0.017285479988278594,0.01990773569528831,0.0298450005313321,0.0007228082913251011,0.0006822564125975213,0.48556939099873186
wthr_gt100,A03_daily_q90,121656,2472,True,0.019087682474172953,0.01898541726272093,-0.00010226521145202325,-0.00538651376669121,0.01990773569528831,0.04119269180921681,0.001171537125739255,0.00023352757818336737,0.1662041452834245
wthr_gt100,A04_top3_mean,121656,2472,True,0.019013943945663116,0.01898541726272093,-2.8526682942186382e-05,-0.0015025575970985022,0.01990773569528831,0.04489670564778159,0.0011829298869126005,0.00022213481701002184,0.1580957918805246
wthr_gt100,A05_max_rolling3h_mean,121656,2472,True,0.019012981302012486,0.01898541726272093,-2.7564039291556874e-05,-0.0014518532255638444,0.01990773569528831,0.044945060903515466,0.0009871771905381834,0.00041788751338443894,0.2974151384045102
wthr_gt1000,A01_daily_max,121656,312,True,0.002474856739557275,0.002474856739557275,0.0,0.0,0.002558074475163004,0.03253139672582295,0.0019981125156636123,0.0,0.0
wthr_gt1000,A02_daily_mean,121656,312,True,0.002517491983610734,0.002474856739557275,-4.2635244053458934e-05,-0.017227358405030715,0.002558074475163004,0.015864468351604266,0.00015592374782632195,0.0018421887678372903,0.9219644806766366
wthr_gt1000,A03_daily_q90,121656,312,True,0.002485277273000008,0.002474856739557275,-1.0420533442733262e-05,-0.004210560262408313,0.002558074475163004,0.02845781186974905,0.00036261861866660627,0.001635493896997006,0.8185194197904448
wthr_gt1000,A04_top3_mean,121656,312,True,0.002474258102143458,0.002474856739557275,5.986374138166987e-07,0.0002418877037398894,0.002558074475163004,0.03276541548470946,0.0003418486347078113,0.001656263880955801,0.8289142217828125
wthr_gt1000,A05_max_rolling3h_mean,121656,312,True,0.0024734701610340517,0.002474856739557275,1.3865785232231725e-06,0.0005602661766479527,0.002558074475163004,0.033073436661206324,0.0003528656362124172,0.001645246879451195,0.8234005175152893
