target,scope,old_nll,repaired_nll,old_success,repaired_valid,known_legal_nll,old_oof_brier,repaired_oof_brier,repair_absolute_gain,repaired_prediction_std,old_theta,old_beta,old_p0,repaired_theta,repaired_beta,repaired_p0
any_gt0,full,77783.96496177802,77783.96496177369,True,True,263889.83455904166,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.04701185041250381,28.845182803189996,0.41100145473125,0.31912223317753624,28.845152755506767,0.4110008133977116,0.3191221311302007
any_gt0,fold_0,61858.069189199145,61858.06918919336,True,True,210851.20903532006,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.045543449260938694,,,,29.467592138291742,0.42695219161705616,0.3216777374197373
any_gt0,fold_1,62512.73833237511,62512.73833237351,True,True,212926.59918295083,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.045445334225912605,,,,29.136855435783783,0.4143900348944709,0.3218348313554237
any_gt0,fold_2,62636.382464846065,62636.38246484372,True,True,214203.2383978269,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.04647415032185144,,,,28.642215180728787,0.39800249936350035,0.32458800245717456
any_gt0,fold_3,62211.4495157894,62211.44951576994,True,True,210741.0187036577,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.0507913207353061,,,,27.553531592386268,0.3825813742753188,0.31728156388311646
any_gt0,fold_4,61891.390891924064,61891.39089188393,True,True,206837.27291641137,0.22386935023327356,0.22386934973446987,4.98803692794425e-10,0.04695568122698103,,,,29.589446244138667,0.43635086219087715,0.3100444058163505
any_gt5,full,54181.285425905204,54181.285425903625,True,True,126395.60926932198,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.04232220900895831,30.896371605594968,0.3599048854226883,0.14979923384433988,30.896400264886058,0.3599055214037203,0.14979921867949714
any_gt5,fold_0,43149.369481985865,43149.36948196849,True,True,100895.81001745454,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.04100225371301771,,,,31.621595004209613,0.376434474245256,0.15063094480571568
any_gt5,fold_1,43588.61937177564,43588.619371758214,True,True,101949.76904626525,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.04105289634769853,,,,31.5876095851673,0.3806243137401902,0.15000869589556592
any_gt5,fold_2,43919.57586471795,43919.575864702914,True,True,103244.00038319927,0.13722531645702502,0.13722531427289486,2.184130154514463e-09,0.04286608681672238,,,,30.52532334749644,0.3505834680969831,0.15312964904178772
