target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse
any_gt0,A01_daily_max,0,0.0,0.31004441993632403,0,0,,,True
any_gt0,A01_daily_max,1,0.31004441993632403,0.31745273867585144,15344,5371,0.3132525112170464,0.3500391032325339,False
any_gt0,A01_daily_max,2,0.31745273867585144,0.3220974545771939,17283,5575,0.320232454299771,0.3225713128507782,False
any_gt0,A01_daily_max,3,0.3220974545771939,0.3240010336060713,11267,3608,0.322899628428776,0.32022721221265643,False
any_gt0,A01_daily_max,4,0.3240010336060713,0.3259185723417619,13209,4048,0.324923325181053,0.3064577182224241,False
any_gt0,A01_daily_max,5,0.3259185723417619,0.32806063494877763,8295,2563,0.32691598990626025,0.30898131404460516,False
any_gt0,A01_daily_max,6,0.32806063494877763,0.33191637688869635,8339,2686,0.3298447314757176,0.3221009713394892,False
any_gt0,A01_daily_max,7,0.33191637688869635,0.3396586357198688,11198,3685,0.33527437432532564,0.3290766208251473,False
any_gt0,A01_daily_max,8,0.3396586357198688,0.35505617238829484,11641,3983,0.34632736975312245,0.34215273601924234,False
any_gt0,A01_daily_max,9,0.35505617238829484,0.39217189956151555,12376,4588,0.370064699032809,0.3707175177763413,False
any_gt0,A01_daily_max,10,0.39217189956151555,0.8330184301300306,12703,5818,0.45914105975766606,0.45800204676060774,False
any_gt0,A01_daily_max,11,0.8330184301300306,1.0,1,1,0.8330184301300306,1.0,True
any_gt0,A02_daily_mean,0,0.0,0.31004441993632403,0,0,,,True
any_gt0,A02_daily_mean,1,0.31004441993632403,0.31745273867585144,9794,3504,0.31502416330847605,0.3577700633040637,False
any_gt0,A02_daily_mean,2,0.31745273867585144,0.3220974545771939,3514,1248,0.31950657935808713,0.3551508252703472,False
any_gt0,A02_daily_mean,3,0.3220974545771939,0.3240010336060713,11039,3730,0.32256120179462777,0.3378929250837938,False
any_gt0,A02_daily_mean,4,0.3240010336060713,0.3259185723417619,13546,4280,0.32532962492331535,0.3159604311235789,False
any_gt0,A02_daily_mean,5,0.3259185723417619,0.32806063494877763,10107,3235,0.3268251616341629,0.3200751954091224,False
any_gt0,A02_daily_mean,6,0.32806063494877763,0.33191637688869635,20624,6340,0.329788876242383,0.3074088440651668,False
