candidate,target,valid_comparison,absolute_gain_lo,absolute_gain_hi,relative_gain_lo,relative_gain_hi,repeats,seed
A01_daily_max,any_gt0,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,any_gt5,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,any_gt100,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,any_gt1000,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,wthr_gt0,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,wthr_gt5,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,wthr_gt100,True,0.0,0.0,0.0,0.0,1000,20260909
A01_daily_max,wthr_gt1000,True,0.0,0.0,0.0,0.0,1000,20260909
A02_daily_mean,any_gt0,True,-0.0009032529650705467,-0.0005111639369464626,-0.004072922856779941,-0.0022954347287440524,1000,20260909
A02_daily_mean,any_gt5,True,-0.0007110413349153079,-0.0003722783090165234,-0.005213406153355045,-0.0027485932196873817,1000,20260909
A02_daily_mean,any_gt100,True,-0.0004435769129745395,-0.00020684055315491826,-0.0076222304500582734,-0.003806938209189957,1000,20260909
A02_daily_mean,any_gt1000,True,-6.645797024895799e-05,-2.1491087534116485e-05,-0.008019276840333904,-0.0026995200155626882,1000,20260909
A02_daily_mean,wthr_gt0,True,-0.0009361546594460852,-0.000460888136846246,-0.019050420471379004,-0.011689908053873167,1000,20260909
A02_daily_mean,wthr_gt5,True,-0.0006905486618588014,-0.0003345098861727899,-0.018986193912764432,-0.011518958408488796,1000,20260909
A02_daily_mean,wthr_gt100,True,-0.0004484183654843364,-0.0002138648086174265,-0.021906894905756084,-0.01270534658237941,1000,20260909
A02_daily_mean,wthr_gt1000,True,-6.335390797306462e-05,-2.475671460409035e-05,-0.024270678475439258,-0.010747354947717511,1000,20260909
A03_daily_q90,any_gt0,True,-0.0002880819943546943,-0.00015427055143376188,-0.0012913389794340347,-0.0006809320955584972,1000,20260909
A03_daily_q90,any_gt5,True,-0.00019976357867323066,-8.120450412288309e-05,-0.001469428129411894,-0.0005983079279674869,1000,20260909
A03_daily_q90,any_gt100,True,-0.00014650004328273561,-4.919646660975948e-05,-0.0025869739556834723,-0.0008839480592261227,1000,20260909
A03_daily_q90,any_gt1000,True,-1.3206507578182757e-05,1.0859545399594652e-05,-0.0015712812160016052,0.0013213696682206992,1000,20260909
A03_daily_q90,wthr_gt0,True,-0.00024399800158543793,-0.00010338153061993587,-0.005229905245750315,-0.002346579747093807,1000,20260909
A03_daily_q90,wthr_gt5,True,-0.00019566666599008827,-7.507193551192718e-05,-0.00573734860253696,-0.0023873446020448576,1000,20260909
A03_daily_q90,wthr_gt100,True,-0.00015738086820597712,-5.3632213354214135e-05,-0.007968624520582682,-0.0030194274780284244,1000,20260909
A03_daily_q90,wthr_gt1000,True,-2.206564419642082e-05,8.664449097318068e-07,-0.008673897217274712,0.00030538902905441527,1000,20260909
A04_top3_mean,any_gt0,True,-0.00011293814290513528,-5.107543372453984e-05,-0.000504992120630214,-0.0002244019156071679,1000,20260909
A04_top3_mean,any_gt5,True,-6.507810078720592e-05,-7.999825104998046e-06,-0.00047983764596522163,-5.849698676813084e-05,1000,20260909
A04_top3_mean,any_gt100,True,-4.797598038281161e-05,-2.712963962162731e-06,-0.0008744566331146614,-4.6722709711165715e-05,1000,20260909
A04_top3_mean,any_gt1000,True,-9.232536222572308e-07,1.1257184780923058e-05,-0.00011560463145517126,0.0013405342137235016,1000,20260909
A04_top3_mean,wthr_gt0,True,-6.054981638702681e-05,3.220752606221571e-06,-0.0013756424907232928,7.250675781408302e-05,1000,20260909
A04_top3_mean,wthr_gt5,True,-4.7734701718693854e-05,4.559686195238388e-06,-0.0014641002420209492,0.0001438480645550084,1000,20260909
A04_top3_mean,wthr_gt100,True,-5.161016911731805e-05,-6.078783783768256e-06,-0.0027381212210930905,-0.00036226570828639244,1000,20260909
A04_top3_mean,wthr_gt1000,True,-4.858699570740916e-06,6.031121298156232e-06,-0.001905971042819243,0.00248037706146213,1000,20260909
A05_max_rolling3h_mean,any_gt0,True,-0.00012963918831360565,-6.100128306536892e-05,-0.0005829931946517198,-0.0002712544120559565,1000,20260909
A05_max_rolling3h_mean,any_gt5,True,-7.4059150789715e-05,-1.4337052484886798e-05,-0.000540217562163338,-0.000103077485945454,1000,20260909
A05_max_rolling3h_mean,any_gt100,True,-4.820070850454604e-05,-1.350923284434202e-06,-0.000879798535490414,-2.476293865913184e-05,1000,20260909
A05_max_rolling3h_mean,any_gt1000,True,-1.8184833901167157e-07,1.15211701015684e-05,-2.2590663838709005e-05,0.0013524349170322423,1000,20260909
A05_max_rolling3h_mean,wthr_gt0,True,-7.442135636643281e-05,-6.551707033857804e-06,-0.001655427090766093,-0.00014848745659023563,1000,20260909
A05_max_rolling3h_mean,wthr_gt5,True,-5.964811778681224e-05,-1.520077264398227e-06,-0.0017540221631674943,-4.5300960613940935e-05,1000,20260909
A05_max_rolling3h_mean,wthr_gt100,True,-5.2870098207000936e-05,-3.8037190745207237e-06,-0.0027691221018193092,-0.00019753873431920847,1000,20260909
A05_max_rolling3h_mean,wthr_gt1000,True,-3.926854674268166e-06,6.667084611887987e-06,-0.0015384365743803079,0.0027042574732863024,1000,20260909
