candidate,all_8_cv_valid,mean_relative_gain,positive_bss_tasks,min_bss,max_bss,better_brier_tasks
A01_daily_max,True,0.0,8,0.00946750372671723,0.052276855957813284,0
A02_daily_mean,True,-0.010431218854469713,8,0.004549109987807776,0.03758204616602134,0
A03_daily_q90,True,-0.0026615097563129266,8,0.008504422456849237,0.048674191551926205,0
A04_top3_mean,True,-0.0003813956413719407,8,0.00911467227916729,0.05165638393787397,2
A05_max_rolling3h_mean,True,-0.0004020434994210405,8,0.009055323244316793,0.0514172481020172,2
