target,candidate,kind,aggregate,probability,n,events
any_gt0,A01_daily_max,fit,15.297500000000001,0.3609227771848701,0,0
any_gt0,A01_daily_max,fit,15.465000000000002,0.36315583225355197,0,0
any_gt0,A01_daily_max,fit,15.6325,0.3654549108726682,0,0
any_gt0,A01_daily_max,fit,15.8,0.3678196099719092,0,0
any_gt0,A01_daily_max,fit,15.967500000000001,0.3702494513150486,0,0
any_gt0,A01_daily_max,fit,16.135,0.37274388382677504,0,0
any_gt0,A01_daily_max,fit,16.302500000000002,0.37530228602782534,0,0
any_gt0,A01_daily_max,fit,16.47,0.3779239685646306,0,0
any_gt0,A01_daily_max,fit,16.6375,0.3806081768201826,0,0
any_gt0,A01_daily_max,fit,16.805,0.3833540935933497,0,0
any_gt0,A01_daily_max,fit,16.9725,0.3861608418344287,0,0
any_gt0,A01_daily_max,fit,17.14,0.3890274874252777,0,0
any_gt0,A01_daily_max,fit,17.3075,0.39195304199296144,0,0
any_gt0,A01_daily_max,fit,17.475,0.3949364657464297,0,0
any_gt0,A01_daily_max,fit,17.642500000000002,0.3979766703263428,0,0
any_gt0,A01_daily_max,fit,17.81,0.4010725216587522,0,0
any_gt0,A01_daily_max,fit,17.9775,0.4042228428039374,0,0
any_gt0,A01_daily_max,fit,18.145,0.40742641679228253,0,0
any_gt0,A01_daily_max,fit,18.3125,0.4106819894396563,0,0
any_gt0,A01_daily_max,fit,18.48,0.41398827213532147,0,0
any_gt0,A01_daily_max,fit,18.6475,0.4173439445959527,0,0
any_gt0,A01_daily_max,fit,18.815,0.4207476575798781,0,0
any_gt0,A01_daily_max,fit,18.982499999999998,0.4241980355561838,0,0
any_gt0,A01_daily_max,fit,19.15,0.42769367932381863,0,0
any_gt0,A01_daily_max,fit,19.3175,0.43123316857632404,0,0
any_gt0,A01_daily_max,fit,19.485,0.434815064408279,0,0
any_gt0,A01_daily_max,fit,19.6525,0.438437911759995,0,0
any_gt0,A01_daily_max,fit,19.82,0.4421002417974174,0,0
any_gt0,A01_daily_max,fit,19.9875,0.4458005742246015,0,0
any_gt0,A01_daily_max,fit,20.155,0.44953741952650506,0,0
any_gt0,A01_daily_max,fit,20.322499999999998,0.45330928114021185,0,0
any_gt0,A01_daily_max,fit,20.49,0.4571146575530368,0,0
any_gt0,A01_daily_max,fit,20.6575,0.46095204432628734,0,0
any_gt0,A01_daily_max,fit,20.825,0.46481993604375876,0,0
any_gt0,A01_daily_max,fit,20.9925,0.4687168281843245,0,0
any_gt0,A01_daily_max,fit,21.16,0.4726412189182424,0,0
any_gt0,A01_daily_max,fit,21.3275,0.47659161082705015,0,0
any_gt0,A01_daily_max,fit,21.495,0.4805665125471408,0,0
any_gt0,A01_daily_max,fit,21.6625,0.48456444033732937,0,0
any_gt0,A01_daily_max,fit,21.83,0.4885839195709058,0,0
any_gt0,A01_daily_max,fit,21.9975,0.49262348615285534,0,0
