Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-389203-Z,2023-08-03T00:45:00+01:00,2023-08-03T00:45:00+01:00,2023-08-02 23:45:00+00:00,2023-08-02 23:45:00+00:00,2023-08-03 00:45:00+01:00,2023-08-02,2023-08-03,development,development,development,True,True,2023-08-03 03:43:00+00:00,False
FREP-389368-Z,2023-04-24T00:31:00+01:00,2023-04-24T00:31:00+01:00,2023-04-23 23:31:00+00:00,2023-04-23 23:31:00+00:00,2023-04-24 00:31:00+01:00,2023-04-23,2023-04-24,development,development,development,True,True,2023-04-24 10:01:00+00:00,False
FREP-389514-Z,2023-08-04T00:00:00+01:00,2023-08-04T00:00:00+01:00,2023-08-03 23:00:00+00:00,2023-08-03 23:00:00+00:00,2023-08-04 00:00:00+01:00,2023-08-03,2023-08-04,development,development,development,True,True,2023-08-12 10:24:00+00:00,False
FREP-389515-Z,2023-08-04T00:13:00+01:00,2023-08-04T00:13:00+01:00,2023-08-03 23:13:00+00:00,2023-08-03 23:13:00+00:00,2023-08-04 00:13:00+01:00,2023-08-03,2023-08-04,development,development,development,True,True,2023-08-04 10:25:00+00:00,False
FREP-389742-Z,2023-08-05T00:47:00+01:00,2023-08-05T00:47:00+01:00,2023-08-04 23:47:00+00:00,2023-08-04 23:47:00+00:00,2023-08-05 00:47:00+01:00,2023-08-04,2023-08-05,development,development,development,True,True,2023-08-05 00:20:00+00:00,False
FREP-389915-Z,2023-08-06T00:08:00+01:00,2023-08-06T00:08:00+01:00,2023-08-05 23:08:00+00:00,2023-08-05 23:08:00+00:00,2023-08-06 00:08:00+01:00,2023-08-05,2023-08-06,development,development,development,True,True,2023-08-06 02:35:00+00:00,False
FREP-389916-Z,2023-08-06T00:00:00+01:00,2023-08-06T00:00:00+01:00,2023-08-05 23:00:00+00:00,2023-08-05 23:00:00+00:00,2023-08-06 00:00:00+01:00,2023-08-05,2023-08-06,development,development,development,True,True,2023-08-06 04:45:00+00:00,False
FREP-389917-Z,2023-08-06T00:52:00+01:00,2023-08-06T00:52:00+01:00,2023-08-05 23:52:00+00:00,2023-08-05 23:52:00+00:00,2023-08-06 00:52:00+01:00,2023-08-05,2023-08-06,development,development,development,True,True,2023-08-06 05:16:00+00:00,False
FREP-390343-Z,2023-08-08T00:03:00+01:00,2023-08-08T00:03:00+01:00,2023-08-07 23:03:00+00:00,2023-08-07 23:03:00+00:00,2023-08-08 00:03:00+01:00,2023-08-07,2023-08-08,development,development,development,True,True,2023-08-08 00:31:00+00:00,False
FREP-390345-Z,2023-08-08T00:23:00+01:00,2023-08-08T00:23:00+01:00,2023-08-07 23:23:00+00:00,2023-08-07 23:23:00+00:00,2023-08-08 00:23:00+01:00,2023-08-07,2023-08-08,development,development,development,True,True,2023-08-08 00:25:00+00:00,False
FREP-390836-Z,2023-08-10T00:30:00+01:00,2023-08-10T00:30:00+01:00,2023-08-09 23:30:00+00:00,2023-08-09 23:30:00+00:00,2023-08-10 00:30:00+01:00,2023-08-09,2023-08-10,development,development,development,True,True,2023-08-10 01:53:00+00:00,False
FREP-390853-Z,2023-08-10T00:03:00+01:00,2023-08-10T00:03:00+01:00,2023-08-09 23:03:00+00:00,2023-08-09 23:03:00+00:00,2023-08-10 00:03:00+01:00,2023-08-09,2023-08-10,development,development,development,True,True,2023-08-09 23:06:00+00:00,False
FREP-391090-Z,2023-08-11T00:41:00+01:00,2023-08-11T00:41:00+01:00,2023-08-10 23:41:00+00:00,2023-08-10 23:41:00+00:00,2023-08-11 00:41:00+01:00,2023-08-10,2023-08-11,development,development,development,True,True,2023-08-14 14:41:00+00:00,False
FREP-391399-Z,2023-08-13T00:19:00+01:00,2023-08-13T00:19:00+01:00,2023-08-12 23:19:00+00:00,2023-08-12 23:19:00+00:00,2023-08-13 00:19:00+01:00,2023-08-12,2023-08-13,development,development,development,True,True,2023-08-13 04:36:00+00:00,False
FREP-391757-Z,2023-08-15T00:47:00+01:00,2023-08-15T00:47:00+01:00,2023-08-14 23:47:00+00:00,2023-08-14 23:47:00+00:00,2023-08-15 00:47:00+01:00,2023-08-14,2023-08-15,development,development,development,True,True,2023-08-15 12:30:00+00:00,False
FREP-391959-Z,2023-08-16T00:12:00+01:00,2023-08-16T00:12:00+01:00,2023-08-15 23:12:00+00:00,2023-08-15 23:12:00+00:00,2023-08-16 00:12:00+01:00,2023-08-15,2023-08-16,development,development,development,True,True,2023-08-16 00:35:00+00:00,False
FREP-391962-Z,2023-08-16T00:19:00+01:00,2023-08-16T00:19:00+01:00,2023-08-15 23:19:00+00:00,2023-08-15 23:19:00+00:00,2023-08-16 00:19:00+01:00,2023-08-15,2023-08-16,development,development,development,True,True,2023-08-16 19:13:00+00:00,False
FREP-391963-Z,2023-08-16T00:28:00+01:00,2023-08-16T00:28:00+01:00,2023-08-15 23:28:00+00:00,2023-08-15 23:28:00+00:00,2023-08-16 00:28:00+01:00,2023-08-15,2023-08-16,development,development,development,True,True,2023-08-16 01:01:00+00:00,False
FREP-392385-Z,2023-08-18T00:00:00+01:00,2023-08-18T00:00:00+01:00,2023-08-17 23:00:00+00:00,2023-08-17 23:00:00+00:00,2023-08-18 00:00:00+01:00,2023-08-17,2023-08-18,development,development,development,True,True,2023-08-18 02:40:00+00:00,False
FREP-392386-Z,2023-08-18T00:00:00+01:00,2023-08-18T00:00:00+01:00,2023-08-17 23:00:00+00:00,2023-08-17 23:00:00+00:00,2023-08-18 00:00:00+01:00,2023-08-17,2023-08-18,development,development,development,True,True,2023-08-18 04:28:00+00:00,False
FREP-392387-Z,2023-08-18T00:14:00+01:00,2023-08-18T00:14:00+01:00,2023-08-17 23:14:00+00:00,2023-08-17 23:14:00+00:00,2023-08-18 00:14:00+01:00,2023-08-17,2023-08-18,development,development,development,True,True,2023-08-18 08:05:00+00:00,False
FREP-392620-Z,2023-08-19T00:48:00+01:00,2023-08-19T00:48:00+01:00,2023-08-18 23:48:00+00:00,2023-08-18 23:48:00+00:00,2023-08-19 00:48:00+01:00,2023-08-18,2023-08-19,development,development,development,True,True,2023-08-19 04:24:00+00:00,False
FREP-392621-Z,2023-08-19T00:51:00+01:00,2023-08-19T00:51:00+01:00,2023-08-18 23:51:00+00:00,2023-08-18 23:51:00+00:00,2023-08-19 00:51:00+01:00,2023-08-18,2023-08-19,development,development,development,True,True,2023-08-19 01:47:00+00:00,False
FREP-392726-Z,2023-08-20T00:29:00+01:00,2023-08-20T00:29:00+01:00,2023-08-19 23:29:00+00:00,2023-08-19 23:29:00+00:00,2023-08-20 00:29:00+01:00,2023-08-19,2023-08-20,development,development,development,True,True,2023-08-20 17:33:00+00:00,False
FREP-392802-Z,2023-08-21T00:22:00+01:00,2023-08-21T00:22:00+01:00,2023-08-20 23:22:00+00:00,2023-08-20 23:22:00+00:00,2023-08-21 00:22:00+01:00,2023-08-20,2023-08-21,development,development,development,True,True,2023-08-21 12:45:00+00:00,False
FREP-392803-Z,2023-08-21T00:22:00+01:00,2023-08-21T00:22:00+01:00,2023-08-20 23:22:00+00:00,2023-08-20 23:22:00+00:00,2023-08-21 00:22:00+01:00,2023-08-20,2023-08-21,development,development,development,True,True,2023-08-21 01:14:00+00:00,False
FREP-393538-Z,2023-08-24T01:40:00+01:00,2023-08-24T00:27:00+01:00,2023-08-24 00:40:00+00:00,2023-08-23 23:27:00+00:00,2023-08-24 00:27:00+01:00,2023-08-23,2023-08-24,development,development,development,True,True,2023-08-24 01:20:00+00:00,False
FREP-393539-Z,2023-08-24T00:29:00+01:00,2023-08-24T00:29:00+01:00,2023-08-23 23:29:00+00:00,2023-08-23 23:29:00+00:00,2023-08-24 00:29:00+01:00,2023-08-23,2023-08-24,development,development,development,True,True,2023-08-24 01:00:00+00:00,False
FREP-393783-Z,2023-08-25T00:56:00+01:00,2023-08-25T00:56:00+01:00,2023-08-24 23:56:00+00:00,2023-08-24 23:56:00+00:00,2023-08-25 00:56:00+01:00,2023-08-24,2023-08-25,development,development,development,True,True,2023-08-25 00:54:00+00:00,False
