Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-10011-I,2024-03-30T17:17:00+00:00,2024-03-30T17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30 17:17:00+00:00,2024-03-30,2024-03-30,later,later,later,True,True,2024-04-04 15:49:00+00:00,True
FREP-10032-I,2024-03-31T14:45:00+01:00,2024-03-30T23:58:00+00:00,2024-03-31 13:45:00+00:00,2024-03-30 23:58:00+00:00,2024-03-30 23:58:00+00:00,2024-03-30,2024-03-30,later,later,later,True,True,2024-04-03 17:32:00+00:00,True
FREP-10044-I,2024-03-31T08:42:00+01:00,2024-03-31T08:42:00+01:00,2024-03-31 07:42:00+00:00,2024-03-31 07:42:00+00:00,2024-03-31 08:42:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 08:34:00+00:00,True
FREP-10063-I,2024-03-31T12:34:00+01:00,2024-03-31T12:04:00+01:00,2024-03-31 11:34:00+00:00,2024-03-31 11:04:00+00:00,2024-03-31 12:04:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 03:15:00+00:00,True
FREP-10085-I,2024-03-31T15:17:00+01:00,2024-03-31T15:17:00+01:00,2024-03-31 14:17:00+00:00,2024-03-31 14:17:00+00:00,2024-03-31 15:17:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-02 18:15:00+00:00,True
FREP-10087-I,2024-03-31T19:40:00+01:00,2024-03-31T16:11:00+01:00,2024-03-31 18:40:00+00:00,2024-03-31 15:11:00+00:00,2024-03-31 16:11:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 13:40:00+00:00,True
FREP-10104-I,2024-03-31T19:14:00+01:00,2024-03-31T19:14:00+01:00,2024-03-31 18:14:00+00:00,2024-03-31 18:14:00+00:00,2024-03-31 19:14:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 14:35:00+00:00,True
FREP-10114-I,2024-03-31T22:59:00+01:00,2024-03-31T22:59:00+01:00,2024-03-31 21:59:00+00:00,2024-03-31 21:59:00+00:00,2024-03-31 22:59:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 10:35:00+00:00,True
FREP-10119-I,2024-04-01T00:10:00+01:00,2024-04-01T00:10:00+01:00,2024-03-31 23:10:00+00:00,2024-03-31 23:10:00+00:00,2024-04-01 00:10:00+01:00,2024-03-31,2024-04-01,later,later,outside_study,True,False,2024-04-01 01:00:00+00:00,True
FREP-10160-L,2022-04-25T00:30:00+01:00,2022-04-25T00:30:00+01:00,2022-04-24 23:30:00+00:00,2022-04-24 23:30:00+00:00,2022-04-25 00:30:00+01:00,2022-04-24,2022-04-25,development,development,development,True,True,2022-04-25 00:30:00+00:00,False
FREP-10196-L,2022-04-04T00:58:00+01:00,2022-04-04T00:58:00+01:00,2022-04-03 23:58:00+00:00,2022-04-03 23:58:00+00:00,2022-04-04 00:58:00+01:00,2022-04-03,2022-04-04,development,development,development,True,True,2022-04-04 01:40:00+00:00,False
FREP-10232-L,2022-04-21T00:08:00+01:00,2022-04-21T00:08:00+01:00,2022-04-20 23:08:00+00:00,2022-04-20 23:08:00+00:00,2022-04-21 00:08:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 11:08:00+00:00,False
FREP-10233-L,2022-04-21T00:37:00+01:00,2022-04-21T00:37:00+01:00,2022-04-20 23:37:00+00:00,2022-04-20 23:37:00+00:00,2022-04-21 00:37:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 08:55:00+00:00,False
FREP-10234-L,2022-04-21T00:54:00+01:00,2022-04-21T00:54:00+01:00,2022-04-20 23:54:00+00:00,2022-04-20 23:54:00+00:00,2022-04-21 00:54:00+01:00,2022-04-20,2022-04-21,development,development,development,True,True,2022-04-21 03:00:00+00:00,False
FREP-10484-O,2022-05-29T17:18:00+01:00,2022-05-29T00:11:00+01:00,2022-05-29 16:18:00+00:00,2022-05-28 23:11:00+00:00,2022-05-29 00:11:00+01:00,2022-05-28,2022-05-29,development,development,development,True,True,2022-05-29 20:00:00+00:00,False
FREP-10610-L,2022-10-15T10:31:00+01:00,2022-10-15T00:12:00+01:00,2022-10-15 09:31:00+00:00,2022-10-14 23:12:00+00:00,2022-10-15 00:12:00+01:00,2022-10-14,2022-10-15,development,development,development,True,True,2022-10-15 11:05:00+00:00,False
FREP-11112-L,2023-06-26T00:17:00+01:00,2023-06-26T00:17:00+01:00,2023-06-25 23:17:00+00:00,2023-06-25 23:17:00+00:00,2023-06-26 00:17:00+01:00,2023-06-25,2023-06-26,development,development,development,True,True,2023-06-26 06:05:00+00:00,False
FREP-11130-L,2023-08-04T00:18:00+01:00,2023-08-04T00:18:00+01:00,2023-08-03 23:18:00+00:00,2023-08-03 23:18:00+00:00,2023-08-04 00:18:00+01:00,2023-08-03,2023-08-04,development,development,development,True,True,2023-08-04 00:10:00+00:00,False
FREP-13023-W,2021-04-12T00:25:00+01:00,2021-04-12T00:25:00+01:00,2021-04-11 23:25:00+00:00,2021-04-11 23:25:00+00:00,2021-04-12 00:25:00+01:00,2021-04-11,2021-04-12,development,development,development,True,True,2021-04-12 01:00:00+00:00,False
FREP-13172-W,2021-05-22T00:41:00+01:00,2021-05-22T00:41:00+01:00,2021-05-21 23:41:00+00:00,2021-05-21 23:41:00+00:00,2021-05-22 00:41:00+01:00,2021-05-21,2021-05-22,development,development,development,True,True,2021-05-22 00:13:00+00:00,False
FREP-13196-W,2021-06-03T00:51:00+01:00,2021-06-03T00:51:00+01:00,2021-06-02 23:51:00+00:00,2021-06-02 23:51:00+00:00,2021-06-03 00:51:00+01:00,2021-06-02,2021-06-03,development,development,development,True,True,2021-06-03 01:06:00+00:00,False
FREP-13377-W,2021-07-12T00:04:00+01:00,2021-07-12T00:04:00+01:00,2021-07-11 23:04:00+00:00,2021-07-11 23:04:00+00:00,2021-07-12 00:04:00+01:00,2021-07-11,2021-07-12,development,development,development,True,True,2021-07-12 10:50:00+00:00,False
FREP-13466-W,2021-08-11T00:24:00+01:00,2021-08-11T00:24:00+01:00,2021-08-10 23:24:00+00:00,2021-08-10 23:24:00+00:00,2021-08-11 00:24:00+01:00,2021-08-10,2021-08-11,development,development,development,True,True,2021-08-11 02:07:00+00:00,False
FREP-13555-W,2021-08-27T00:41:00+01:00,2021-08-27T00:41:00+01:00,2021-08-26 23:41:00+00:00,2021-08-26 23:41:00+00:00,2021-08-27 00:41:00+01:00,2021-08-26,2021-08-27,development,development,development,True,True,2021-08-27 00:45:00+00:00,False
FREP-13741-O,2023-04-06T00:03:00+01:00,2023-04-06T00:03:00+01:00,2023-04-05 23:03:00+00:00,2023-04-05 23:03:00+00:00,2023-04-06 00:03:00+01:00,2023-04-05,2023-04-06,development,development,development,True,True,2023-04-06 00:05:00+00:00,False
FREP-13742-O,2023-04-06T00:45:00+01:00,2023-04-06T00:45:00+01:00,2023-04-05 23:45:00+00:00,2023-04-05 23:45:00+00:00,2023-04-06 00:45:00+01:00,2023-04-05,2023-04-06,development,development,development,True,True,2023-04-06 01:55:00+00:00,False
FREP-13743-O,2023-04-06T00:47:00+01:00,2023-04-06T00:47:00+01:00,2023-04-05 23:47:00+00:00,2023-04-05 23:47:00+00:00,2023-04-06 00:47:00+01:00,2023-04-05,2023-04-06,development,development,development,True,True,2023-04-11 23:15:00+00:00,False
FREP-13842-O,2023-04-16T00:10:00+01:00,2023-04-16T00:10:00+01:00,2023-04-15 23:10:00+00:00,2023-04-15 23:10:00+00:00,2023-04-16 00:10:00+01:00,2023-04-15,2023-04-16,development,development,development,True,True,2023-04-16 00:10:00+00:00,False
FREP-13843-O,2023-04-16T00:14:00+01:00,2023-04-16T00:14:00+01:00,2023-04-15 23:14:00+00:00,2023-04-15 23:14:00+00:00,2023-04-16 00:14:00+01:00,2023-04-15,2023-04-16,development,development,development,True,True,2023-04-16 01:56:00+00:00,False
FREP-13873-O,2023-04-18T00:10:00+01:00,2023-04-18T00:10:00+01:00,2023-04-17 23:10:00+00:00,2023-04-17 23:10:00+00:00,2023-04-18 00:10:00+01:00,2023-04-17,2023-04-18,development,development,development,True,True,2023-04-18 01:45:00+00:00,False
FREP-13889-O,2023-04-19T17:20:00+01:00,2023-04-19T00:33:00+01:00,2023-04-19 16:20:00+00:00,2023-04-18 23:33:00+00:00,2023-04-19 00:33:00+01:00,2023-04-18,2023-04-19,development,development,development,True,True,2023-04-19 16:23:00+00:00,False
FREP-13891-O,2023-04-19T00:51:00+01:00,2023-04-19T00:51:00+01:00,2023-04-18 23:51:00+00:00,2023-04-18 23:51:00+00:00,2023-04-19 00:51:00+01:00,2023-04-18,2023-04-19,development,development,development,True,True,2023-04-19 00:40:00+00:00,False
FREP-13927-O,2023-04-20T00:38:00+01:00,2023-04-20T00:38:00+01:00,2023-04-19 23:38:00+00:00,2023-04-19 23:38:00+00:00,2023-04-20 00:38:00+01:00,2023-04-19,2023-04-20,development,development,development,True,True,2023-04-20 03:16:00+00:00,False
FREP-14192-O,2023-05-08T00:35:00+01:00,2023-05-08T00:35:00+01:00,2023-05-07 23:35:00+00:00,2023-05-07 23:35:00+00:00,2023-05-08 00:35:00+01:00,2023-05-07,2023-05-08,development,development,development,True,True,2023-05-08 00:25:00+00:00,False
FREP-14468-W,2022-07-19T00:35:00+01:00,2022-07-19T00:35:00+01:00,2022-07-18 23:35:00+00:00,2022-07-18 23:35:00+00:00,2022-07-19 00:35:00+01:00,2022-07-18,2022-07-19,development,development,development,True,True,2022-07-19 02:25:00+00:00,False
FREP-15445-W,2023-03-29T00:04:00+01:00,2023-03-29T00:04:00+01:00,2023-03-28 23:04:00+00:00,2023-03-28 23:04:00+00:00,2023-03-29 00:04:00+01:00,2023-03-28,2023-03-29,development,development,development,True,True,2023-03-29 13:30:00+00:00,False
FREP-15446-W,2023-03-29T00:42:00+01:00,2023-03-29T00:42:00+01:00,2023-03-28 23:42:00+00:00,2023-03-28 23:42:00+00:00,2023-03-29 00:42:00+01:00,2023-03-28,2023-03-29,development,development,development,True,True,2023-03-29 11:40:00+00:00,False
FREP-15496-W,2023-04-13T02:22:00+01:00,2023-04-13T00:38:00+01:00,2023-04-13 01:22:00+00:00,2023-04-12 23:38:00+00:00,2023-04-13 00:38:00+01:00,2023-04-12,2023-04-13,development,development,development,True,True,2023-04-13 02:45:00+00:00,False
FREP-15536-W,2023-04-28T00:30:00+01:00,2023-04-28T00:30:00+01:00,2023-04-27 23:30:00+00:00,2023-04-27 23:30:00+00:00,2023-04-28 00:30:00+01:00,2023-04-27,2023-04-28,development,development,development,True,True,2023-04-28 18:20:00+00:00,False
FREP-17592-U,2021-05-12T00:54:00+01:00,2021-05-12T00:54:00+01:00,2021-05-11 23:54:00+00:00,2021-05-11 23:54:00+00:00,2021-05-12 00:54:00+01:00,2021-05-11,2021-05-12,development,development,development,True,True,2021-05-12 00:40:00+00:00,False
FREP-17809-U,2021-06-24T00:38:00+01:00,2021-06-24T00:38:00+01:00,2021-06-23 23:38:00+00:00,2021-06-23 23:38:00+00:00,2021-06-24 00:38:00+01:00,2021-06-23,2021-06-24,development,development,development,True,True,2021-06-24 00:35:00+00:00,False
FREP-17834-U,2021-06-28T00:41:00+01:00,2021-06-28T00:41:00+01:00,2021-06-27 23:41:00+00:00,2021-06-27 23:41:00+00:00,2021-06-28 00:41:00+01:00,2021-06-27,2021-06-28,development,development,development,True,True,2021-06-29 14:20:00+00:00,False
FREP-17836-U,2021-06-28T00:54:00+01:00,2021-06-28T00:54:00+01:00,2021-06-27 23:54:00+00:00,2021-06-27 23:54:00+00:00,2021-06-28 00:54:00+01:00,2021-06-27,2021-06-28,development,development,development,True,True,2021-06-28 01:45:00+00:00,False
FREP-17907-U,2021-07-02T00:35:00+01:00,2021-07-02T00:35:00+01:00,2021-07-01 23:35:00+00:00,2021-07-01 23:35:00+00:00,2021-07-02 00:35:00+01:00,2021-07-01,2021-07-02,development,development,development,True,True,2021-07-02 02:15:00+00:00,False
FREP-17922-U,2021-07-04T00:34:00+01:00,2021-07-04T00:34:00+01:00,2021-07-03 23:34:00+00:00,2021-07-03 23:34:00+00:00,2021-07-04 00:34:00+01:00,2021-07-03,2021-07-04,development,development,development,True,True,2021-07-04 10:33:00+00:00,False
FREP-17924-U,2021-07-04T00:38:00+01:00,2021-07-04T00:38:00+01:00,2021-07-03 23:38:00+00:00,2021-07-03 23:38:00+00:00,2021-07-04 00:38:00+01:00,2021-07-03,2021-07-04,development,development,development,True,True,2021-07-04 13:17:00+00:00,False
FREP-17990-U,2021-07-11T00:45:00+01:00,2021-07-11T00:00:00+01:00,2021-07-10 23:45:00+00:00,2021-07-10 23:00:00+00:00,2021-07-11 00:00:00+01:00,2021-07-10,2021-07-11,development,development,development,True,True,2021-07-11 10:45:00+00:00,False
FREP-17992-U,2021-07-11T00:27:00+01:00,2021-07-11T00:27:00+01:00,2021-07-10 23:27:00+00:00,2021-07-10 23:27:00+00:00,2021-07-11 00:27:00+01:00,2021-07-10,2021-07-11,development,development,development,True,True,2021-07-11 02:20:00+00:00,False
FREP-18117-U,2021-07-20T00:00:00+01:00,2021-07-20T00:00:00+01:00,2021-07-19 23:00:00+00:00,2021-07-19 23:00:00+00:00,2021-07-20 00:00:00+01:00,2021-07-19,2021-07-20,development,development,development,True,True,2021-07-20 09:30:00+00:00,False
FREP-18240-U,2021-07-28T04:05:00+01:00,2021-07-28T00:05:00+01:00,2021-07-28 03:05:00+00:00,2021-07-27 23:05:00+00:00,2021-07-28 00:05:00+01:00,2021-07-27,2021-07-28,development,development,development,True,True,2021-07-28 03:30:00+00:00,False
FREP-18275-U,2021-07-30T00:47:00+01:00,2021-07-30T00:47:00+01:00,2021-07-29 23:47:00+00:00,2021-07-29 23:47:00+00:00,2021-07-30 00:47:00+01:00,2021-07-29,2021-07-30,development,development,development,True,True,2021-07-30 01:40:00+00:00,False
FREP-18276-U,2021-07-30T00:59:00+01:00,2021-07-30T00:59:00+01:00,2021-07-29 23:59:00+00:00,2021-07-29 23:59:00+00:00,2021-07-30 00:59:00+01:00,2021-07-29,2021-07-30,development,development,development,True,True,2021-07-30 00:40:00+00:00,False
FREP-18312-U,2021-08-06T00:35:00+01:00,2021-08-06T00:35:00+01:00,2021-08-05 23:35:00+00:00,2021-08-05 23:35:00+00:00,2021-08-06 00:35:00+01:00,2021-08-05,2021-08-06,development,development,development,True,True,2021-08-06 00:50:00+00:00,False
FREP-18353-U,2021-08-08T00:14:00+01:00,2021-08-08T00:14:00+01:00,2021-08-07 23:14:00+00:00,2021-08-07 23:14:00+00:00,2021-08-08 00:14:00+01:00,2021-08-07,2021-08-08,development,development,development,True,True,2021-08-08 15:15:00+00:00,False
FREP-18354-U,2021-08-08T00:31:00+01:00,2021-08-08T00:31:00+01:00,2021-08-07 23:31:00+00:00,2021-08-07 23:31:00+00:00,2021-08-08 00:31:00+01:00,2021-08-07,2021-08-08,development,development,development,True,True,2021-08-07 23:57:00+00:00,False
FREP-18384-U,2021-08-13T00:48:00+01:00,2021-08-13T00:48:00+01:00,2021-08-12 23:48:00+00:00,2021-08-12 23:48:00+00:00,2021-08-13 00:48:00+01:00,2021-08-12,2021-08-13,development,development,development,True,True,2021-08-13 02:00:00+00:00,False
FREP-18417-U,2021-08-16T00:02:00+01:00,2021-08-16T00:02:00+01:00,2021-08-15 23:02:00+00:00,2021-08-15 23:02:00+00:00,2021-08-16 00:02:00+01:00,2021-08-15,2021-08-16,development,development,development,True,True,2021-08-16 01:00:00+00:00,False
FREP-18424-U,2021-08-18T00:26:00+01:00,2021-08-18T00:26:00+01:00,2021-08-17 23:26:00+00:00,2021-08-17 23:26:00+00:00,2021-08-18 00:26:00+01:00,2021-08-17,2021-08-18,development,development,development,True,True,2021-08-18 05:48:00+00:00,False
FREP-18459-U,2021-08-22T00:54:00+01:00,2021-08-22T00:54:00+01:00,2021-08-21 23:54:00+00:00,2021-08-21 23:54:00+00:00,2021-08-22 00:54:00+01:00,2021-08-21,2021-08-22,development,development,development,True,True,2021-08-22 00:25:00+00:00,False
FREP-18550-U,2021-08-28T00:54:00+01:00,2021-08-28T00:54:00+01:00,2021-08-27 23:54:00+00:00,2021-08-27 23:54:00+00:00,2021-08-28 00:54:00+01:00,2021-08-27,2021-08-28,development,development,development,True,True,2021-08-28 00:55:00+00:00,False
FREP-18889-U,2021-09-25T00:30:00+01:00,2021-09-25T00:30:00+01:00,2021-09-24 23:30:00+00:00,2021-09-24 23:30:00+00:00,2021-09-25 00:30:00+01:00,2021-09-24,2021-09-25,development,development,development,True,True,2021-09-25 03:58:00+00:00,False
FREP-18934-U,2021-09-29T02:32:00+01:00,2021-09-29T00:30:00+01:00,2021-09-29 01:32:00+00:00,2021-09-28 23:30:00+00:00,2021-09-29 00:30:00+01:00,2021-09-28,2021-09-29,development,development,development,True,True,2021-09-29 02:12:00+00:00,False
FREP-19028-U,2021-10-07T00:07:00+01:00,2021-10-07T00:07:00+01:00,2021-10-06 23:07:00+00:00,2021-10-06 23:07:00+00:00,2021-10-07 00:07:00+01:00,2021-10-06,2021-10-07,development,development,development,True,True,2021-10-07 14:46:00+00:00,False
FREP-19039-U,2021-10-08T00:07:00+01:00,2021-10-08T00:07:00+01:00,2021-10-07 23:07:00+00:00,2021-10-07 23:07:00+00:00,2021-10-08 00:07:00+01:00,2021-10-07,2021-10-08,development,development,development,True,True,2021-10-08 00:15:00+00:00,False
FREP-19095-U,2021-10-21T00:45:00+01:00,2021-10-21T00:45:00+01:00,2021-10-20 23:45:00+00:00,2021-10-20 23:45:00+00:00,2021-10-21 00:45:00+01:00,2021-10-20,2021-10-21,development,development,development,True,True,2021-10-21 00:50:00+00:00,False
FREP-19154-U,2021-10-19T00:25:00+01:00,2021-10-19T00:25:00+01:00,2021-10-18 23:25:00+00:00,2021-10-18 23:25:00+00:00,2021-10-19 00:25:00+01:00,2021-10-18,2021-10-19,development,development,development,True,True,2021-10-18 23:54:00+00:00,False
FREP-19155-U,2021-10-19T00:15:00+01:00,2021-10-19T00:15:00+01:00,2021-10-18 23:15:00+00:00,2021-10-18 23:15:00+00:00,2021-10-19 00:15:00+01:00,2021-10-18,2021-10-19,development,development,development,True,True,2021-10-19 01:30:00+00:00,False
FREP-19187-U,2021-10-22T00:00:00+01:00,2021-10-22T00:00:00+01:00,2021-10-21 23:00:00+00:00,2021-10-21 23:00:00+00:00,2021-10-22 00:00:00+01:00,2021-10-21,2021-10-22,development,development,development,True,True,2021-10-22 02:53:00+00:00,False
FREP-19194-U,2021-10-23T00:09:00+01:00,2021-10-23T00:09:00+01:00,2021-10-22 23:09:00+00:00,2021-10-22 23:09:00+00:00,2021-10-23 00:09:00+01:00,2021-10-22,2021-10-23,development,development,development,True,True,2021-10-23 11:45:00+00:00,False
FREP-19197-U,2021-10-23T12:51:00+01:00,2021-10-23T00:37:00+01:00,2021-10-23 11:51:00+00:00,2021-10-22 23:37:00+00:00,2021-10-23 00:37:00+01:00,2021-10-22,2021-10-23,development,development,development,True,True,2021-10-24 01:30:00+00:00,False
FREP-19204-U,2021-10-24T00:42:00+01:00,2021-10-24T00:42:00+01:00,2021-10-23 23:42:00+00:00,2021-10-23 23:42:00+00:00,2021-10-24 00:42:00+01:00,2021-10-23,2021-10-24,development,development,development,True,True,2021-10-24 02:30:00+00:00,False
FREP-20039-U,2022-04-05T00:15:00+01:00,2022-04-05T00:15:00+01:00,2022-04-04 23:15:00+00:00,2022-04-04 23:15:00+00:00,2022-04-05 00:15:00+01:00,2022-04-04,2022-04-05,development,development,development,True,True,2022-04-05 01:00:00+00:00,False
FREP-20051-U,2022-04-06T00:34:00+01:00,2022-04-06T00:34:00+01:00,2022-04-05 23:34:00+00:00,2022-04-05 23:34:00+00:00,2022-04-06 00:34:00+01:00,2022-04-05,2022-04-06,development,development,development,True,True,2022-04-06 02:00:00+00:00,False
FREP-20128-U,2022-05-13T00:55:00+01:00,2022-05-13T00:55:00+01:00,2022-05-12 23:55:00+00:00,2022-05-12 23:55:00+00:00,2022-05-13 00:55:00+01:00,2022-05-12,2022-05-13,development,development,development,True,True,2022-05-13 10:00:00+00:00,False
FREP-20246-U,2022-06-19T00:37:00+01:00,2022-06-19T00:37:00+01:00,2022-06-18 23:37:00+00:00,2022-06-18 23:37:00+00:00,2022-06-19 00:37:00+01:00,2022-06-18,2022-06-19,development,development,development,True,True,2022-06-19 03:55:00+00:00,False
FREP-204615-G,2022-04-06T00:30:00+01:00,2022-04-06T00:30:00+01:00,2022-04-05 23:30:00+00:00,2022-04-05 23:30:00+00:00,2022-04-06 00:30:00+01:00,2022-04-05,2022-04-06,development,development,development,True,True,2022-04-05 23:50:00+00:00,False
FREP-20751-U,2022-10-20T00:15:00+01:00,2022-10-20T00:15:00+01:00,2022-10-19 23:15:00+00:00,2022-10-19 23:15:00+00:00,2022-10-20 00:15:00+01:00,2022-10-19,2022-10-20,development,development,development,True,True,2022-10-19 23:59:00+00:00,False
FREP-21494-U,2023-04-10T00:48:00+01:00,2023-04-10T00:48:00+01:00,2023-04-09 23:48:00+00:00,2023-04-09 23:48:00+00:00,2023-04-10 00:48:00+01:00,2023-04-09,2023-04-10,development,development,development,True,True,2023-04-10 01:03:00+00:00,False
FREP-21822-U,2023-07-14T00:45:00+01:00,2023-07-14T00:45:00+01:00,2023-07-13 23:45:00+00:00,2023-07-13 23:45:00+00:00,2023-07-14 00:45:00+01:00,2023-07-13,2023-07-14,development,development,development,True,True,2023-07-14 00:56:00+00:00,False
FREP-218437-Z,2021-08-28T00:44:00+01:00,2021-08-28T00:44:00+01:00,2021-08-27 23:44:00+00:00,2021-08-27 23:44:00+00:00,2021-08-28 00:44:00+01:00,2021-08-27,2021-08-28,development,development,development,True,True,2021-08-28 00:44:00+00:00,False
FREP-21925-U,2023-07-16T00:33:00+01:00,2023-07-16T00:33:00+01:00,2023-07-15 23:33:00+00:00,2023-07-15 23:33:00+00:00,2023-07-16 00:33:00+01:00,2023-07-15,2023-07-16,development,development,development,True,True,2023-07-16 10:15:00+00:00,False
FREP-21961-U,2023-07-18T00:57:00+01:00,2023-07-18T00:57:00+01:00,2023-07-17 23:57:00+00:00,2023-07-17 23:57:00+00:00,2023-07-18 00:57:00+01:00,2023-07-17,2023-07-18,development,development,development,True,True,2023-07-18 13:22:00+00:00,False
FREP-22855-U,2024-03-29T00:53:00+00:00,2024-03-29T00:53:00+00:00,2024-03-29 00:53:00+00:00,2024-03-29 00:53:00+00:00,2024-03-29 00:53:00+00:00,2024-03-29,2024-03-29,later,later,later,True,True,2024-04-02 12:34:00+00:00,True
FREP-228839-Z,2021-04-02T03:05:00+01:00,2021-04-02T00:38:00+01:00,2021-04-02 02:05:00+00:00,2021-04-01 23:38:00+00:00,2021-04-02 00:38:00+01:00,2021-04-01,2021-04-02,development,development,development,True,True,2021-04-02 23:01:00+00:00,False
FREP-229069-Z,2021-04-04T00:17:00+01:00,2021-04-04T00:17:00+01:00,2021-04-03 23:17:00+00:00,2021-04-03 23:17:00+00:00,2021-04-04 00:17:00+01:00,2021-04-03,2021-04-04,development,development,development,True,True,2021-04-04 00:20:00+00:00,False
FREP-229511-Z,2021-04-07T00:12:00+01:00,2021-04-07T00:12:00+01:00,2021-04-06 23:12:00+00:00,2021-04-06 23:12:00+00:00,2021-04-07 00:12:00+01:00,2021-04-06,2021-04-07,development,development,development,True,True,2021-04-07 03:05:00+00:00,False
FREP-229512-Z,2021-04-07T00:17:00+01:00,2021-04-07T00:17:00+01:00,2021-04-06 23:17:00+00:00,2021-04-06 23:17:00+00:00,2021-04-07 00:17:00+01:00,2021-04-06,2021-04-07,development,development,development,True,True,2021-04-07 00:15:00+00:00,False
FREP-230174-Z,2021-04-10T00:57:00+01:00,2021-04-10T00:57:00+01:00,2021-04-09 23:57:00+00:00,2021-04-09 23:57:00+00:00,2021-04-10 00:57:00+01:00,2021-04-09,2021-04-10,development,development,development,True,True,2021-04-10 01:07:00+00:00,False
FREP-230371-Z,2021-04-12T00:59:00+01:00,2021-04-12T00:59:00+01:00,2021-04-11 23:59:00+00:00,2021-04-11 23:59:00+00:00,2021-04-12 00:59:00+01:00,2021-04-11,2021-04-12,development,development,development,True,True,2021-04-12 01:12:00+00:00,False
FREP-23052-U,2024-03-31T18:14:00+01:00,2024-03-31T18:14:00+01:00,2024-03-31 17:14:00+00:00,2024-03-31 17:14:00+00:00,2024-03-31 18:14:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 02:35:00+00:00,True
FREP-23054-U,2024-03-31T20:21:00+01:00,2024-03-31T19:09:00+01:00,2024-03-31 19:21:00+00:00,2024-03-31 18:09:00+00:00,2024-03-31 19:09:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 15:25:00+00:00,True
FREP-23058-U,2024-03-31T21:04:00+01:00,2024-03-31T21:04:00+01:00,2024-03-31 20:04:00+00:00,2024-03-31 20:04:00+00:00,2024-03-31 21:04:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 03:04:00+00:00,True
FREP-23061-U,2024-03-31T23:48:00+01:00,2024-03-31T23:48:00+01:00,2024-03-31 22:48:00+00:00,2024-03-31 22:48:00+00:00,2024-03-31 23:48:00+01:00,2024-03-31,2024-03-31,later,later,later,True,True,2024-04-01 00:45:00+00:00,True
FREP-230626-Z,2021-04-13T00:54:00+01:00,2021-04-13T00:54:00+01:00,2021-04-12 23:54:00+00:00,2021-04-12 23:54:00+00:00,2021-04-13 00:54:00+01:00,2021-04-12,2021-04-13,development,development,development,True,True,2021-04-13 13:19:00+00:00,False
FREP-23063-U,2024-04-01T00:54:00+01:00,2024-04-01T00:54:00+01:00,2024-03-31 23:54:00+00:00,2024-03-31 23:54:00+00:00,2024-04-01 00:54:00+01:00,2024-03-31,2024-04-01,later,later,outside_study,True,False,2024-04-01 13:26:00+00:00,True
FREP-230713-Z,2021-04-13T00:02:00+01:00,2021-04-13T00:02:00+01:00,2021-04-12 23:02:00+00:00,2021-04-12 23:02:00+00:00,2021-04-13 00:02:00+01:00,2021-04-12,2021-04-13,development,development,development,True,True,2021-04-12 23:47:00+00:00,False
FREP-231434-Z,2022-04-07T00:56:00+01:00,2022-04-07T00:56:00+01:00,2022-04-06 23:56:00+00:00,2022-04-06 23:56:00+00:00,2022-04-07 00:56:00+01:00,2022-04-06,2022-04-07,development,development,development,True,True,2022-04-07 02:12:00+00:00,False
FREP-231627-Z,2021-04-17T00:17:00+01:00,2021-04-17T00:17:00+01:00,2021-04-16 23:17:00+00:00,2021-04-16 23:17:00+00:00,2021-04-17 00:17:00+01:00,2021-04-16,2021-04-17,development,development,development,True,True,2021-04-17 00:45:00+00:00,False
FREP-231628-Z,2021-04-17T03:44:00+01:00,2021-04-17T00:31:00+01:00,2021-04-17 02:44:00+00:00,2021-04-16 23:31:00+00:00,2021-04-17 00:31:00+01:00,2021-04-16,2021-04-17,development,development,development,True,True,2021-04-17 08:39:00+00:00,False
FREP-232072-Z,2021-04-20T00:47:00+01:00,2021-04-20T00:47:00+01:00,2021-04-19 23:47:00+00:00,2021-04-19 23:47:00+00:00,2021-04-20 00:47:00+01:00,2021-04-19,2021-04-20,development,development,development,True,True,2021-04-20 14:31:00+00:00,False
FREP-232290-Z,2021-04-21T00:13:00+01:00,2021-04-21T00:13:00+01:00,2021-04-20 23:13:00+00:00,2021-04-20 23:13:00+00:00,2021-04-21 00:13:00+01:00,2021-04-20,2021-04-21,development,development,development,True,True,2021-04-20 23:49:00+00:00,False
