Incident Reference,Restoration Stage,Start Date and Time,End Date and Time,Number of Customers Restored,Re-interruption Stage,MEI code,Cause Code,Continued Cause Code,Damage to the Network,Exceptional Event?,incident_count,Whether or not this incident was excluded from the IIS,ee_coding_only_for_additional_incidents,licence_area,regulatory_year,unique_identifier,substation,SiteFunctionalLocation,Spatial Coordinates,cause_code_norm,cause_group_official,customers_v2,duration_A_customer_weighted_hours,duration_B_full_span_hours,all_stages_are_reinterruption,stage_row_count
FREP-382554-Z,2,2023-07-01T10:54:00+01:00,2023-07-01T11:15:00+01:00,2,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-382554-Z2,CHASE CROSS PRIMARY,EPN-S0000000H7142,"51.5991240914575, 0.164403426828368",97,non_fault_or_unknown,,0.35,0.35,True,1
FREP-387318-Z,1,2023-07-25T19:58:00+01:00,2023-08-10T14:57:00+01:00,0,Y,1,71,,1,,1,,,EPN,2023-24,FREP-387318-Z1,PALMERS GRN GRID,EPN-S0000000F7030,"51.6160617212447, -0.113057905611158",71,technical_asset,,,378.98333333333335,True,1
FREP-392949-Z,2,2023-08-21T15:52:00+01:00,2023-08-21T17:36:00+01:00,19,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-392949-Z2,GT YARMOUTH GRID,EPN-S0000000H5067,"52.5916026624618, 1.73095825038195",97,non_fault_or_unknown,,1.7333333333333336,1.7333333333333334,True,1
FREP-396412-Z,2,2023-09-08T03:56:00+01:00,2023-09-08T05:09:00+01:00,34,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-396412-Z2,GUSFORD HALL PRIMARY,EPN-S0000000H1053,"52.0372213814933, 1.1280427759983",97,non_fault_or_unknown,,1.2166666666666666,1.2166666666666666,True,1
FREP-41276-M,1,2021-10-08T20:30:00+01:00,2021-10-08T23:05:00+01:00,1,Y,S3,97,,0,,1,,,LPN,2021-22,FREP-41276-M1,FULHAM PALACE RD C,LPN-S000000000130,"51.4906347192032, -0.221826595389063",97,non_fault_or_unknown,,2.5833333333333335,2.5833333333333335,True,1
FREP-413020-Z,2,2023-12-10T23:48:00+00:00,2023-12-11T01:41:00+00:00,19,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-413020-Z2,GT YARMOUTH GRID,EPN-S0000000H5067,"52.5916026624618, 1.73095825038195",97,non_fault_or_unknown,,1.8833333333333333,1.8833333333333333,True,1
FREP-416382-Z,2,2023-12-31T23:52:00+00:00,2024-01-01T00:59:00+00:00,7,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-416382-Z2,SOUTHEND GRID,EPN-S0000000F7057,"51.5417498136999, 0.704664080153825",97,non_fault_or_unknown,,1.1166666666666667,1.1166666666666667,True,1
FREP-416394-Z,2,2024-01-01T08:22:00+00:00,2024-01-01T08:37:00+00:00,7,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-416394-Z2,SOUTHEND GRID,EPN-S0000000F7057,"51.5417498136999, 0.704664080153825",97,non_fault_or_unknown,,0.38333333333333336,2.65,True,2
FREP-417556-Z,2,2024-01-04T19:55:00+00:00,2024-01-04T20:49:00+00:00,24,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-417556-Z2,NEWTOWN PRIMARY,EPN-S0000000H7033,"51.8669928379742, 0.15131280587419",97,non_fault_or_unknown,,0.9,0.9,True,1
FREP-425261-Z,2,2024-02-11T07:12:00+00:00,2024-02-11T09:09:00+00:00,2,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-425261-Z2,GLEMSFORD PRIMARY,EPN-S0000000H1035,"52.0854655224238, 0.678834950674066",97,non_fault_or_unknown,,1.95,1.95,True,1
FREP-426530-Z,2,2024-02-18T07:57:00+00:00,2024-02-18T08:00:00+00:00,36,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-426530-Z2,SUNDON 33/11kV,EPN-S0000000H8086,"51.9298260500892, -0.498527813685701",97,non_fault_or_unknown,,0.05,0.05,True,1
FREP-428726-Z,2,2024-02-29T23:17:00+00:00,2024-03-01T01:32:00+00:00,18,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-428726-Z2,MAGDALEN WAY PRIMARY,EPN-S0000000H5021,"52.5742947660599, 1.71501848400845",97,non_fault_or_unknown,,2.25,2.25,True,1
FREP-52829-C,1,2021-09-22T10:07:00+01:00,2021-09-22T10:19:00+01:00,2,Y,90,86,,0,,1,,,EPN,2021-22,FREP-52829-C1,HARROWDEN PRIMARY,EPN-S0000000H4040,"52.1192971820726, -0.453638240462025",86,external_or_customer,,0.2,0.2,True,1
FREP-53374-C,4,2021-10-01T12:34:00+01:00,2021-10-01T12:52:00+01:00,4,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-53374-C4,GRAYS PRIMARY,EPN-S0000000H7043,"51.4770389243182, 0.31812805852657",97,non_fault_or_unknown,,0.3,0.3,True,1
FREP-58134-C,3,2021-12-13T09:39:00+00:00,2021-12-13T16:00:00+00:00,1,Y,41,71,,1,,1,,,EPN,2021-22,FREP-58134-C3,FRINTON PRIMARY,EPN-S0000000H3061,"51.8375956786903, 1.25048220511355",71,technical_asset,,6.35,6.35,True,1
FREP-58762-C,1,2021-12-26T07:47:00+00:00,2021-12-26T13:20:00+00:00,1,Y,90,87,,0,,1,,,EPN,2021-22,FREP-58762-C1,CENTRAL HARPENDEN PRI,EPN-S0000000H7088,"51.8167829295879, -0.354666772323446",87,external_or_customer,,5.55,5.55,True,1
FREP-63531-V,5,2021-07-08T11:50:00+01:00,2021-07-09T01:21:00+01:00,1,Y,41,71,,1,,1,,,SPN,2021-22,FREP-63531-V5,QUEENS PARK 33/11KV,SPN-S000000008461,"50.8291564762808, -0.125014991205154",71,technical_asset,,13.516666666666667,13.516666666666667,True,1
FREP-68353-V,1,2021-08-30T14:53:00+01:00,2021-08-31T14:22:00+01:00,1,Y,59,71,,1,,1,,,SPN,2021-22,FREP-68353-V1,LONGFIELD 33/11KV,SPN-S000000008656,"51.3988356323046, 0.303460419871465",71,technical_asset,,50.725,101.45,True,2
FREP-7422-O,2,2021-07-11T17:21:00+01:00,2021-07-11T18:22:00+01:00,21,Y,S3,97,,0,,1,,,EPN,2021-22,FREP-7422-O2,BELLHOUSE LN PRIMARY,EPN-S0000000H7038,"51.5627091314155, 0.650513115757398",97,non_fault_or_unknown,,1.0166666666666666,1.0166666666666666,True,1
FREP-74702-V,1,2021-11-05T12:20:00+00:00,2021-11-05T12:30:00+00:00,1,Y,90,86,,0,,1,,,SPN,2021-22,FREP-74702-V1,SUFFOLK ROAD 33/6.6KV,SPN-S000000008373,"51.3996250259972, -0.0768516112652066",86,external_or_customer,,0.16666666666666666,0.16666666666666666,True,1
FREP-7897-I,2,2023-09-21T03:30:00+01:00,2023-09-22T13:39:00+01:00,1,Y,59,57,,1,,1,,,EPN,2023-24,FREP-7897-I2,RICKMANSWORTH GRID,EPN-S0000000N8078,"51.6408756403759, -0.476830919701273",57,third_party,,34.15,34.15,True,1
FREP-79368-C,3,2023-09-19T20:00:00+01:00,2023-09-21T22:15:00+01:00,1,Y,41,71,,1,,1,,,EPN,2023-24,FREP-79368-C3,BROXBOURNE PRIMARY,EPN-S0000000H7040,"51.7453022828863, -0.0134025833930495",71,technical_asset,,50.25,50.25,True,1
FREP-81861-C,2,2023-10-12T09:31:00+01:00,2023-10-12T11:19:00+01:00,1,Y,S3,97,,0,,1,,,EPN,2023-24,FREP-81861-C2,STEVENAGE PRIMARY,EPN-S0000000H8061,"51.9048468740051, -0.22284339584089",97,non_fault_or_unknown,,1.8,1.8,True,1
FREP-82502-C,3,2023-10-20T09:06:00+01:00,2023-10-20T13:03:00+01:00,14,Y,41,71,,1,,1,,,EPN,2023-24,FREP-82502-C3,FRINTON PRIMARY,EPN-S0000000H3061,"51.8375956786903, 1.25048220511355",71,technical_asset,,1.7500000000000002,16.65,True,6
FREP-82588-C,3,2023-10-20T20:04:00+01:00,2023-10-20T21:33:00+01:00,7,Y,S3,97,,0,,0,,,EPN,2023-24,FREP-82588-C3,TIPTREE PRIMARY,EPN-S0000000H3052,"51.8172098443126, 0.745469825888134",97,non_fault_or_unknown,,1.3791666666666667,1.4833333333333334,True,2
