fold,n_test,n_train,sse,rmse,k
0,1875,5402,3678.1802852805949,1.4006056376259701,29
1,1512,5765,2562.0142713919772,1.3017119048375305,29
2,1363,5914,2432.6526792639552,1.3359559104318235,29
3,1247,6030,2090.2910638155577,1.294703002672333,29
4,1280,5997,1495.837285027392,1.0810286207717399,29
