term,coef,se,p_normal,p_t_G1
Intercept,3.363184077294711,1.0281767756514328,0.0010716133383395355,0.0014315514857434445
z_precipitation_24h_sum,0.05343768968967361,0.014611940377507363,0.00025506020315745867,0.0003929943564211301
z_temperature_0h,-0.03405759290387636,0.02876627260104358,0.23643609739825278,0.238988191387966
z_pressure_msl_0h,-0.08063078883599552,0.017651380481558007,4.924954691660672e-06,1.2928038912656143e-05
z_gust_pressure,-0.03493370586796649,0.015771022765372126,0.02675618939617111,0.028817061632121797
urban_binary,-0.14940762955466874,0.07491529839660606,0.046113375178232954,0.048587170244242715
log_population,-0.0724171516933539,0.08725392892973786,0.406562171758053,0.40835977177839544
income_deprivation_rate,-3.100220409142331,0.8967819581959215,0.0005461227399693176,0.0007773895618559643
deprivation_gap_pct,0.18041891797817167,0.5349325987429657,0.7359102721405839,0.7365529790685416
morans_i,-0.0320884499193364,0.23500129522965507,0.8913897865670013,0.8916393806193713
incident_year[2022],0.07561522640269129,0.03263651468438367,0.020509704785931976,0.022361453630897008
incident_year[2023],0.014684134962428628,0.037634517543033985,0.6964054357947231,0.6971599538542489
incident_year[2024],-0.022469656008992756,0.06626784248423577,0.734554512053448,0.7352009591650146
incident_month[2],0.0866204254508689,0.06967513948321638,0.21379259853345822,0.21643585160743078
incident_month[3],0.03941982404439061,0.06560854404407339,0.5479507580909129,0.5491867942414986
incident_month[4],-0.005971889286734538,0.06620119944856451,0.9281217892854944,0.9282858421870822
incident_month[5],0.08549169852228841,0.07252859173611854,0.23850531262653307,0.24104876095715425
incident_month[6],0.3213784579459558,0.08614227774307093,0.0001908828385901725,0.0003037376881503411
incident_month[7],0.33411504513331985,0.07487731921806068,8.113524572892962e-06,1.969344029553945e-05
incident_month[8],0.2001030163036402,0.09040769535272088,0.026874177382390466,0.02893851914830232
incident_month[9],0.12683628243029538,0.07820701805252947,0.10484579351937677,0.10770868724346921
incident_month[10],0.05285779254805448,0.06727953478095694,0.43207582045682813,0.4337648353149143
incident_month[11],-0.04619299426580755,0.06356843325723209,0.4674308259562656,0.46897437585362367
incident_month[12],0.1052837481711833,0.05877986035519542,0.0732686779375487,0.07601875217498029
z_temperature_sq,0.05655341129112742,0.02206583570314554,0.010379000565752142,0.011730078897841879
gust_low,-0.026952197980057893,0.004431726365154902,1.1895379481926928e-09,1.7593768088761116e-08
gust_ramp,0.12146172840850161,0.013842871680209508,1.719459955199315e-18,2.4793463583605847e-14
