term,coef
Intercept,3.6977942327380013
z_precipitation_24h_sum,-0.14097581589937233
z_temperature_0h,0.12261544553878019
z_pressure_msl_0h,-0.21365966591232716
z_gust_pressure,-0.16236970523979755
gust_ge_q0,0.1431138477680233
gust_ge_q1,0.40468031584799274
gust_ge_q2,0.11721273279706075
gust_ge_q3,-0.47400732912645027
urban_binary,-0.00031576300725313228
log_population,-0.063152057396981487
income_deprivation_rate,-2.184311149182173
deprivation_gap_pct,-1.4292091946778758
morans_i,0.64263198727108839
incident_year[2022],0.31296392855171817
incident_year[2023],0.35869773563671781
incident_year[2024],0.35301751111878099
incident_month[2],-0.14335070936627844
incident_month[3],0.18604111568941928
incident_month[4],0.050949769130871139
incident_month[5],0.22279535715922708
incident_month[6],0.88467265797506822
incident_month[7],0.75843479776116685
incident_month[8],0.64713150581177858
incident_month[9],0.3267322776427084
incident_month[10],0.40631487706100233
incident_month[11],0.19948226111382414
incident_month[12],0.58365817844417323
