term,coef,se,p
Intercept,3.284634412992821,1.0409746714354429,0.001603083206119349
z_gust_0h,-0.036014312441059675,0.013973796718036712,0.009958278233748605
z_gust_0h_sq,0.10599692045043266,0.00834763586215036,6.078652069292915e-37
z_precipitation_24h_sum,0.04555184056932947,0.01047896149832427,1.3802452843968576e-05
z_temperature_0h,-0.01116361668801012,0.020842871981198774,0.5922292428407727
z_pressure_msl_0h,-0.09057268092292951,0.011229119262547048,7.271272340971496e-16
z_gust_pressure,-0.046618128427459216,0.008665832819493124,7.467955410557784e-08
urban_binary,-0.15571415416323311,0.07663190169964286,0.0421561265194926
log_population,-0.0775104526391073,0.08871120788576435,0.382260341977379
income_deprivation_rate,-3.17979336279247,0.9048406485764066,0.00044107625845771784
deprivation_gap_pct,0.17436778477831533,0.5466314904026872,0.7497371398989641
morans_i,-0.025734744023140792,0.2407816230651019,0.914884166307514
incident_year[2022],0.09078525844431096,0.02711358056329378,0.0008129967380168702
incident_year[2023],0.016200310719304355,0.030435989824462804,0.5945356757303891
incident_year[2024],-0.01844715689087796,0.045374561682357595,0.6843364408845831
incident_month[2],0.02376795293684128,0.04250428978633298,0.5760323921853823
incident_month[3],-0.02505741797875278,0.046332010886850086,0.5886295754470796
incident_month[4],-0.08037328152860747,0.04775119539923396,0.09234258390245821
incident_month[5],-0.004365162571267694,0.05214024787159989,0.9332793447051264
incident_month[6],0.2605783865038358,0.05895131855285104,9.859590782619794e-06
incident_month[7],0.30592723271380723,0.05717197740105082,8.746967724323085e-08
incident_month[8],0.14391916141414093,0.05559891314876081,0.00963880268182248
incident_month[9],0.06135930782281919,0.054934576097104414,0.2640146686858177
incident_month[10],-0.053222733134743745,0.051214501336388496,0.2987060711174213
incident_month[11],-0.1244640515250352,0.04254135862897772,0.003436614479336579
incident_month[12],0.07495897963098164,0.04029505053797163,0.06284977138999882
