customer_bin,count,mean,median
"(-0.001, 1.0]",27320,21.451354929233773,5.116666666666666
"(1.0, 2.0]",3846,17.639356907609635,9.133333333333333
"(2.0, 35.0]",14169,15.84619474439504,8.583333333333334
"(35.0, 27013.0]",15101,11.708115356598901,5.566666666666666
