period,target,n,rank,columns,status,physical_linear_gust,physical_quadratic_gust,pressure_physical,source,cross_period_independence_assumed,CV_inverse_variance_interval,physical_linear_SE,physical_quadratic_SE,reference_distribution,nominal_independent_CV_interval,failure_reason
development,R0c,48323,27,27,descriptive_full_fit_available,-0.057717858172484995,0.0028219100611616478,1012.0748262233079,single full fit and its own scaler,False,,0.005813003089251756,0.0002845004664732576,not converted into a cross-period hypothesis test,,
later,R0c,12113,20,21,blocked_calendar_design_rank_deficient,,,,,,,,,,,additive year/month coding not full rank in this period; no silent term dropping or H0 fallback
