fold,n_test,n_train,sse,rmse,k
0,2030,5720,10403.026963666998,2.2637676171521011,24
1,1579,6171,7142.3710652368227,2.1268170810595768,24
2,1450,6300,6878.051515111857,2.1779540407284581,24
3,1336,6414,6047.4130310964474,2.1275588734046189,24
4,1355,6395,6294.4749518084654,2.1553118029937868,24
