k1,k2,sse,bic,lr
8.0,18.0,237789.3539741375,83082.87097192476,94.5719985694191
8.0,19.0,237879.12876286462,83105.68399892836,117.38502557302068
8.0,20.0,237952.5572241344,83124.33679603995,136.03782268460355
8.0,21.0,238012.04689458033,83139.44454649177,151.1455731364252
8.0,22.0,238052.13654118852,83149.62341758558,161.32444423023435
8.0,23.0,238072.69202950195,83154.84184759982,166.5428742444848
8.0,24.0,238081.6313402994,83157.11113341837,168.81216006302125
8.0,25.0,238080.15416356162,83156.73615107739,168.43717772205972
8.0,26.0,238074.45899600384,83155.29040705983,166.99143370449707
8.0,27.0,238068.31196404243,83153.72991641152,165.43094305618035
8.0,28.0,238062.24327714473,83152.18927498022,163.89030162488757
8.0,29.0,238054.31214509852,83150.17576033948,161.87678698414592
8.0,30.0,238052.02595869778,83149.595342746,161.2963693906489
8.0,31.0,238053.1609087759,83149.8834848615,161.58451150615085
8.0,32.0,238061.2056174462,83151.92584313561,163.62686978027656
8.0,33.0,238074.90226182772,83155.40293333321,167.10395997787776
8.0,34.0,238081.62438098702,83157.10936679754,168.81039344218635
9.0,18.0,237698.8347715084,83059.86005705927,71.56108370393592
9.0,19.0,237765.63264746882,83076.84161312759,88.54263977223783
9.0,20.0,237819.14921333024,83090.44331287904,102.14433952369617
9.0,21.0,237861.07313783222,83101.09650429896,112.79753094362108
9.0,22.0,237886.88373565456,83107.65424177142,119.35526841607975
9.0,23.0,237897.37397488666,83110.31930930277,122.02033594742514
9.0,24.0,237898.0542755729,83110.49213707761,122.1931637222762
9.0,25.0,237891.13266937344,83108.73370655677,120.43473320141996
9.0,26.0,237882.75983265997,83106.60652328555,118.30754993021903
9.0,27.0,237875.42291961677,83104.74246280397,116.44348944863418
9.0,28.0,237868.80342362143,83103.06062429772,114.7616509423839
9.0,29.0,237860.51862165643,83100.95560973081,112.65663637546265
9.0,30.0,237859.20406457144,83100.6215984096,112.32262505427016
9.0,31.0,237861.9399736447,83101.31675412736,113.01778077200738
9.0,32.0,237872.27069240643,83103.9415712454,115.64259789005581
9.0,33.0,237888.775947386,83108.13497086332,119.8359975079705
9.0,34.0,237897.88827977164,83110.44996652783,122.1509931724833
10.0,18.0,237656.4572121076,83049.0842327128,60.785259357466245
10.0,19.0,237702.47433264513,83060.78544010813,72.48646675279083
10.0,20.0,237737.31285371556,83069.64265298113,81.34367962579431
10.0,21.0,237762.0670022869,83075.93526467291,87.63629131756775
10.0,22.0,237773.59275111975,83078.86493637286,90.56596301751819
10.0,23.0,237774.04264484943,83078.97928970076,90.68031634541997
10.0,24.0,237766.33053556635,83077.01900714613,88.72003379078448
10.0,25.0,237754.00909698635,83073.88698219763,85.58800884229083
10.0,26.0,237743.28313492448,83071.1603842555,82.86141090016321
10.0,27.0,237735.19829369427,83069.10509229776,80.80611894241838
10.0,28.0,237728.5002910281,83067.4023032589,79.10332990357155
10.0,29.0,237720.38112480642,83065.33815685677,77.03918350143071
10.0,30.0,237720.8776034539,83065.46437930578,77.165405950445
10.0,31.0,237726.18423679785,83066.81349690545,78.51452355011428
10.0,32.0,237739.82400281288,83070.28102781026,81.9820544549103
10.0,33.0,237760.11996077624,83075.44034203416,87.14136867880529
10.0,34.0,237772.51037340853,83078.58981830836,90.29084495302816
11.0,18.0,237622.18007287456,83040.36678864986,52.06781529453158
11.0,19.0,237647.80632579498,83046.88423723099,58.58526387565159
11.0,20.0,237664.20418079259,83051.0542861293,62.75531277396801
11.0,21.0,237671.6602203307,83052.95029564742,64.65132229207819
11.0,22.0,237668.78837515926,83052.22001608825,63.92104273289829
11.0,23.0,237659.4561070324,83049.8468590314,61.54788567605615
11.0,24.0,237643.54038949998,83045.79934311858,57.500369763235774
11.0,25.0,237626.32942330616,83041.42212827547,53.123154920139754
11.0,26.0,237614.14161739178,83038.3222473895,50.02327403416852
11.0,27.0,237606.2908882299,83036.32538662366,48.026413268325825
11.0,28.0,237600.47701949766,83034.84656599938,46.547592644048635
11.0,29.0,237593.5380965299,83033.0815282502,44.782554894872526
11.0,30.0,237597.22025718138,83034.01815733816,45.71918398280946
11.0,31.0,237606.60014168028,83036.40404758228,48.105074226950464
11.0,32.0,237625.0401886033,83041.09422820946,52.795254854118554
11.0,33.0,237650.48219348612,83047.56474216677,59.26576881143453
11.0,34.0,237667.41578539828,83051.87097805303,63.57200469767821
12.0,18.0,237608.13924276462,83036.79552808373,48.49655472839006
12.0,19.0,237615.25950764454,83038.60658136819,50.30760801285371
12.0,20.0,237614.99909211975,83038.54034512676,50.241371771426124
12.0,21.0,237606.556398079,83036.39292107204,48.093947716697535
12.0,22.0,237590.65088439806,83032.34709960691,44.04812625156665
12.0,23.0,237573.11054911747,83027.88512110653,39.58614775119982
12.0,24.0,237550.33900176716,83022.09191511107,33.79294175572839
12.0,25.0,237529.7439220793,83016.85193609862,28.552962743295396
12.0,26.0,237517.83450599242,83013.8216317128,25.52265835746847
12.0,27.0,237511.89999312488,83012.31156138185,24.01258802651082
12.0,28.0,237508.542414481,83011.45718981216,23.158216456830374
12.0,29.0,237504.39987271553,83010.40305939005,22.104086034707123
12.0,30.0,237513.1442995222,83012.62818530152,24.32921194618369
12.0,31.0,237528.51376355177,83016.53893410477,28.23996074942533
12.0,32.0,237553.49068792505,83022.89375439093,34.59478103558532
12.0,33.0,237585.5013127956,83031.03716577496,42.738192419615146
12.0,34.0,237608.33205159387,83036.84457010108,48.54559674573214
13.0,18.0,237587.90122091322,83031.64765132037,43.348677965036586
13.0,19.0,237578.3662317673,83029.22211660311,40.92314324776365
13.0,20.0,237563.87368983592,83025.53528060587,37.23630725052006
13.0,21.0,237541.84419125447,83019.93064670391,31.631673348572665
13.0,22.0,237515.43208690657,83013.2103271474,24.911353792063853
13.0,23.0,237492.5216135708,83007.38036043935,19.081387084013432
13.0,24.0,237465.40165732795,83000.47849096029,12.179517604948932
13.0,25.0,237444.032129281,82995.03951638719,6.740543031854337
13.0,26.0,237435.15128358483,82992.77901860101,4.480045245670287
13.0,27.0,237433.64840939487,82992.39647416989,4.097500814550975
13.0,28.0,237435.014797764,82992.7442773427,4.445303987353617
13.0,29.0,237435.93800744816,82992.97927181162,4.680298456282359
13.0,30.0,237452.16233195702,82997.10887413277,8.809900777438088
13.0,31.0,237475.86580936753,83003.14164954532,14.842676189969007
13.0,32.0,237509.3707824796,83011.66797797549,23.36900462014554
