[2026-09-09T23:16:37.148263+01:00] Protocol frozen before candidate performance
[2026-09-09T23:17:14.058433+01:00] Fit 81/240 A02_daily_mean wthr_gt5 fold_1
[2026-09-09T23:17:14.820516+01:00] Fit 82/240 A02_daily_mean wthr_gt5 fold_2
[2026-09-09T23:17:15.434873+01:00] Fit 83/240 A02_daily_mean wthr_gt5 fold_3
[2026-09-09T23:17:16.003961+01:00] Fit 84/240 A02_daily_mean wthr_gt5 fold_4
[2026-09-09T23:17:16.838886+01:00] Fit 85/240 A02_daily_mean wthr_gt100 full
[2026-09-09T23:17:17.702770+01:00] Fit 86/240 A02_daily_mean wthr_gt100 fold_0
[2026-09-09T23:17:18.332426+01:00] Fit 87/240 A02_daily_mean wthr_gt100 fold_1
[2026-09-09T23:17:18.989464+01:00] Fit 88/240 A02_daily_mean wthr_gt100 fold_2
[2026-09-09T23:17:19.553936+01:00] Fit 89/240 A02_daily_mean wthr_gt100 fold_3
[2026-09-09T23:17:20.204266+01:00] Fit 90/240 A02_daily_mean wthr_gt100 fold_4
[2026-09-09T23:17:21.019610+01:00] Fit 91/240 A02_daily_mean wthr_gt1000 full
[2026-09-09T23:17:21.703303+01:00] Fit 92/240 A02_daily_mean wthr_gt1000 fold_0
[2026-09-09T23:17:22.419821+01:00] Fit 93/240 A02_daily_mean wthr_gt1000 fold_1
[2026-09-09T23:17:23.111957+01:00] Fit 94/240 A02_daily_mean wthr_gt1000 fold_2
[2026-09-09T23:17:23.867684+01:00] Fit 95/240 A02_daily_mean wthr_gt1000 fold_3
[2026-09-09T23:17:24.561240+01:00] Fit 96/240 A02_daily_mean wthr_gt1000 fold_4
[2026-09-09T23:17:24.882314+01:00] Fit 97/240 A03_daily_q90 any_gt0 full
[2026-09-09T23:17:25.149931+01:00] Fit 98/240 A03_daily_q90 any_gt0 fold_0
[2026-09-09T23:17:25.424830+01:00] Fit 99/240 A03_daily_q90 any_gt0 fold_1
[2026-09-09T23:17:25.715161+01:00] Fit 100/240 A03_daily_q90 any_gt0 fold_2
[2026-09-09T23:17:26.069759+01:00] Fit 101/240 A03_daily_q90 any_gt0 fold_3
[2026-09-09T23:17:26.409384+01:00] Fit 102/240 A03_daily_q90 any_gt0 fold_4
[2026-09-09T23:17:26.705702+01:00] Fit 103/240 A03_daily_q90 any_gt5 full
[2026-09-09T23:17:27.014788+01:00] Fit 104/240 A03_daily_q90 any_gt5 fold_0
[2026-09-09T23:17:27.354142+01:00] Fit 105/240 A03_daily_q90 any_gt5 fold_1
[2026-09-09T23:17:27.689119+01:00] Fit 106/240 A03_daily_q90 any_gt5 fold_2
[2026-09-09T23:17:28.045694+01:00] Fit 107/240 A03_daily_q90 any_gt5 fold_3
[2026-09-09T23:17:28.425057+01:00] Fit 108/240 A03_daily_q90 any_gt5 fold_4
[2026-09-09T23:17:28.762340+01:00] Fit 109/240 A03_daily_q90 any_gt100 full
[2026-09-09T23:17:29.101224+01:00] Fit 110/240 A03_daily_q90 any_gt100 fold_0
[2026-09-09T23:17:29.437901+01:00] Fit 111/240 A03_daily_q90 any_gt100 fold_1
