term,coefficient,std_error,p_value
Intercept,3.9301485791300625,1.5542269040588215,0.011449108301131404
z_gust_0h,0.13432627915130949,0.03586521649947989,0.00018017265881061347
z_gust_0h_sq,0.04189580887816403,0.024316287002883234,0.0848971047933535
z_precipitation_24h_sum,-0.12293718403489819,0.02590231234271742,2.0728843333383404e-06
z_temperature_0h,0.12373964666025188,0.038488138257729926,0.0013044119085885396
z_pressure_msl_0h,-0.20792944694799487,0.0337030715727291,6.852752952956646e-10
z_gust_pressure,-0.11661866234951632,0.03097371664298643,0.0001664927271042414
urban_binary,-0.0017911961520653576,0.06586605893938671,0.9783045829265663
log_population,-0.06667736840134574,0.13001044874792173,0.608048127425612
income_deprivation_rate,-2.0375946155714484,2.3202555197910657,0.37984776891041205
deprivation_gap_pct,-1.3915564506210005,1.074648957795448,0.19535681044965247
morans_i,0.615381107948505,0.4050121597923714,0.128658343679356
incident_year[2022],0.29030824826217383,0.08171905250076851,0.0003815656932051089
incident_year[2023],0.3417791775687492,0.08207159436060105,3.121685759354757e-05
incident_year[2024],0.34203263292359004,0.14792860711775918,0.020769603291216833
incident_month[2],-0.13392614242562034,0.10922111432128852,0.22012613550401405
incident_month[3],0.1737538675944296,0.13418872717685837,0.1953730230938734
incident_month[4],0.024523148974673618,0.19113648688052942,0.8979101669258099
incident_month[5],0.1789044939742352,0.16252560114622558,0.2709935894907477
incident_month[6],0.8013227593945104,0.1888877398109831,2.2121822487154597e-05
incident_month[7],0.6968462854672738,0.14084036186255008,7.50669798760704e-07
incident_month[8],0.5662996173199842,0.13796299064991316,4.0480271621825765e-05
incident_month[9],0.27399267298474966,0.15074447241552152,0.06912577875399323
incident_month[10],0.3266003030646834,0.1465278271740158,0.025818547572632133
incident_month[11],0.17353126233804947,0.1528161341509017,0.2561424754230901
incident_month[12],0.532243411859626,0.12415644968418503,1.8120266749714933e-05
