sample,n,later_stage_start,later_stage_start_pct,different_hour,different_date,partition_changes,lag_changed_median_hours,lag_changed_max_hours,earliest_gust_available,gust_diff_over_1e_8,gust_diff_over_1ms,gust_diff_over_5ms,max_abs_gust_difference,different_coordinates,different_LAD
main_E0,60437,8199,13.566192895080828,7810,2225,1,5.0,4506.366666666667,60436,7644,5107,1074,24.80000114440918,0,0
main_R0c,59834,8113,13.559180399104187,7724,2161,1,4.966666666666667,172.7,59834,7560,5044,1050,24.80000114440918,0,0
weather_E0,9857,1074,10.895810084204118,965,255,0,3.45,243.35,9857,945,675,246,24.80000114440918,0,0
weather_R0c,9758,1060,10.862881738061079,951,243,0,3.3583333333333334,121.61666666666666,9758,931,663,236,24.80000114440918,0,0
