Incident Reference,source_row_used,earliest_source_row,time_used,earliest_recorded_start,lag_hours,hour_diff,date_diff,gust_0h_used,gust_0h_earliest,gust_0h_delta,precipitation_24h_sum_used,precipitation_24h_sum_earliest,precipitation_24h_sum_delta,temperature_0h_used,temperature_0h_earliest,temperature_0h_delta,pressure_msl_0h_used,pressure_msl_0h_earliest,pressure_msl_0h_delta,earliest_weather_status,coordinate_diff,lad_diff,current_date,temporal_partition_change
FREP-201703-Z,237496,237496,2022-07-09 13:10:00+00:00,2022-07-09 13:10:00+00:00,0.0,False,False,8.0,8.0,0.0,0.0,0.0,0.0,23.64999961853028,23.64999961853028,0.0,1030.0999755859375,1030.0999755859375,0.0,matched,False,False,2022-07-09,False
FREP-199267-J,237498,237498,2023-08-06 00:53:00+00:00,2023-08-06 00:53:00+00:00,0.0,False,False,11.399999618530272,11.399999618530272,0.0,18.200000762939453,18.200000762939453,0.0,12.899999618530272,12.899999618530272,0.0,1011.9000244140624,1011.9000244140624,0.0,matched,False,False,2023-08-06,False
FREP-200974-Z,237501,237501,2022-11-12 13:06:00+00:00,2022-11-12 13:06:00+00:00,0.0,False,False,6.599999904632568,6.599999904632568,0.0,0.0,0.0,0.0,13.899999618530272,13.899999618530272,0.0,1027.5999755859375,1027.5999755859375,0.0,matched,False,False,2022-11-12,False
FREP-203009-Z,237503,237503,2022-12-19 22:18:00+00:00,2022-12-19 22:18:00+00:00,0.0,False,False,16.100000381469727,16.100000381469727,0.0,3.0999999046325684,3.0999999046325684,0.0,11.75,11.75,0.0,1004.5,1004.5,0.0,matched,False,False,2022-12-19,False
FREP-21062-U,237506,237506,2023-03-17 20:00:00+00:00,2023-03-17 20:00:00+00:00,0.0,False,False,4.599999904632568,4.599999904632568,0.0,4.099999904632568,4.099999904632568,0.0,8.300000190734863,8.300000190734863,0.0,1005.0,1005.0,0.0,matched,False,False,2023-03-17,False
FREP-21608-U,237523,237523,2023-07-26 08:00:00+00:00,2023-07-26 08:00:00+00:00,0.0,False,False,4.099999904632568,4.099999904632568,0.0,0.1000000014901161,0.1000000014901161,0.0,16.0,16.0,0.0,1013.7000122070312,1013.7000122070312,0.0,matched,False,False,2023-07-26,False
FREP-217795-J,237527,237527,2021-05-13 10:00:00+00:00,2021-05-13 10:00:00+00:00,0.0,False,False,11.199999809265137,11.199999809265137,0.0,2.299999952316284,2.299999952316284,0.0,11.550000190734863,11.550000190734863,0.0,1006.2999877929688,1006.2999877929688,0.0,matched,False,False,2021-05-13,False
FREP-206920-Z,237530,237530,2022-11-17 10:00:00+00:00,2022-11-17 10:00:00+00:00,0.0,False,False,13.699999809265137,13.699999809265137,0.0,21.700000762939453,21.700000762939453,0.0,8.899999618530273,8.899999618530273,0.0,979.9000244140624,979.9000244140624,0.0,matched,False,False,2022-11-17,False
FREP-207600-Z,237531,237531,2021-11-09 00:05:00+00:00,2021-11-09 00:05:00+00:00,0.0,False,False,7.300000190734863,7.300000190734863,0.0,0.0,0.0,0.0,11.600000381469728,11.600000381469728,0.0,1022.0,1022.0,0.0,matched,False,False,2021-11-09,False
FREP-20877-U,237536,237536,2022-11-03 11:59:00+00:00,2022-11-03 11:59:00+00:00,0.0,False,False,5.599999904632568,5.599999904632568,0.0,33.900001525878906,33.900001525878906,0.0,10.899999618530272,10.899999618530272,0.0,999.7000122070312,999.7000122070312,0.0,matched,False,False,2022-11-03,False
FREP-209412-J,237541,237541,2022-10-06 11:25:00+00:00,2022-10-06 11:25:00+00:00,0.0,False,False,11.699999809265137,11.699999809265137,0.0,0.9000000357627869,0.9000000357627869,0.0,16.649999618530273,16.649999618530273,0.0,1028.800048828125,1028.800048828125,0.0,matched,False,False,2022-10-06,False
FREP-209956-G,237542,237542,2023-01-13 01:48:00+00:00,2023-01-13 01:48:00+00:00,0.0,False,False,16.799999237060547,16.799999237060547,0.0,3.200000047683716,3.200000047683716,0.0,7.599999904632568,7.599999904632568,0.0,1002.5999755859376,1002.5999755859376,0.0,matched,False,False,2023-01-13,False
FREP-211128-Z,237543,237543,2022-03-15 14:25:00+00:00,2022-03-15 14:25:00+00:00,0.0,False,False,7.099999904632568,7.099999904632568,0.0,0.0,0.0,0.0,13.550000190734863,13.550000190734863,0.0,1020.0999755859376,1020.0999755859376,0.0,matched,False,False,2022-03-15,False
FREP-21410-U,237544,237544,2023-06-29 05:00:00+00:00,2023-06-29 05:00:00+00:00,0.0,False,False,8.899999618530273,8.899999618530273,0.0,0.3000000119209289,0.3000000119209289,0.0,16.75,16.75,0.0,1014.9000244140624,1014.9000244140624,0.0,matched,False,False,2023-06-29,False
FREP-213269-Z,237547,237547,2021-10-15 10:50:00+00:00,2021-10-15 10:50:00+00:00,0.0,False,False,7.800000190734863,7.800000190734863,0.0,0.2000000029802322,0.2000000029802322,0.0,11.699999809265137,11.699999809265137,0.0,1021.4000244140624,1021.4000244140624,0.0,matched,False,False,2021-10-15,False
