sample,n,columns,rank,r2_in_sample,gust_mean,gust_sd,physical_minimum_at_mean_pressure,gap_affine_residual_max
main_E0,60437,26,26,0.03230245313982261,9.87229677581956,5.222713076874045,10.693754982765721,0.1611584666484529
main_R0c,59834,28,28,0.11760617058783462,9.875234820350876,5.2190180674673785,9.86871719712953,0.16139394234575083
weather_E0,9857,26,26,0.040908782749973005,14.22320179029448,7.152216360936601,2.7574891429553965,0.1733216029710114
weather_R0c,9758,28,28,0.2336366240645832,14.15718385345087,7.093544215548031,4.229092921299138,0.1733200395864642
