sample,variable,n,nonmissing,missing,mean,sd,min,p25,median,p75,max
E0_final,gust_0h,60437,60437,0,9.910180853795751,5.2799455739784236,0.5,6.0999999046325684,9,12.5,39.400001525878906
E0_final,precipitation_24h_sum,60437,60437,0,3.2508761331448635,5.2596054367106406,0,0,0.80000001192092896,4.3000001907348633,47.800003051757812
E0_final,temperature_0h,60437,60437,0,11.883223982605056,6.0990012890833336,-9.25,7.7645001411437988,11.300000190734863,16.071001052856445,38.900001525878906
E0_final,pressure_msl_0h,60437,60437,0,1012.0748448408101,13.074978918974653,953.59997558593761,1004.4000244140624,1013.7000122070312,1021.2000122070312,1046.0999755859375
E0_final,log_population,60437,60437,0,12.07117857016347,0.48467532121426998,9.0698131368392065,11.717888752245008,11.987362999911909,12.476397448360093,13.268663896619071
E0_final,urban_binary,60437,60437,0,0.7464963515727121,0.43502032124965256,0,0,1,1,1
E0_final,income_deprivation_rate,60437,60437,0,0.10880784535963069,0.038172848956713745,0.052999999999999999,0.076999999999999999,0.106,0.13800000000000001,0.20200000000000001
E0_final,deprivation_gap_pct,60437,60437,0,0.27251745619405326,0.082843355266087881,0.113,0.21299999999999999,0.27399999999999991,0.3209999999999999,0.52499999999999991
E0_final,morans_i,60437,60437,0,0.27947151579330537,0.1668990420221691,-0.14999999999999999,0.16,0.28999999999999998,0.38,0.69999999999999996
R0c_final,gust_0h,51173,51173,0,10.034428316049699,5.4010470675472417,0.5,6.0999999046325684,9,12.699999809265137,39.400001525878906
R0c_final,precipitation_24h_sum,51173,51173,0,3.4192367211421599,5.4053939240657218,0,0,0.90000003576278687,4.5999999046325684,47.800003051757812
R0c_final,temperature_0h,51173,51173,0,11.84408784660403,6.0623599517457976,-9.25,7.75,11.25,16,38.900001525878906
R0c_final,pressure_msl_0h,51173,51173,0,1011.7487307232768,13.083301541158669,953.59997558593761,1004,1013.2999877929688,1020.9000244140624,1046.0999755859375
R0c_final,log_population,51173,51173,0,12.055826845100745,0.47127519108117105,9.0698131368392065,11.705147846441445,11.972941887682897,12.472884696222938,13.268663896619071
R0c_final,urban_binary,51173,51173,0,0.73341410509448346,0.44217833092605996,0,0,1,1,1
R0c_final,income_deprivation_rate,51173,51173,0,0.10719029566372891,0.037855338955851567,0.052999999999999999,0.073999999999999996,0.10000000000000001,0.13600000000000001,0.20200000000000001
R0c_final,deprivation_gap_pct,51173,51173,0,0.27007279229281062,0.083331401676958003,0.113,0.21099999999999999,0.26600000000000001,0.3209999999999999,0.52499999999999991
R0c_final,morans_i,51173,51173,0,0.27520919234752705,0.16589843641833585,-0.14999999999999999,0.16,0.28999999999999998,0.37,0.69999999999999996
