period,target,n,rank,columns,status,physical_linear_gust,physical_quadratic_gust,pressure_physical,source,cross_period_independence_assumed,CV_inverse_variance_interval,physical_linear_SE,physical_quadratic_SE,reference_distribution,nominal_independent_CV_interval,failure_reason
development,E0,599,25,25,descriptive_full_fit_available,-0.12102530746958312,0.004707646968738455,1013.2295828925239,single full fit and its own scaler,False,,0.07684691183037282,0.0036783242787005433,not converted into a cross-period hypothesis test,,
later,E0,121,18,19,blocked_calendar_design_rank_deficient,,,,,,,,,,,additive year/month coding not full rank in this period; no silent term dropping or H0 fallback
